;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,87%;1,47%;5,52%;2,70%;2,65%;2,11%;2,56%;2,33%
Div;;0.37;0.74;1.46;1.39;1.32;1.26;1.2;1.07
P/L;895.7;-4.63;125.79;13.64;10.55;9.77;12.37;10.17;22.5
PEG Ratio;-8,85;-;-;-;-;-;-;-;-
P/VP;1,67;0,87;2,01;1,08;2,20;2,52;3,36;2,87;3,13
EV/EBITDA;16,18;679,09;22,84;5,92;6,55;5,81;7,92;7,06;8,03
EV/EBIT;322,15;-10,24;310,62;15,84;10,10;8,64;11,48;9,82;11,24
P/EBITDA;14,87;513,71;20,50;5,26;6,26;5,47;7,46;6,61;7,59
P/EBIT;296,07;-7,74;278,82;14,08;9,66;8,14;10,82;9,19;10,61
VPA;22,30;22,93;24,97;24,52;23,44;19,78;17,82;16,34;14,75
P/Ativo;0,87;0,44;1,11;0,60;1,24;1,33;1,91;1,67;1,75
LPA;0.04;-4.33;0.4;1.94;4.88;5.1;4.84;4.61;2.05
P/SR;3,32;1,63;3,92;1,73;2,65;2,62;3,62;3,02;3,44
P/Cap. Giro;9,13;7,45;13,96;5,99;6,93;9,08;29,16;17,61;17,88
P/Ativo Circ. Liq.;-1,16;-0,58;-1,43;-0,83;-1,89;-1,93;-2,47;-2,16;-2,30
Dív. líquida/PL;0,15;0,28;0,23;0,14;0,10;0,15;0,20;0,20;0,19
Dív. líquida/EBITDA;1,31;165,38;2,34;0,66;0,29;0,34;0,46;0,45;0,45
Dív. líquida/EBIT;26,07;-2,49;31,80;1,77;0,45;0,50;0,66;0,63;0,63
PL/Ativos;0,52;0,51;0,55;0,56;0,57;0,53;0,57;0,58;0,56
Passivos/Ativos;0,48;0,49;0,45;0,44;0,43;0,47;0,43;0,41;0,43
Liq. corrente;1,60;1,33;1,54;1,57;2,10;1,91;1,40;1,73;1,69
M. Bruta;35,58%;32,66%;40,04%;42,61%;55,45%;56,01%;58,56%;61,73%;62,30%
M. EBITDA;22,32%;0,32%;19,11%;32,99%;42,39%;47,92%;48,47%;45,73%;45,38%
M. EBIT;1,12%;-21,11%;1,41%;12,32%;27,46%;32,21%;33,43%;32,91%;32,43%
M. Líquida;0,37%;-35,32%;3,11%;12,71%;25,14%;26,84%;29,25%;29,72%;15,30%
ROE;0,19%;-18,89%;1,60%;7,90%;20,83%;25,79%;27,16%;28,24%;13,91%
ROA;0,10%;-9,55%;0,88%;4,40%;11,80%;13,65%;15,42%;16,45%;7,79%
ROIC;-0,66%;-12,88%;-0,10%;5,24%;14,88%;17,80%;19,76%;20,86%;10,02%
Giro ativos;0,26;0,27;0,28;0,35;0,47;0,51;0,53;0,55;0,51
CAGR Receitas 5 anos;-5,90%;-5,21%;0,09%;5,88%;7,06%;5,19%;6,09%;3,31%;1,92%
CAGR Lucros 5 anos;-%;-39,62%;-3,55%;14,01%;12,85%;12,45%;16,96%;-2,69%;-4,43%
