;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,49%;0,60%;0,66%;0,72%;0,49%;0,57%;0,74%;0,83%;0,89%
Div;3.26;3.77;4.13;2.8;3.15;2.16;1.94;1.63;1.4
P/L;47.91;59.37;73.39;52.88;88.33;57.42;43.79;38.44;40.95
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;9,40;9,54;10,13;6,64;18,46;20,54;18,19;18,14;29,79
EV/EBITDA;31,71;38,83;43,88;33,50;61,16;41,64;31,06;27,09;24,17
EV/EBIT;36,76;46,91;54,81;43,03;69,75;45,74;34,75;31,41;28,18
P/EBITDA;31,47;38,40;43,28;32,43;61,78;43,15;32,15;27,78;24,34
P/EBIT;36,48;46,39;54,05;41,65;70,46;47,40;35,96;32,21;28,39
VPA;70,83;65,86;61,69;58,58;34,85;18,50;14,40;10,85;5,30
P/Ativo;5,02;5,48;6,30;3,94;11,74;9,59;10,85;9,95;9,92
LPA;13.9;10.59;8.52;7.36;7.28;6.61;5.98;5.12;3.85
P/SR;9,84;10,80;12,18;8,58;18,91;13,65;10,05;8,48;7,76
P/Cap. Giro;49,60;80,44;99,02;77,09;72,80;23,56;41,88;75,24;-76,25
P/Ativo Circ. Liq.;-8,11;-7,84;-7,87;-4,82;-17,58;-35,53;-25,36;-18,84;-15,20
Dív. líquida/PL;0,07;0,11;0,14;0,22;-0,19;-0,72;-0,61;-0,45;-0,21
Dív. líquida/EBITDA;0,24;0,43;0,61;1,08;-0,62;-1,51;-1,09;-0,69;-0,17
Dív. líquida/EBIT;0,28;0,52;0,76;1,39;-0,71;-1,66;-1,22;-0,81;-0,20
PL/Ativos;0,53;0,57;0,62;0,59;0,64;0,47;0,60;0,55;0,33
Passivos/Ativos;0,47;0,43;0,38;0,41;0,36;0,53;0,40;0,45;0,67
Liq. corrente;1,36;1,29;1,47;1,39;1,94;2,26;1,83;1,39;0,73
M. Bruta;80,39%;79,62%;79,26%;82,19%;83,05%;82,34%;83,09%;84,02%;84,64%
M. EBITDA;31,28%;28,13%;28,14%;26,47%;30,60%;31,64%;31,26%;30,52%;31,89%
M. EBIT;26,98%;23,29%;22,53%;20,61%;26,83%;28,81%;27,95%;26,32%;27,35%
M. Líquida;20,55%;18,19%;16,59%;16,23%;21,41%;23,78%;22,95%;22,06%;18,96%
ROE;19,63%;16,07%;13,81%;12,57%;20,89%;35,76%;41,53%;47,19%;72,75%
ROA;10,47%;9,22%;8,58%;7,45%;13,29%;16,70%;24,78%;25,89%;24,21%
ROIC;16,03%;13,10%;11,25%;9,19%;17,57%;21,71%;37,56%;41,46%;55,16%
Giro ativos;0,51;0,51;0,52;0,46;0,62;0,70;1,08;1,17;1,28
CAGR Receitas 5 anos;19,14%;18,98%;19,62%;15,46%;12,87%;9,84%;8,83%;6,41%;6,36%
CAGR Lucros 5 anos;13,73%;12,40%;15,97%;16,06%;37,99%;11,41%;9,15%;4,46%;9,08%
