;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,04%;3,53%;3,87%;2,97%;1,50%;2,02%;1,74%;2,19%;0,93%
Div;0.29;1.13;1.32;0.88;0.67;0.6;0.52;;0.22
P/L;29.29;43.15;40.18;47.28;104.24;84.85;110.92;;-116.09
PEG Ratio;0,88;-;-;-;-;-;-;-;-
P/VP;1,78;2,01;2,06;1,76;2,78;1,96;1,96;1,27;1,44
EV/EBITDA;24,98;17,37;18,34;18,93;28,61;21,30;22,13;19,75;43,52
EV/EBIT;103,02;32,41;32,90;36,67;58,94;44,30;47,57;51,49;142,98
P/EBITDA;17,03;12,35;13,34;13,39;22,54;14,52;14,60;10,59;24,63
P/EBIT;70,21;23,04;23,93;25,94;46,43;30,19;31,37;27,61;80,90
VPA;15,70;15,93;16,60;16,83;16,30;15,17;15,26;15,81;16,38
P/Ativo;0,91;1,05;1,09;0,98;1,47;0,95;0,93;0,58;0,65
LPA;0.96;0.74;0.85;0.63;0.43;0.35;0.27;-0.01;-0.2
P/SR;6,35;7,48;8,58;8,10;13,65;9,13;9,14;6,07;11,60
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,91;-1,05;-1,09;-0,98;-1,47;-0,95;-0,93;-0,58;-0,65
Dív. líquida/PL;0,83;0,82;0,77;0,73;0,75;0,91;1,01;1,10;1,10
Dív. líquida/EBITDA;7,96;5,02;5,00;5,54;6,07;6,78;7,54;9,16;18,89
Dív. líquida/EBIT;32,81;9,37;8,97;10,72;12,51;14,11;16,20;23,88;62,07
PL/Ativos;0,51;0,52;0,53;0,56;0,53;0,49;0,47;0,46;0,45
Passivos/Ativos;0,49;0,48;0,47;0,44;0,47;0,51;0,53;0,54;0,55
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;14,48%;59,04%;59,87%;60,94%;61,05%;59,45%;58,54%;58,16%;58,76%
M. EBITDA;37,28%;60,54%;64,34%;60,46%;60,56%;62,92%;62,63%;57,27%;47,09%
M. EBIT;9,04%;32,45%;35,87%;31,21%;29,40%;30,25%;29,14%;21,97%;14,33%
M. Líquida;21,67%;17,33%;21,36%;17,13%;13,09%;10,76%;8,24%;-0,29%;-9,99%
ROE;6,09%;4,65%;5,11%;3,72%;2,67%;2,31%;1,77%;-0,06%;-1,24%
ROA;3,12%;2,43%;2,70%;2,07%;1,41%;1,12%;0,84%;-0,03%;-0,56%
ROIC;1,35%;4,69%;4,62%;3,83%;3,27%;3,30%;3,06%;2,15%;0,83%
Giro ativos;0,14;0,14;0,13;0,12;0,11;0,10;0,10;0,10;0,06
CAGR Receitas 5 anos;8,22%;7,14%;16,24%;16,70%;16,87%;21,78%;-%;-%;-%
CAGR Lucros 5 anos;25,56%;-%;-%;-%;-%;-%;-%;-%;-%
