;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,17%;3,44%;5,12%;5,34%;4,26%;4,32%;4,58%;5,00%;3,38%
Div;0.46;1.85;1.85;1.85;2.0;2.05;2.01;1.92;1.87
P/L;-17.85;33.57;43.43;8.07;10.15;38.65;14.05;7.74;10.64
PEG Ratio;0,04;-;-;-;-;-;-;-;-
P/VP;1,21;2,29;1,50;1,43;1,96;2,37;2,23;2,12;3,50
EV/EBITDA;12,37;15,36;9,49;6,71;9,49;13,76;9,72;8,76;13,80
EV/EBIT;-570,08;71,83;31,67;10,51;18,08;29,94;15,79;13,79;27,63
P/EBITDA;7,98;11,26;6,12;4,22;6,98;7,82;5,06;4,27;8,02
P/EBIT;-367,59;52,67;20,41;6,61;13,31;17,03;8,22;6,72;16,06
VPA;32,79;23,53;24,14;24,26;23,99;19,98;19,67;18,18;15,79
P/Ativo;0,52;0,82;0,54;0,51;0,70;0,59;0,51;0,46;0,67
LPA;-2.22;1.6;0.83;4.29;4.63;1.23;3.12;4.97;5.19
P/SR;0,82;1,00;0,66;0,57;0,92;0,91;0,77;0,67;1,05
P/Cap. Giro;8,40;8,63;4,72;6,85;6,02;6,31;-8,58;6,77;7,18
P/Ativo Circ. Liq.;-0,70;-1,14;-0,75;-0,71;-0,98;-0,91;-0,64;-0,59;-0,89
Dív. líquida/PL;0,67;0,83;0,83;0,84;0,70;1,80;2,06;2,22;2,52
Dív. líquida/EBITDA;4,40;4,10;3,38;2,49;2,50;5,93;4,66;4,49;5,78
Dív. líquida/EBIT;-202,49;19,16;11,26;3,90;4,77;12,91;7,57;7,06;11,57
PL/Ativos;0,43;0,36;0,36;0,35;0,36;0,25;0,23;0,22;0,19
Passivos/Ativos;0,57;0,64;0,64;0,65;0,64;0,75;0,77;0,78;0,81
Liq. corrente;1,31;1,51;1,67;1,35;1,71;1,36;0,77;1,49;1,62
M. Bruta;7,67%;28,16%;27,95%;28,44%;28,56%;30,16%;31,77%;33,26%;31,92%
M. EBITDA;10,26%;8,92%;10,81%;13,59%;13,15%;11,57%;15,20%;15,64%;13,08%
M. EBIT;-0,22%;1,91%;3,24%;8,68%;6,90%;5,32%;9,36%;9,94%;6,53%
M. Líquida;-4,59%;2,99%;1,52%;7,11%;9,05%;2,34%;5,47%;8,63%;9,86%
ROE;-6,78%;6,82%;3,45%;17,70%;19,29%;6,14%;15,88%;27,33%;32,87%
ROA;-2,89%;2,44%;1,24%;6,28%;6,94%;1,52%;3,66%;5,99%;6,32%
ROIC;-1,10%;-0,37%;3,38%;9,72%;6,75%;3,76%;6,07%;7,70%;1,40%
Giro ativos;0,63;0,82;0,81;0,88;0,77;0,65;0,67;0,69;0,64
CAGR Receitas 5 anos;-3,61%;-4,09%;-0,54%;-0,14%;-0,09%;-1,07%;-0,15%;-0,10%;-5,62%
CAGR Lucros 5 anos;-14,58%;-32,21%;-6,85%;14,15%;-12,47%;17,16%;7,60%;21,98%;-7,32%
