;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,03%;0,09%;0,10%;0,15%;0,03%;1,16%;5,78%;9,58%;5,01%
Div;0.02;0.08;0.08;0.08;0.02;0.53;2.13;1.97;1.63
P/L;57.85;43.46;40.06;35.0;44.85;-571.42;47.18;15.09;361.45
PEG Ratio;-1,65;-;-;-;-;-;-;-;-
P/VP;3,12;3,58;3,19;2,30;2,80;2,09;4,01;2,43;4,50
EV/EBITDA;40,14;21,70;19,63;17,45;25,97;35,74;18,81;8,76;41,12
EV/EBIT;90,84;29,47;27,21;26,39;44,22;230,94;30,78;12,28;296,34
P/EBITDA;36,02;19,94;18,94;16,56;24,67;32,11;16,39;6,46;32,96
P/EBIT;81,50;27,08;26,26;25,04;42,00;207,51;26,83;9,05;237,52
VPA;25,62;25,27;24,26;22,70;22,07;21,84;9,14;8,43;7,53
P/Ativo;1,73;2,02;2,00;1,43;1,66;1,18;1,62;0,91;1,44
LPA;1.38;2.08;1.93;1.49;1.38;-0.08;0.78;1.36;0.09
P/SR;4,23;5,04;4,54;3,58;4,90;3,88;3,06;1,51;2,80
P/Cap. Giro;14,09;15,54;14,03;9,23;9,53;8,05;7,74;5,53;7,37
P/Ativo Circ. Liq.;-2,25;-2,63;-2,71;-1,96;-2,29;-1,56;-2,43;-1,29;-2,11
Dív. líquida/PL;0,36;0,32;0,12;0,12;0,15;0,24;0,59;0,87;1,12
Dív. líquida/EBITDA;4,13;1,76;0,68;0,89;1,30;3,63;2,42;2,30;8,16
Dív. líquida/EBIT;9,33;2,39;0,95;1,35;2,22;23,43;3,95;3,23;58,82
PL/Ativos;0,56;0,57;0,63;0,62;0,59;0,57;0,40;0,37;0,32
Passivos/Ativos;0,44;0,43;0,37;0,38;0,41;0,43;0,60;0,63;0,68
Liq. corrente;2,16;2,29;2,22;2,37;2,80;2,58;2,69;2,23;2,61
M. Bruta;43,72%;43,81%;41,92%;39,31%;38,59%;32,86%;37,18%;37,64%;37,80%
M. EBITDA;11,74%;25,27%;23,95%;21,60%;19,85%;12,07%;18,68%;23,40%;8,50%
M. EBIT;5,19%;18,60%;17,27%;14,29%;11,66%;1,87%;11,41%;16,70%;1,18%
M. Líquida;7,31%;11,59%;11,32%;10,22%;10,92%;-0,68%;6,49%;10,02%;0,77%
ROE;5,39%;8,24%;7,96%;6,58%;6,25%;-0,37%;8,51%;16,07%;1,25%
ROA;3,00%;4,66%;5,00%;4,10%;3,71%;-0,21%;3,44%;6,00%;0,40%
ROIC;0,98%;7,25%;7,58%;5,82%;4,65%;0,60%;7,12%;11,02%;-2,93%
Giro ativos;0,41;0,40;0,44;0,40;0,34;0,31;0,53;0,60;0,51
CAGR Receitas 5 anos;24,16%;20,65%;20,02%;21,58%;18,21%;-0,94%;-%;-%;-%
CAGR Lucros 5 anos;39,44%;23,65%;101,07%;-%;-%;-%;-%;-%;-%
