;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,95%;2,60%;3,63%;4,96%;4,73%;8,39%;7,69%;7,32%;5,93%
Div;0.79;2.72;2.54;2.48;2.47;2.48;2.45;2.38;2.22
P/L;119.9;171.29;110.97;26.03;33.68;24.79;34.23;26.21;62.42
PEG Ratio;-1,21;-;-;-;-;-;-;-;-
P/VP;-27,76;-61,34;96,60;22,77;17,71;7,47;6,25;4,98;4,62
EV/EBITDA;30,41;23,47;20,02;13,36;13,86;11,63;11,83;11,70;14,13
EV/EBIT;127,02;45,98;39,54;22,26;23,09;21,48;22,06;21,19;26,16
P/EBITDA;18,39;16,31;12,73;7,77;8,69;5,82;6,28;6,34;9,04
P/EBIT;76,82;31,94;25,14;12,95;14,48;10,74;11,71;11,48;16,75
VPA;-2,98;-1,71;0,72;2,19;2,95;3,94;5,10;6,51;8,17
P/Ativo;1,19;1,65;1,17;0,90;1,05;0,60;0,66;0,78;0,97
LPA;0.69;0.61;0.63;1.92;1.55;1.19;0.93;1.24;0.6
P/SR;3,69;5,02;3,73;2,84;3,38;2,05;2,15;2,20;2,76
P/Cap. Giro;-25,12;-22,10;-40,84;-39,14;-26,26;-11,70;-12,83;-32,82;17,12
P/Ativo Circ. Liq.;-1,31;-1,81;-1,30;-0,99;-1,17;-0,66;-0,73;-0,87;-1,18
Dív. líquida/PL;-;-;55,33;16,38;10,53;7,48;5,52;4,22;2,60
Dív. líquida/EBITDA;12,02;7,17;7,29;5,59;5,17;5,82;5,55;5,36;5,08
Dív. líquida/EBIT;50,20;14,04;14,40;9,31;8,61;10,74;10,34;9,71;9,42
PL/Ativos;-0,04;-0,03;0,01;0,04;0,06;0,08;0,11;0,16;0,21
Passivos/Ativos;1,04;1,02;0,98;0,95;0,94;0,92;0,89;0,84;0,79
Liq. corrente;0,66;0,55;0,78;0,81;0,71;0,64;0,63;0,81;1,47
M. Bruta;13,44%;56,15%;56,98%;57,11%;57,98%;57,63%;56,99%;57,55%;56,71%
M. EBITDA;20,05%;30,77%;29,31%;36,55%;38,83%;35,22%;34,16%;34,63%;30,54%
M. EBIT;4,80%;15,71%;14,84%;21,94%;23,31%;19,08%;18,33%;19,13%;16,49%
M. Líquida;3,07%;2,93%;3,36%;10,91%;10,02%;8,26%;6,27%;8,38%;4,42%
ROE;-23,15%;-35,81%;87,05%;87,48%;52,60%;30,15%;18,26%;19,00%;7,40%
ROA;0,99%;0,96%;1,05%;3,45%;3,12%;2,42%;1,94%;2,98%;1,55%
ROIC;1,65%;6,85%;6,37%;9,37%;8,60%;7,74%;7,41%;7,75%;6,65%
Giro ativos;0,32;0,33;0,31;0,32;0,31;0,29;0,31;0,36;0,35
CAGR Receitas 5 anos;7,61%;5,34%;5,82%;5,05%;6,63%;6,46%;6,92%;5,06%;3,10%
CAGR Lucros 5 anos;-7,59%;-12,24%;26,77%;33,84%;22,70%;-3,89%;29,69%;-0,09%;-23,32%
