;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;20.69;29.9;40.05;32.95;34.71;53.62;59.09;94.89;
PEG Ratio;-1,24;-;-;-;-;-;-;-;-
P/VP;32,93;27,58;51,92;116,83;74,24;13,12;14,69;13,66;11,35
EV/EBITDA;33,19;22,03;24,72;21,02;22,42;22,91;26,28;23,81;54,45
EV/EBIT;51,55;25,04;28,50;24,60;26,88;35,24;41,44;44,64;106.951,24
P/EBITDA;31,42;21,73;23,95;19,71;21,11;21,05;23,10;20,13;43,72
P/EBIT;48,80;24,69;27,61;23,07;25,31;32,38;36,41;37,74;85.874,81
VPA;7,72;17,56;8,69;2,88;4,50;12,21;10,49;9,36;10,85
P/Ativo;2,53;4,39;4,51;3,65;3,71;1,96;1,93;1,87;1,53
LPA;12.29;16.2;11.26;10.2;9.63;2.99;2.61;1.35;0.04
P/SR;2,84;5,98;5,98;4,86;5,82;3,49;3,25;2,92;3,37
P/Cap. Giro;-42,88;164,77;-101,02;-32,80;-36,31;-22,91;-16,45;-14,36;-47,71
P/Ativo Circ. Liq.;-4,38;-8,64;-8,02;-5,90;-5,74;-2,86;-2,69;-2,65;-2,38
Dív. líquida/PL;1,85;0,39;1,67;7,74;4,60;1,16;2,03;2,50;2,79
Dív. líquida/EBITDA;1,77;0,31;0,77;1,31;1,31;1,86;3,19;3,68;10,73
Dív. líquida/EBIT;2,75;0,35;0,89;1,53;1,57;2,87;5,03;6,90;21.076,44
PL/Ativos;0,08;0,16;0,09;0,03;0,05;0,15;0,13;0,14;0,14
Passivos/Ativos;0,92;0,84;0,91;0,97;0,95;0,85;0,87;0,86;0,86
Liq. corrente;0,88;1,06;0,91;0,77;0,78;0,79;0,71;0,69;0,92
M. Bruta;68,42%;67,72%;67,78%;69,07%;69,50%;67,19%;63,48%;63,05%;60,13%
M. EBITDA;9,03%;27,53%;24,98%;24,65%;27,57%;16,58%;14,06%;14,52%;7,71%
M. EBIT;5,81%;24,23%;21,67%;21,06%;22,99%;10,78%;8,92%;7,74%;0,00%
M. Líquida;13,71%;20,00%;14,94%;14,75%;16,76%;6,51%;5,50%;3,08%;0,10%
ROE;159,13%;92,24%;129,65%;354,61%;213,86%;24,46%;24,86%;14,39%;0,33%
ROA;12,22%;14,69%;11,26%;11,07%;10,70%;3,65%;3,26%;1,97%;0,05%
ROIC;10,11%;36,26%;32,34%;34,73%;32,19%;12,46%;10,77%;7,96%;-3,07%
Giro ativos;0,89;0,73;0,75;0,75;0,64;0,56;0,59;0,64;0,45
CAGR Receitas 5 anos;8,10%;8,24%;10,58%;14,13%;13,64%;16,00%;17,38%;15,43%;10,73%
CAGR Lucros 5 anos;39,98%;48,44%;200,82%;32,60%;8,72%;4,89%;-7,70%;-54,38%;7,17%
