;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,31%;1,88%;2,55%;2,19%;1,41%;2,23%;2,55%;3,51%;2,65%
Div;0.37;1.48;1.47;1.4;1.15;1.04;1.04;1.04;1.01
P/L;22.4;30.58;21.24;28.71;34.91;53.45;5.53;12.67;21.89
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,70;3,24;2,37;2,70;3,25;1,93;1,59;1,29;1,72
EV/EBITDA;26,39;22,77;22,34;25,03;17,34;20,24;16,05;13,77;19,13
EV/EBIT;36,37;32,74;34,48;38,66;22,53;34,92;25,48;19,59;30,01
P/EBITDA;23,38;19,46;18,56;21,62;15,59;17,24;14,08;9,89;13,91
P/EBIT;32,21;27,97;28,65;33,40;20,26;29,74;22,34;14,07;21,81
VPA;21,15;24,37;24,28;23,67;24,99;24,10;25,62;22,90;22,09
P/Ativo;1,94;1,22;0,93;1,04;1,36;0,83;0,74;0,56;0,68
LPA;5.39;2.58;2.71;2.23;2.33;0.87;7.36;2.34;1.74
P/SR;3,12;2,27;1,76;2,13;2,41;1,51;1,31;1,17;1,54
P/Cap. Giro;-94,61;-67,19;-113,20;98,62;63,49;18,69;9,45;47,82;80,52
P/Ativo Circ. Liq.;-2,65;-1,65;-1,25;-1,44;-1,79;-1,10;-1,05;-0,74;-0,89
Dív. líquida/PL;0,73;0,55;0,48;0,43;0,36;0,34;0,22;0,51;0,65
Dív. líquida/EBITDA;3,01;3,32;3,78;3,41;1,75;3,00;1,98;3,88;5,23
Dív. líquida/EBIT;4,15;4,77;5,83;5,26;2,27;5,17;3,14;5,52;8,19
PL/Ativos;0,34;0,38;0,39;0,39;0,42;0,43;0,47;0,43;0,39
Passivos/Ativos;0,66;0,59;0,58;0,59;0,55;0,55;0,51;0,54;0,58
Liq. corrente;0,93;0,94;0,97;1,04;1,10;1,22;1,37;1,05;1,04
M. Bruta;36,41%;35,19%;34,95%;34,36%;34,05%;33,21%;32,10%;32,76%;32,98%
M. EBITDA;13,36%;11,68%;9,48%;9,86%;15,49%;8,76%;9,31%;11,84%;11,11%
M. EBIT;9,70%;8,12%;6,14%;6,38%;11,91%;5,08%;5,87%;8,32%;7,08%
M. Líquida;13,95%;7,43%;8,28%;7,42%;6,92%;2,83%;23,67%;9,24%;7,05%
ROE;25,46%;10,59%;11,18%;9,42%;9,32%;3,62%;28,71%;10,22%;7,88%
ROA;8,67%;3,99%;4,38%;3,63%;3,91%;1,55%;13,42%;4,43%;3,11%
ROIC;8,96%;6,85%;3,56%;4,50%;7,71%;4,06%;4,35%;5,45%;3,81%
Giro ativos;0,62;0,54;0,53;0,49;0,57;0,55;0,57;0,48;0,44
CAGR Receitas 5 anos;-0,86%;-0,93%;-2,00%;2,58%;5,47%;-9,16%;18,40%;18,21%;14,57%
CAGR Lucros 5 anos;-21,37%;-3,08%;-1,00%;-%;-16,59%;36,10%;32,17%;27,83%;-%
