;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,27%;1,26%;1,27%;1,12%;1,10%;1,06%;1,10%;1,17%;1,06%
Div;2.32;2.21;2.07;1.97;1.84;1.72;1.6;1.48;1.24
P/L;29.05;33.47;32.47;35.31;39.04;41.67;41.22;26.79;39.35
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;6,21;6,94;7,40;9,27;9,22;7,98;7,84;7,39;8,75
EV/EBITDA;16,39;18,05;17,88;19,75;21,25;21,95;21,84;19,11;18,62
EV/EBIT;22,02;25,06;24,85;27,13;30,61;31,82;31,92;27,22;26,23
P/EBITDA;16,52;17,89;17,50;19,64;21,16;22,33;22,03;19,17;18,75
P/EBIT;22,19;24,84;24,31;26,99;30,49;32,38;32,19;27,31;26,42
VPA;29,44;25,27;22,08;18,93;18,12;20,31;18,57;17,11;13,36
P/Ativo;4,35;4,37;4,29;5,22;5,21;5,09;5,13;4,81;4,73
LPA;6.3;5.24;5.03;4.97;4.28;3.89;3.53;4.72;2.97
P/SR;5,57;5,77;5,73;6,59;6,92;7,28;7,22;6,65;6,51
P/Cap. Giro;90,87;-7.115,28;114,26;183,85;531,53;70,94;112,65;431,07;184,96
P/Ativo Circ. Liq.;-5,60;-5,57;-5,55;-6,96;-6,78;-7,03;-6,94;-6,26;-6,50
Dív. líquida/PL;-0,05;0,06;0,16;0,05;0,04;-0,14;-0,07;-0,02;-0,06
Dív. líquida/EBITDA;-0,13;0,16;0,39;0,10;0,09;-0,38;-0,18;-0,06;-0,13
Dív. líquida/EBIT;-0,17;0,22;0,54;0,14;0,12;-0,56;-0,27;-0,09;-0,19
PL/Ativos;0,70;0,63;0,58;0,56;0,56;0,64;0,65;0,65;0,54
Passivos/Ativos;0,30;0,37;0,42;0,44;0,44;0,36;0,35;0,35;0,46
Liq. corrente;1,27;1,00;1,20;1,13;1,04;1,35;1,21;1,05;1,10
M. Bruta;42,71%;41,35%;41,33%;41,91%;39,52%;40,58%;40,55%;41,99%;41,95%
M. EBITDA;33,73%;32,24%;32,75%;33,57%;32,68%;32,62%;32,77%;34,68%;34,70%
M. EBIT;25,11%;23,22%;23,57%;24,43%;22,69%;22,50%;22,42%;24,35%;24,63%
M. Líquida;19,19%;17,23%;17,65%;18,68%;17,71%;17,48%;17,51%;24,82%;16,54%
ROE;21,39%;20,72%;22,79%;26,27%;23,61%;19,14%;19,03%;27,59%;22,24%
ROA;14,97%;13,06%;13,22%;14,78%;13,33%;12,22%;12,44%;17,95%;12,03%
ROIC;21,88%;19,99%;20,27%;24,41%;22,02%;19,18%;19,09%;26,40%;21,31%
Giro ativos;0,78;0,76;0,75;0,79;0,75;0,70;0,71;0,72;0,73
CAGR Receitas 5 anos;7,37%;7,15%;6,95%;5,35%;6,20%;5,77%;5,84%;6,41%;6,98%
CAGR Lucros 5 anos;7,03%;0,09%;9,59%;4,59%;7,03%;7,81%;16,84%;8,59%;12,60%
