;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,71%;1,92%;2,38%;2,98%;2,34%;2,83%;2,37%;2,54%;1,91%
Div;5.55;4.6;4.05;3.99;3.71;3.59;3.3;2.48;2.04
P/L;15.59;11.79;10.25;10.96;10.03;14.13;12.62;10.57;16.44
PEG Ratio;-0,42;-;-;-;-;-;-;-;-
P/VP;2,45;1,95;1,49;1,35;1,59;1,39;1,67;1,27;1,45
EV/EBITDA;29,17;4,61;2,81;2,91;2,43;5,11;7,02;5,78;6,43
EV/EBIT;35,11;4,82;2,96;3,20;2,72;6,08;7,85;6,51;7,23
P/EBITDA;17,64;3,64;3,25;4,96;6,38;7,18;5,48;4,66;6,63
P/EBIT;21,24;3,80;3,42;5,45;7,16;8,54;6,13;5,25;7,45
VPA;132,32;123,23;113,98;99,63;99,90;91,65;83,33;77,15;73,69
P/Ativo;0,19;0,17;0,13;0,11;0,12;0,11;0,16;0,12;0,15
LPA;20.81;20.33;16.6;12.23;15.8;8.99;11.05;9.24;6.5
P/SR;22,00;4,02;3,29;3,22;3,56;3,80;3,97;3,12;3,89
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,19;-0,17;-0,13;-0,11;-0,12;-0,11;-0,16;-0,12;-0,15
Dív. líquida/PL;1,60;0,52;-0,20;-0,56;-0,98;-0,40;0,47;0,30;-0,04
Dív. líquida/EBITDA;11,53;0,97;-0,44;-2,05;-3,95;-2,07;1,54;1,12;-0,20
Dív. líquida/EBIT;13,88;1,02;-0,47;-2,25;-4,44;-2,46;1,72;1,26;-0,23
PL/Ativos;0,08;0,09;0,08;0,08;0,08;0,08;0,10;0,10;0,10
Passivos/Ativos;0,92;0,91;0,92;0,92;0,92;0,92;0,90;0,90;0,90
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;124,74%;110,48%;101,12%;64,85%;55,80%;52,89%;72,43%;66,82%;58,64%
M. EBIT;103,62%;105,72%;96,07%;59,08%;49,74%;44,45%;64,83%;59,34%;52,17%
M. Líquida;141,16%;34,08%;32,10%;29,35%;35,52%;26,86%;31,48%;29,48%;23,65%
ROE;15,73%;16,50%;14,57%;12,28%;15,81%;9,81%;13,26%;11,97%;8,83%
ROA;1,24%;1,42%;1,23%;0,98%;1,24%;0,81%;1,29%;1,17%;0,89%
ROIC;1,61%;12,40%;11,27%;6,30%;5,35%;3,94%;7,05%;5,72%;4,38%
Giro ativos;0,01;0,04;0,04;0,03;0,03;0,03;0,04;0,04;0,04
CAGR Receitas 5 anos;8,68%;7,39%;5,09%;7,49%;0,21%;1,33%;-0,48%;-2,46%;-3,82%
CAGR Lucros 5 anos;9,92%;8,82%;9,04%;14,34%;5,16%;12,66%;14,42%;4,22%;7,08%
