;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,45%;2,72%;2,45%;2,14%;2,34%;1,88%;2,07%;407,49%;-%
Div;0.69;0.87;0.82;0.76;0.86;0.6;0.6;104.02;
P/L;24.16;30.24;21.24;34.97;24.36;33.99;32.48;60.78;
PEG Ratio;-0,79;-;-;-;-;-;-;-;-
P/VP;1,51;1,80;1,80;2,00;2,09;1,89;1,75;1,58;-
EV/EBITDA;64,45;17,32;14,94;19,80;15,91;19,41;18,18;30,31;3,40
EV/EBIT;575,20;22,11;18,25;25,62;19,32;24,78;23,58;41,57;3,82
P/EBITDA;46,04;12,88;11,66;16,09;13,05;14,96;13,37;20,89;-
P/EBIT;410,93;16,45;14,24;20,82;15,85;19,11;17,35;28,65;-
VPA;18,64;17,87;18,47;17,84;17,61;16,93;16,53;16,22;49,49
P/Ativo;0,70;0,82;0,89;0,97;1,03;0,90;0,82;0,73;-
LPA;1.16;1.06;1.57;1.02;1.51;0.94;0.89;0.42;7.2
P/SR;2,36;2,84;3,13;3,57;4,12;3,88;3,66;4,79;-
P/Cap. Giro;-13,52;-10,65;-8,36;-11,76;-15,25;-8,49;-9,69;-10,05;-
P/Ativo Circ. Liq.;-0,77;-0,88;-0,95;-1,05;-1,10;-0,95;-0,86;-0,76;-
Dív. líquida/PL;0,60;0,62;0,51;0,46;0,46;0,56;0,63;0,71;0,69
Dív. líquida/EBITDA;18,41;4,44;3,28;3,71;2,86;4,45;4,81;9,42;3,40
Dív. líquida/EBIT;164,27;5,66;4,01;4,80;3,47;5,68;6,24;12,92;3,82
PL/Ativos;0,46;0,45;0,49;0,48;0,49;0,48;0,47;0,46;0,47
Passivos/Ativos;0,54;0,55;0,51;0,52;0,51;0,52;0,53;0,54;0,51
Liq. corrente;0,62;0,49;0,38;0,47;0,47;0,31;0,35;0,38;0,52
M. Bruta;54,76%;55,56%;54,54%;52,10%;55,01%;55,83%;57,03%;52,16%;59,72%
M. EBITDA;5,13%;22,03%;26,82%;22,20%;31,59%;25,91%;27,39%;22,91%;22,45%
M. EBIT;0,57%;17,26%;21,96%;17,16%;26,00%;20,29%;21,12%;16,70%;19,99%
M. Líquida;9,78%;9,39%;14,72%;10,22%;16,92%;11,40%;11,28%;7,87%;16,08%
ROE;6,25%;5,94%;8,49%;5,72%;8,59%;5,56%;5,39%;2,60%;14,54%
ROA;2,90%;2,70%;4,18%;2,77%;4,24%;2,66%;2,53%;1,20%;6,83%
ROIC;-0,97%;5,46%;6,87%;5,72%;7,15%;5,15%;5,02%;2,69%;9,86%
Giro ativos;0,30;0,29;0,28;0,27;0,25;0,23;0,22;0,15;0,42
CAGR Receitas 5 anos;6,66%;14,76%;16,01%;14,52%;13,09%;12,68%;4,41%;2,22%;1,76%
CAGR Lucros 5 anos;2,82%;30,06%;5,94%;20,43%;11,64%;12,27%;-1,25%;11,34%;6,93%
