;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,99%;4,78%;5,69%;4,54%;3,24%;4,51%;3,51%;3,82%;1,88%
Div;0.2;0.84;0.82;0.79;0.75;0.74;0.71;0.56;0.38
P/L;23.4;-117.83;16.37;9.04;8.53;12.95;12.31;8.49;17.69
PEG Ratio;0,04;-;-;-;-;-;-;-;-
P/VP;1,13;1,04;0,92;1,21;1,23;0,89;1,17;0,98;1,44
EV/EBITDA;309,51;-39,68;-14,00;-8,46;-12,23;-18,09;-5,00;-6,05;-4,60
EV/EBIT;262,98;-42,44;-14,76;-8,93;-12,43;-19,45;-5,58;-7,11;-5,84
P/EBITDA;-174,03;16,91;4,49;5,24;6,07;8,02;7,16;4,90;7,55
P/EBIT;-147,87;18,08;4,73;5,53;6,17;8,62;7,99;5,76;9,59
VPA;18,39;16,42;15,63;14,42;18,76;18,41;17,30;15,07;13,97
P/Ativo;0,12;0,10;0,07;0,09;0,12;0,09;0,14;0,11;0,16
LPA;0.88;-0.15;0.88;1.93;2.71;1.27;1.64;1.74;1.14
P/SR;3,04;2,05;1,30;2,00;2,84;2,18;2,59;2,07;3,16
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,12;-0,10;-0,07;-0,09;-0,12;-0,09;-0,14;-0,11;-0,16
Dív. líquida/PL;-3,13;-3,49;-3,80;-3,16;-3,72;-2,90;-1,99;-2,19;-2,32
Dív. líquida/EBITDA;483,54;-56,58;-18,49;-13,70;-18,30;-26,11;-12,15;-10,94;-12,15
Dív. líquida/EBIT;410,85;-60,52;-19,48;-14,46;-18,59;-28,06;-13,57;-12,87;-15,43
PL/Ativos;0,11;0,10;0,08;0,07;0,09;0,11;0,12;0,11;0,11
Passivos/Ativos;0,89;0,90;0,92;0,93;0,91;0,89;0,88;0,89;0,89
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;-1,75%;12,15%;28,91%;38,17%;46,81%;27,25%;36,21%;42,24%;41,83%
M. EBIT;-2,06%;11,36%;27,43%;36,15%;46,07%;25,35%;32,43%;35,91%;32,95%
M. Líquida;12,99%;-1,74%;7,93%;22,13%;33,32%;16,86%;21,06%;24,35%;17,85%
ROE;4,81%;-0,89%;5,63%;13,37%;14,46%;6,88%;9,51%;11,54%;8,16%
ROA;0,52%;-0,09%;0,44%;0,95%;1,35%;0,73%;1,12%;1,29%;0,89%
ROIC;-1,50%;4,46%;14,98%;10,98%;15,62%;8,61%;12,03%;14,04%;10,14%
Giro ativos;0,04;0,05;0,06;0,04;0,04;0,04;0,05;0,05;0,05
CAGR Receitas 5 anos;3,72%;7,06%;3,43%;7,00%;10,26%;12,08%;11,01%;8,53%;3,32%
CAGR Lucros 5 anos;-%;-12,32%;8,14%;27,11%;8,50%;14,35%;16,04%;9,16%;-0,55%
