;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;41.46;45.3;26.32;27.21;42.28;39.2;31.14;70.6;76.38
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,99;5,45;5,98;7,35;9,99;7,46;6,44;4,79;3,37
EV/EBITDA;24,69;22,81;16,48;19,12;27,16;21,13;17,71;-695,88;18,64
EV/EBIT;30,48;29,31;18,92;22,24;34,47;29,34;24,57;-38,19;34,83
P/EBITDA;24,24;22,82;16,89;19,27;27,35;21,10;17,53;-647,16;16,10
P/EBIT;29,91;29,31;19,39;22,42;34,71;29,30;24,33;-35,51;30,08
VPA;34,23;29,48;26,61;23,27;20,67;17,72;15,94;12,97;12,33
P/Ativo;3,12;3,00;3,20;3,78;4,86;3,41;2,92;2,00;1,31
LPA;4.95;3.55;6.04;6.29;4.88;3.37;3.3;0.88;0.54
P/SR;6,56;5,59;5,09;5,64;7,65;5,82;4,49;3,00;2,44
P/Cap. Giro;14,11;9,83;10,08;10,82;14,97;10,72;8,74;12,72;5,74
P/Ativo Circ. Liq.;-5,07;-5,55;-7,18;-7,92;-9,58;-6,39;-5,68;-3,38;-2,07
Dív. líquida/PL;0,11;0,00;-0,15;-0,06;-0,07;0,01;0,06;0,36;0,53
Dív. líquida/EBITDA;0,45;0,00;-0,41;-0,16;-0,19;0,03;0,17;-48,72;2,54
Dív. líquida/EBIT;0,56;-0,01;-0,47;-0,18;-0,24;0,04;0,24;-2,67;4,75
PL/Ativos;0,52;0,55;0,54;0,51;0,49;0,46;0,45;0,42;0,39
Passivos/Ativos;0,48;0,45;0,46;0,49;0,51;0,54;0,55;0,58;0,61
Liq. corrente;2,35;2,98;2,35;3,01;2,93;3,12;3,21;1,63;2,66
M. Bruta;62,08%;62,92%;64,64%;63,65%;62,11%;60,01%;58,89%;54,44%;53,21%
M. EBITDA;27,05%;24,48%;30,14%;29,28%;27,97%;27,60%;25,63%;-0,46%;15,18%
M. EBIT;21,92%;19,06%;26,26%;25,17%;22,04%;19,88%;18,48%;-8,46%;8,12%
M. Líquida;15,81%;12,33%;19,34%;20,74%;18,09%;14,85%;14,43%;4,25%;3,20%
ROE;14,45%;12,03%;22,71%;27,01%;23,63%;19,02%;20,67%;6,78%;4,42%
ROA;7,52%;6,62%;12,17%;13,88%;11,49%;8,69%;9,38%;2,83%;1,72%
ROIC;11,47%;10,12%;17,60%;20,20%;17,45%;13,86%;14,63%;-21,41%;4,18%
Giro ativos;0,48;0,54;0,63;0,67;0,64;0,58;0,65;0,67;0,54
CAGR Receitas 5 anos;2,96%;7,10%;11,19%;11,11%;8,13%;7,97%;6,07%;-0,77%;32,52%
CAGR Lucros 5 anos;-0,23%;44,98%;61,60%;21,69%;4,10%;9,64%;-18,43%;-34,42%;61,68%
