;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,14%;0,47%;0,78%;1,65%;0,77%;1,31%;1,71%;3,23%;3,18%
Div;0.18;0.69;0.65;0.77;0.57;0.53;0.5;0.64;0.67
P/L;50.3;42.71;19.92;-76.63;9.73;11.84;8.14;9.59;10.21
PEG Ratio;-2,35;-;-;-;-;-;-;-;-
P/VP;3,84;5,55;3,21;2,13;2,52;1,68;1,49;1,22;1,40
EV/EBITDA;61,73;18,31;10,45;40,54;4,78;-;6,41;9,65;7,66
EV/EBIT;58,03;18,07;10,52;51,51;4,90;7,39;6,41;9,65;7,66
P/EBITDA;48,82;14,52;7,66;23,38;2,93;-;2,58;3,36;2,80
P/EBIT;45,89;14,33;7,72;29,70;3,00;3,44;2,58;3,36;2,80
VPA;33,38;26,63;25,83;21,84;29,52;24,10;19,63;16,13;15,05
P/Ativo;0,29;0,36;0,23;0,15;0,17;0,29;0,26;0,21;0,22
LPA;2.55;3.46;4.16;-0.61;7.66;3.42;3.58;2.05;2.06
P/SR;7,08;7,07;6,35;9,83;2,94;7,07;5,05;6,93;3,66
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,29;-0,36;-0,23;-0,15;-0,17;-0,29;-0,26;-0,21;-0,22
Dív. líquida/PL;1,02;1,45;1,17;1,56;1,60;1,93;2,20;2,28;2,43
Dív. líquida/EBITDA;12,91;3,79;2,79;17,16;1,85;-;3,83;6,29;4,86
Dív. líquida/EBIT;12,14;3,74;2,81;21,80;1,90;3,95;3,83;6,29;4,86
PL/Ativos;0,07;0,07;0,07;0,07;0,07;0,17;0,18;0,17;0,16
Passivos/Ativos;0,92;0,93;0,93;0,93;0,93;0,83;0,82;0,81;0,83
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;14,94%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;14,51%;48,71%;82,82%;42,05%;100,42%;-%;195,50%;206,14%;130,74%
M. EBIT;15,43%;49,35%;82,23%;33,10%;97,86%;205,35%;195,50%;206,14%;130,74%
M. Líquida;14,08%;16,56%;31,86%;-12,83%;30,20%;59,67%;62,05%;72,23%;35,84%
ROE;7,64%;13,01%;16,10%;-2,77%;25,94%;14,19%;18,24%;12,69%;13,71%
ROA;0,57%;0,85%;1,16%;-0,19%;1,73%;2,44%;3,24%;2,16%;2,15%
ROIC;1,94%;11,20%;11,81%;1,98%;23,91%;12,91%;15,03%;9,48%;11,87%
Giro ativos;0,04;0,05;0,04;0,01;0,06;0,04;0,05;0,03;0,06
CAGR Receitas 5 anos;42,35%;50,03%;8,15%;64,60%;25,59%;23,41%;14,79%;37,05%;11,55%
CAGR Lucros 5 anos;8,94%;26,97%;-%;72,08%;32,60%;33,23%;10,35%;12,67%;176,29%
