;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,60%;0,96%;0,92%;1,25%;0,91%;1,35%;1,74%;3,17%;2,15%
Div;7.36;6.05;5.35;4.71;3.91;3.5;3.1;2.84;2.26
P/L;39.71;30.33;23.21;15.72;31.22;32.87;23.91;17.08;17.78
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;34,37;24,87;26,93;37,25;19,21;15,00;10,57;8,45;12,41
EV/EBITDA;30,46;22,01;18,06;13,99;23,09;22,73;18,02;8,00;12,10
EV/EBIT;32,88;24,53;19,89;15,39;26,15;28,08;20,97;8,31;12,64
P/EBITDA;30,20;21,46;17,47;13,01;22,76;21,91;17,00;8,39;12,16
P/EBIT;32,60;23,93;19,24;14,30;25,77;27,08;19,79;8,72;12,71
VPA;35,71;25,34;21,59;10,12;22,39;17,26;16,85;10,59;8,46
P/Ativo;10,04;5,43;5,59;4,14;6,32;4,31;3,12;2,43;2,98
LPA;30.91;20.77;25.04;23.99;13.78;7.88;7.45;5.24;5.91
P/SR;13,27;8,54;7,49;5,67;9,38;6,89;6,15;3,39;4,73
P/Cap. Giro;24,39;15,60;16,99;12,15;18,06;13,23;11,04;4,11;5,31
P/Ativo Circ. Liq.;-30,04;-15,51;-13,79;-9,62;-14,18;-8,78;-5,99;-12,57;-14,44
Dív. líquida/PL;0,30;0,63;0,91;2,82;0,28;0,56;0,63;-0,40;-0,07
Dív. líquida/EBITDA;0,26;0,54;0,59;0,98;0,33;0,82;1,02;-0,39;-0,06
Dív. líquida/EBIT;0,28;0,61;0,65;1,08;0,38;1,01;1,19;-0,41;-0,07
PL/Ativos;0,29;0,22;0,21;0,11;0,33;0,29;0,30;0,29;0,24
Passivos/Ativos;0,71;0,78;0,79;0,89;0,67;0,71;0,70;0,71;0,76
Liq. corrente;2,62;2,15;2,24;2,50;2,71;2,78;2,44;3,75;3,40
M. Bruta;60,91%;59,97%;59,81%;61,00%;59,93%;57,81%;59,08%;64,18%;63,04%
M. EBITDA;43,93%;39,78%;42,89%;43,56%;41,21%;31,43%;36,20%;40,45%;38,90%
M. EBIT;40,69%;35,68%;38,93%;39,62%;36,39%;25,44%;31,10%;38,90%;37,23%
M. Líquida;33,41%;28,15%;32,27%;36,06%;30,04%;20,96%;25,73%;19,87%;26,61%
ROE;86,56%;82,00%;116,01%;237,04%;61,53%;45,65%;44,21%;49,51%;69,82%
ROA;25,28%;17,90%;24,07%;26,37%;20,23%;13,11%;13,05%;14,23%;16,74%
ROIC;41,26%;30,74%;41,82%;43,19%;32,77%;22,42%;21,37%;23,76%;24,63%
Giro ativos;0,76;0,64;0,75;0,73;0,67;0,63;0,51;0,72;0,63
CAGR Receitas 5 anos;16,52%;21,06%;21,49%;18,31%;15,59%;9,30%;7,26%;1,87%;-1,23%
CAGR Lucros 5 anos;18,63%;33,38%;29,11%;24,16%;27,15%;15,07%;8,11%;4,14%;-2,38%
