;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,91%;3,12%;3,12%;2,77%;2,84%;2,99%;2,89%;3,29%;3,23%
Div;2.04;1.94;1.84;1.76;1.68;1.64;1.6;1.56;1.47
P/L;23.14;25.19;23.7;28.85;26.21;30.42;26.59;31.33;156.63
PEG Ratio;0,92;-;-;-;-;-;-;-;-
P/VP;9,65;10,78;9,79;11,42;11,13;12,21;12,49;11,87;11,45
EV/EBITDA;77,01;18,83;18,09;21,90;18,50;21,03;20,52;22,38;24,71
EV/EBIT;102,94;20,20;19,50;24,09;20,41;23,92;22,91;25,03;28,73
P/EBITDA;69,70;16,93;16,27;19,91;16,55;18,52;18,11;19,64;21,71
P/EBIT;93,17;18,17;17,53;21,91;18,26;21,07;20,21;21,97;25,25
VPA;7,26;5,78;6,02;5,57;5,32;4,49;4,43;3,99;4,01
P/Ativo;2,84;2,66;2,60;2,97;2,71;2,70;2,75;2,42;2,22
LPA;3.03;2.47;2.49;2.2;2.26;1.8;2.08;1.51;0.29
P/SR;6,33;5,69;5,55;6,40;6,63;7,14;6,36;5,88;5,40
P/Cap. Giro;63,52;358,08;80,31;96,03;98,69;50,80;-36,14;-52,32;20,90
P/Ativo Circ. Liq.;-3,83;-3,59;-3,58;-3,92;-3,57;-3,46;-3,59;-3,46;-3,81
Dív. líquida/PL;1,01;1,20;1,09;1,14;1,31;1,65;1,66;1,65;1,58
Dív. líquida/EBITDA;7,31;1,89;1,82;1,99;1,95;2,51;2,41;2,74;3,00
Dív. líquida/EBIT;9,77;2,03;1,96;2,19;2,15;2,85;2,69;3,06;3,49
PL/Ativos;0,29;0,25;0,27;0,26;0,24;0,22;0,22;0,20;0,19
Passivos/Ativos;0,71;0,75;0,73;0,74;0,76;0,78;0,78;0,80;0,81
Liq. corrente;1,21;1,03;1,13;1,15;1,13;1,32;0,76;0,87;1,34
M. Bruta;61,63%;61,06%;59,52%;58,14%;60,27%;59,31%;60,77%;61,90%;62,11%
M. EBITDA;9,08%;33,61%;34,11%;32,16%;40,03%;38,54%;35,14%;29,92%;24,86%
M. EBIT;6,79%;31,33%;31,65%;29,23%;36,27%;33,88%;31,48%;26,75%;21,38%
M. Líquida;27,34%;22,59%;23,42%;22,19%;25,28%;23,47%;23,94%;18,76%;3,45%
ROE;41,70%;42,77%;41,30%;39,59%;42,48%;40,14%;46,99%;37,89%;7,31%
ROA;12,29%;10,57%;10,97%;10,29%;10,36%;8,87%;10,33%;7,73%;1,42%
ROIC;0,55%;17,74%;17,98%;16,53%;17,34%;14,82%;16,08%;12,13%;3,30%
Giro ativos;0,45;0,47;0,47;0,46;0,41;0,38;0,43;0,41;0,41
CAGR Receitas 5 anos;4,78%;5,93%;3,50%;-1,58%;-5,71%;-4,12%;-6,05%;-5,49%;-2,10%
CAGR Lucros 5 anos;3,57%;10,74%;50,21%;8,40%;1,05%;4,68%;-5,60%;-32,67%;-5,33%
