;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,51%;2,00%;2,41%;2,11%;1,72%;2,14%;2,07%;3,58%;1,79%
Div;0.32;1.22;1.1;0.94;0.78;0.68;0.6;0.98;0.49
P/L;14.89;20.45;14.65;19.28;12.87;14.58;7.46;11.5;12.24
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;4,79;3,81;3,27;3,38;3,48;2,82;2,96;3,18;3,61
EV/EBITDA;13,51;17,16;6,45;7,18;6,18;6,27;6,63;6,29;6,57
EV/EBIT;13,52;17,18;13,16;16,57;11,50;15,42;12,88;12,43;11,04
P/EBITDA;10,30;14,27;4,69;5,27;4,57;4,36;4,57;4,25;4,19
P/EBIT;10,31;14,29;9,57;12,17;8,50;10,74;8,88;8,40;7,04
VPA;13,09;16,03;13,96;13,20;13,02;11,26;9,79;8,66;7,60
P/Ativo;0,75;0,88;0,66;0,65;0,68;0,53;0,61;0,59;0,66
LPA;4.21;2.99;3.12;2.31;3.52;2.18;3.88;2.39;2.24
P/SR;0,27;0,29;0,22;0,23;0,25;0,20;0,19;0,18;0,21
P/Cap. Giro;-59,48;-14,23;-7,20;-7,69;-11,62;-7,21;-6,69;-7,12;-9,60
P/Ativo Circ. Liq.;-1,06;-1,18;-0,89;-0,86;-0,92;-0,70;-0,85;-0,84;-0,92
Dív. líquida/PL;1,49;0,77;1,23;1,22;1,22;1,23;1,34;1,52;2,05
Dív. líquida/EBITDA;3,21;2,88;1,76;1,91;1,61;1,90;2,06;2,04;2,38
Dív. líquida/EBIT;3,21;2,88;3,60;4,40;3,00;4,68;4,00;4,03;4,00
PL/Ativos;0,16;0,23;0,20;0,19;0,20;0,19;0,21;0,19;0,18
Passivos/Ativos;0,84;0,77;0,80;0,81;0,80;0,81;0,79;0,81;0,82
Liq. corrente;0,96;0,81;0,74;0,75;0,81;0,76;0,76;0,78;0,80
M. Bruta;22,70%;22,24%;21,43%;22,01%;23,32%;22,07%;21,95%;22,28%;22,40%
M. EBITDA;2,62%;2,07%;4,73%;4,39%;5,50%;4,53%;4,17%;4,18%;5,01%
M. EBIT;2,62%;2,06%;2,32%;1,90%;2,95%;1,84%;2,15%;2,12%;2,98%
M. Líquida;1,81%;1,44%;1,51%;1,20%;1,95%;1,36%;2,55%;1,55%;1,71%
ROE;32,18%;18,65%;22,35%;17,51%;26,99%;19,35%;39,69%;27,62%;29,49%
ROA;5,06%;4,28%;4,52%;3,37%;5,31%;3,67%;8,16%;5,13%;5,41%
ROIC;12,27%;10,28%;11,89%;9,80%;13,62%;8,62%;8,61%;11,66%;11,93%
Giro ativos;2,80;2,97;2,99;2,81;2,72;2,70;3,20;3,31;3,16
CAGR Receitas 5 anos;4,25%;3,76%;3,64%;3,82%;2,43%;4,37%;4,99%;5,02%;6,01%
CAGR Lucros 5 anos;-7,00%;3,31%;-3,47%;4,86%;-0,81%;15,41%;4,96%;26,82%;12,81%
