;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,06%;0,30%;0,36%;0,43%;0,43%;0,56%;0,48%;0,55%;0,50%
Div;0.06;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25
P/L;15.08;12.86;10.78;16.74;9.09;-13.29;16.75;22.45;14.47
PEG Ratio;-1,14;-;-;-;-;-;-;-;-
P/VP;1,20;1,07;0,98;0,96;0,80;0,69;0,82;0,77;0,88
EV/EBITDA;38,77;8,15;7,63;9,75;5,93;-61,59;8,68;9,51;7,69
EV/EBIT;88,59;9,50;8,75;12,23;6,92;-18,30;13,02;15,20;10,56
P/EBITDA;32,16;6,74;5,69;7,35;4,72;-43,88;6,09;6,35;5,50
P/EBIT;73,50;7,85;6,52;9,22;5,51;-13,04;9,13;10,14;7,56
VPA;88,51;79,49;70,69;60,81;71,84;64,98;64,28;59,04;57,05
P/Ativo;0,25;0,22;0,20;0,18;0,18;0,15;0,19;0,18;0,21
LPA;7.03;6.59;6.45;3.48;6.35;-3.39;3.13;2.03;3.46
P/SR;1,20;1,04;0,97;0,98;0,98;0,98;1,05;1,02;1,23
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,25;-0,22;-0,20;-0,18;-0,18;-0,15;-0,19;-0,18;-0,21
Dív. líquida/PL;0,25;0,22;0,34;0,31;0,21;0,28;0,35;0,38;0,35
Dív. líquida/EBITDA;6,60;1,41;1,95;2,40;1,21;-17,71;2,59;3,16;2,19
Dív. líquida/EBIT;15,09;1,64;2,23;3,01;1,42;-5,26;3,89;5,06;3,00
PL/Ativos;0,21;0,21;0,20;0,19;0,22;0,22;0,23;0,24;0,24
Passivos/Ativos;0,79;0,79;0,80;0,81;0,78;0,78;0,77;0,76;0,76
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;13,77%;55,81%;55,55%;52,63%;56,68%;50,97%;61,11%;60,39%;61,34%
M. EBITDA;3,73%;15,41%;17,10%;13,33%;20,74%;-2,24%;17,17%;16,00%;22,29%
M. EBIT;1,63%;13,22%;14,92%;10,62%;17,78%;-7,54%;11,45%;10,01%;16,22%
M. Líquida;7,95%;8,08%;9,02%;5,85%;10,77%;-7,40%;6,24%;4,52%;8,47%
ROE;7,94%;8,29%;9,13%;5,73%;8,84%;-5,21%;4,87%;3,43%;6,06%
ROA;1,69%;1,73%;1,81%;1,09%;1,93%;-1,16%;1,13%;0,81%;1,46%
ROIC;-0,34%;7,44%;7,45%;5,24%;7,87%;-4,01%;4,76%;4,28%;6,64%
Giro ativos;0,21;0,21;0,20;0,19;0,18;0,16;0,18;0,18;0,17
CAGR Receitas 5 anos;3,24%;2,48%;0,45%;2,26%;-1,27%;0,83%;-0,76%;-0,48%;-1,49%
CAGR Lucros 5 anos;8,69%;17,66%;-6,72%;19,26%;-%;9,54%;1,34%;15,43%;-9,24%
