;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,53%;1,05%;1,66%;0,86%;0,82%;0,29%;0,41%;0,25%
Div;;2.01;1.5;1.5;1.0;0.62;0.16;0.16;0.16
P/L;9.58;8.85;10.21;5.68;7.84;9.67;9.58;7.63;18.72
PEG Ratio;-0,27;-;-;-;-;-;-;-;-
P/VP;1,13;1,25;1,51;1,09;1,67;1,32;1,11;0,89;1,93
EV/EBITDA;17,42;6,11;6,92;4,20;6,21;8,48;9,71;8,64;15,22
EV/EBIT;18,97;6,24;7,06;4,26;6,29;8,67;9,98;8,89;16,22
P/EBITDA;16,10;6,56;7,57;4,30;5,89;7,47;7,09;5,55;11,98
P/EBIT;17,53;6,71;7,73;4,36;5,97;7,63;7,28;5,71;12,76
VPA;91,39;104,96;94,65;83,19;69,65;57,54;50,22;44,15;32,81
P/Ativo;0,73;0,84;1,03;0,69;1,05;0,80;0,60;0,45;0,81
LPA;10.8;14.81;14.03;15.93;14.82;7.88;5.82;5.13;3.38
P/SR;0,74;0,98;1,17;0,78;1,28;1,06;0,80;0,63;1,20
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,73;-0,84;-1,03;-0,69;-1,05;-0,80;-0,60;-0,45;-0,81
Dív. líquida/PL;0,09;-0,09;-0,13;-0,02;0,09;0,18;0,41;0,49;0,52
Dív. líquida/EBITDA;1,32;-0,46;-0,65;-0,10;0,32;1,01;2,63;3,09;3,25
Dív. líquida/EBIT;1,43;-0,47;-0,67;-0,10;0,33;1,04;2,70;3,18;3,46
PL/Ativos;0,65;0,67;0,68;0,63;0,63;0,60;0,54;0,51;0,42
Passivos/Ativos;0,35;0,33;0,32;0,37;0,37;0,40;0,46;0,49;0,58
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;4,84%;17,21%;19,11%;24,01%;22,93%;18,04%;15,34%;14,00%;17,45%
M. EBITDA;4,57%;14,96%;15,51%;18,11%;21,74%;14,20%;11,23%;11,33%;10,02%
M. EBIT;4,19%;14,63%;15,20%;17,86%;21,45%;13,89%;10,94%;11,00%;9,41%
M. Líquida;7,67%;11,10%;11,50%;13,70%;16,33%;10,96%;8,31%;8,24%;6,41%
ROE;11,82%;14,11%;14,82%;19,15%;21,28%;13,70%;11,59%;11,63%;10,30%
ROA;7,65%;9,52%;10,04%;12,15%;13,34%;8,23%;6,30%;5,94%;4,32%
ROIC;2,22%;13,17%;13,48%;16,51%;17,50%;10,30%;7,76%;7,43%;5,40%
Giro ativos;1,00;0,86;0,87;0,89;0,82;0,75;0,76;0,72;0,67
CAGR Receitas 5 anos;9,75%;10,72%;21,63%;19,90%;18,87%;23,40%;28,22%;25,24%;28,75%
CAGR Lucros 5 anos;16,29%;18,36%;41,60%;37,18%;25,42%;23,98%;29,10%;3,94%;58,55%
