;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,41%;2,22%;2,17%;2,15%;1,91%;1,80%;1,45%;1,86%;1,55%
Div;1.21;4.64;4.57;4.48;4.07;3.4;2.87;2.5;2.2
P/L;31.33;32.85;32.58;37.37;22.35;35.49;46.09;23.13;31.1
PEG Ratio;0,69;-1,75;-;-;-;-;-;-;-
P/VP;2,86;2,09;2,13;2,14;2,15;1,91;13,01;4,93;5,77
EV/EBITDA;-;16,34;17,93;18,41;13,48;11,96;34,06;16,36;16,44
EV/EBIT;109,93;27,80;29,79;29,54;18,60;22,75;42,10;20,97;22,17
P/EBITDA;-;12,45;13,64;15,94;11,74;10,47;32,40;13,71;14,02
P/EBIT;90,79;21,19;22,66;25,57;16,19;19,93;40,06;17,57;18,91
VPA;103,06;100,16;98,86;97,18;99,29;99,19;15,21;27,30;24,56
P/Ativo;1,34;0,95;0,96;1,18;1,19;1,07;4,32;1,64;1,67
LPA;9.4;6.36;6.46;5.57;9.54;5.33;4.29;5.82;4.56
P/SR;2,53;1,88;2,06;2,33;2,32;2,18;6,43;2,62;2,86
P/Cap. Giro;192,69;120,52;783,87;40,58;22,82;16,36;141,10;43,23;114,86
P/Ativo Circ. Liq.;-1,64;-1,18;-1,19;-1,48;-1,46;-1,31;-5,80;-2,12;-2,11
Dív. líquida/PL;0,60;0,65;0,67;0,33;0,32;0,27;0,66;0,95;0,99
Dív. líquida/EBITDA;-;3,89;4,29;2,48;1,74;1,49;1,65;2,65;2,42
Dív. líquida/EBIT;19,14;6,61;7,12;3,97;2,40;2,83;2,04;3,39;3,26
PL/Ativos;0,47;0,45;0,45;0,55;0,55;0,56;0,33;0,33;0,29
Passivos/Ativos;0,53;0,55;0,55;0,45;0,44;0,44;0,67;0,67;0,71
Liq. corrente;1,04;1,04;1,01;1,17;1,40;1,57;1,14;1,20;1,08
M. Bruta;6,43%;26,39%;26,33%;28,88%;30,18%;29,17%;34,32%;34,08%;34,64%
M. EBITDA;-%;15,06%;15,09%;14,59%;19,73%;20,84%;19,85%;19,11%;20,42%
M. EBIT;2,79%;8,85%;9,08%;9,10%;14,30%;10,95%;16,06%;14,92%;15,14%
M. Líquida;8,09%;5,71%;6,32%;6,22%;10,36%;6,15%;13,95%;11,33%;9,21%
ROE;9,12%;6,35%;6,54%;5,73%;9,61%;5,37%;28,22%;21,32%;18,55%
ROA;4,27%;2,88%;2,94%;3,17%;5,32%;3,03%;9,38%;7,10%;5,38%
ROIC;1,06%;5,85%;5,46%;5,24%;8,02%;6,34%;15,21%;10,68%;9,99%
Giro ativos;0,53;0,50;0,47;0,51;0,51;0,49;0,67;0,63;0,58
CAGR Receitas 5 anos;25,78%;25,78%;23,67%;24,35%;36,18%;6,29%;3,83%;1,58%;2,03%
CAGR Lucros 5 anos;11,91%;11,91%;14,36%;41,62%;27,36%;12,15%;43,97%;77,75%;-11,24%
