;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,23%;0,75%;0,97%;1,71%;1,09%;1,12%;1,21%;1,11%;0,94%
Div;1.13;4.57;4.34;4.09;3.54;3.07;2.95;2.43;1.96
P/L;20.47;26.88;26.98;17.07;25.61;29.44;23.0;24.56;28.46
PEG Ratio;1,76;-;-;-;-;-;-;-;-
P/VP;16,09;25,51;55,81;-41,78;-44,17;-613,46;-55,23;-58,93;173,65
EV/EBITDA;52,06;19,88;19,61;13,58;19,90;20,77;14,02;16,51;17,17
EV/EBIT;74,42;21,71;21,74;15,20;22,36;23,95;15,54;18,65;19,42
P/EBITDA;49,33;19,23;18,19;11,59;18,07;19,21;12,91;15,31;15,56
P/EBIT;70,52;21,01;20,18;12,96;20,31;22,15;14,31;17,29;17,59
VPA;30,51;23,88;8,02;-5,73;-7,34;-0,45;-4,42;-3,71;1,20
P/Ativo;4,89;6,25;5,69;3,30;5,47;5,16;4,62;4,85;4,60
LPA;23.99;22.67;16.58;14.01;12.67;9.31;10.61;8.91;7.32
P/SR;3,22;4,06;3,20;1,80;2,83;2,89;2,47;2,27;2,27
P/Cap. Giro;22,42;37,99;38,01;-85,54;34,12;27,16;79,53;108,98;18,02
P/Ativo Circ. Liq.;-10,59;-13,66;-11,67;-7,92;-11,92;-11,10;-10,29;-12,11;-11,54
Dív. líquida/PL;0,89;0,85;4,33;-;-;-;-;-;18,01
Dív. líquida/EBITDA;2,73;0,64;1,41;2,00;1,83;1,56;1,11;1,21;1,61
Dív. líquida/EBIT;3,90;0,70;1,57;2,24;2,05;1,80;1,23;1,36;1,82
PL/Ativos;0,30;0,24;0,10;-0,08;-0,12;-0,01;-0,08;-0,08;0,03
Passivos/Ativos;0,70;0,76;0,90;1,08;1,12;1,01;1,08;1,08;0,97
Liq. corrente;1,68;1,43;1,41;0,94;1,42;1,55;1,12;1,08;1,74
M. Bruta;33,20%;33,17%;31,07%;27,23%;28,34%;28,62%;28,36%;28,61%;29,31%
M. EBITDA;6,53%;21,11%;17,57%;15,52%;15,68%;15,03%;19,12%;14,83%;14,56%
M. EBIT;4,57%;19,33%;15,84%;13,87%;13,95%;13,03%;17,25%;13,13%;12,88%
M. Líquida;15,74%;15,11%;11,84%;10,54%;11,06%;9,80%;10,73%;9,24%;7,96%
ROE;78,63%;94,91%;206,83%;-244,76%;-172,49%;-2.083,63%;-240,13%;-239,97%;610,18%
ROA;23,87%;23,24%;21,09%;19,36%;21,36%;17,53%;20,08%;19,76%;16,16%
ROIC;2,63%;42,33%;40,35%;40,54%;50,47%;40,00%;82,14%;68,08%;33,08%
Giro ativos;1,52;1,54;1,78;1,84;1,93;1,79;1,87;2,14;2,03
CAGR Receitas 5 anos;7,01%;5,11%;4,21%;2,87%;0,94%;2,49%;3,96%;5,42%;5,09%
CAGR Lucros 5 anos;14,57%;10,45%;10,21%;10,80%;13,81%;14,71%;15,88%;27,71%;25,76%
