;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,40%;1,33%;1,24%;1,43%;1,22%;1,46%;1,64%;2,11%;-%
Div;6.0;5.57;5.09;4.66;4.23;3.85;3.49;3.29;
P/L;28.2;30.18;31.96;38.73;46.06;55.1;49.84;19.88;
PEG Ratio;2,54;-;-;-;-;-;-;-;-
P/VP;5,18;5,20;4,99;4,01;4,00;2,91;2,21;1,53;-
EV/EBITDA;36,65;17,05;17,73;17,65;19,12;18,49;15,99;12,75;1,98
EV/EBIT;95,61;24,35;26,00;30,88;36,25;42,93;41,55;18,09;2,93
P/EBITDA;33,11;15,72;16,51;16,37;17,96;16,96;14,95;11,70;-
P/EBIT;86,37;22,45;24,20;28,65;34,05;39,39;38,83;16,60;-
VPA;82,70;80,49;82,33;81,28;86,57;90,48;96,32;102,27;22,74
P/Ativo;2,33;2,47;2,45;2,02;2,16;1,56;1,31;0,93;-
LPA;15.19;13.87;12.85;8.42;7.52;4.78;4.27;7.85;4.36
P/SR;5,97;6,00;6,03;4,81;5,72;5,06;4,03;5,87;-
P/Cap. Giro;-69,92;-123,91;-63,98;-46,80;-50,58;-48,94;-62,99;20,18;-
P/Ativo Circ. Liq.;-2,75;-2,95;-2,91;-2,41;-2,47;-1,78;-1,49;-1,14;-
Dív. líquida/PL;0,55;0,44;0,37;0,31;0,26;0,26;0,16;0,14;1,10
Dív. líquida/EBITDA;3,54;1,33;1,23;1,27;1,16;1,53;1,05;1,05;1,98
Dív. líquida/EBIT;9,25;1,90;1,80;2,23;2,20;3,54;2,73;1,49;2,93
PL/Ativos;0,45;0,48;0,49;0,50;0,54;0,54;0,59;0,61;0,32
Passivos/Ativos;0,55;0,52;0,51;0,50;0,46;0,46;0,41;0,39;0,68
Liq. corrente;0,82;0,89;0,80;0,79;0,74;0,80;0,85;1,33;0,99
M. Bruta;11,83%;48,06%;46,76%;41,70%;43,03%;43,53%;41,04%;39,20%;43,81%
M. EBITDA;18,03%;38,19%;36,54%;29,40%;31,86%;29,82%;26,99%;50,18%;31,94%
M. EBIT;6,91%;26,74%;24,92%;16,80%;16,81%;12,84%;10,39%;35,37%;21,52%
M. Líquida;21,17%;19,89%;18,87%;12,43%;12,42%;9,18%;8,09%;29,53%;10,98%
ROE;18,37%;17,23%;15,61%;10,36%;8,69%;5,29%;4,43%;7,68%;19,15%
ROA;8,25%;8,19%;7,67%;5,21%;4,69%;2,83%;2,64%;4,69%;6,10%
ROIC;0,43%;11,43%;10,79%;7,20%;6,72%;4,18%;3,48%;6,39%;9,92%
Giro ativos;0,39;0,41;0,41;0,42;0,38;0,31;0,33;0,16;0,56
CAGR Receitas 5 anos;3,18%;17,23%;24,05%;23,93%;20,38%;18,13%;4,47%;0,24%;-1,31%
CAGR Lucros 5 anos;23,50%;7,19%;27,17%;20,60%;10,08%;6,17%;20,08%;-5,92%;-2,15%
