;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,14%;0,67%;0,78%;1,07%;1,23%;1,75%;1,96%;1,95%;2,46%
Div;1.51;5.17;4.55;3.91;3.4;2.95;2.57;2.25;2.03
P/L;52.51;65.43;100.04;55.66;47.19;24.71;15.17;36.12;-433.34
PEG Ratio;0,44;-;-;-;-;-;-;-;-
P/VP;40,64;48,82;48,67;32,64;29,34;27,13;48,41;11,88;7,63
EV/EBITDA;144,12;50,05;67,63;43,42;35,88;19,40;21,40;22,62;24,29
EV/EBIT;198,35;57,03;83,39;53,13;44,90;22,96;26,41;32,50;40,81
P/EBITDA;139,42;47,96;64,87;41,74;34,20;17,89;19,42;22,07;22,84
P/EBIT;191,88;54,64;79,98;51,07;42,79;21,17;23,96;31,72;38,37
VPA;26,58;15,81;11,98;11,21;9,42;6,22;2,72;9,74;11,07
P/Ativo;8,41;8,80;8,19;7,02;5,40;3,28;3,21;2,66;1,97
LPA;20.57;11.8;5.83;6.57;5.85;6.83;8.66;3.2;-0.19
P/SR;16,27;15,38;15,36;12,18;9,30;6,24;5,65;5,43;4,43
P/Cap. Giro;44,09;158,81;-334,74;387,83;77,48;30,73;65,23;13,48;18,95
P/Ativo Circ. Liq.;-18,29;-15,07;-13,70;-11,05;-8,68;-5,25;-4,93;-5,00;-3,43
Dív. líquida/PL;1,37;2,13;2,07;1,32;1,45;2,29;4,94;0,29;0,48
Dív. líquida/EBITDA;4,70;2,09;2,76;1,68;1,68;1,51;1,98;0,55;1,45
Dív. líquida/EBIT;6,47;2,38;3,40;2,06;2,11;1,79;2,45;0,79;2,44
PL/Ativos;0,21;0,18;0,17;0,22;0,18;0,12;0,07;0,22;0,26
Passivos/Ativos;0,79;0,82;0,83;0,78;0,81;0,88;0,93;0,75;0,74
Liq. corrente;1,55;1,15;0,94;1,05;1,23;1,40;1,16;1,73;1,32
M. Bruta;18,73%;81,31%;79,25%;76,77%;74,18%;77,66%;78,85%;78,22%;77,73%
M. EBITDA;11,67%;32,07%;23,68%;29,18%;27,20%;34,86%;29,12%;24,61%;19,39%
M. EBIT;8,48%;28,15%;19,21%;23,85%;21,74%;29,46%;23,59%;17,12%;11,54%
M. Líquida;30,99%;23,51%;15,36%;21,88%;19,71%;25,24%;37,27%;15,04%;-1,02%
ROE;77,38%;74,62%;48,65%;58,64%;62,16%;109,79%;319,09%;32,88%;-1,76%
ROA;16,02%;13,45%;8,19%;12,62%;11,44%;13,28%;21,17%;7,36%;-0,45%
ROIC;1,43%;22,14%;14,56%;23,22%;21,58%;27,85%;25,88%;15,65%;-0,34%
Giro ativos;0,52;0,57;0,53;0,58;0,58;0,53;0,57;0,49;0,44
CAGR Receitas 5 anos;15,08%;9,69%;7,40%;5,94%;4,22%;2,62%;-1,44%;-2,44%;-2,66%
CAGR Lucros 5 anos;4,95%;10,15%;-%;15,31%;20,79%;28,32%;-7,16%;-%;-8,84%
