;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,75%;2,62%;2,68%;2,34%;2,98%;2,76%;2,31%;3,13%;2,95%
Div;13.37;12.73;12.15;11.39;10.59;9.8;9.0;8.2;9.47
P/L;26.78;21.31;15.72;21.56;15.25;14.54;17.63;14.76;46.61
PEG Ratio;-0,72;-;-;-;-;-;-;-;-
P/VP;18,20;17,96;15,91;13,34;8,79;16,51;35,12;53,42;-107,65
EV/EBITDA;53,21;14,92;11,95;15,68;11,01;10,71;13,32;11,45;14,51
EV/EBIT;167,57;18,12;13,84;18,70;12,86;12,27;15,32;13,50;17,45
P/EBITDA;45,62;12,90;10,42;14,19;10,16;9,82;12,09;9,71;12,90
P/EBIT;143,66;15,67;12,07;16,92;11,86;11,25;13,91;11,45;15,52
VPA;26,71;27,06;28,48;36,48;40,44;21,50;11,09;4,90;-2,98
P/Ativo;1,87;2,04;2,07;2,34;1,89;1,96;2,31;1,66;1,96
LPA;18.15;22.8;28.83;22.57;23.3;24.42;22.09;17.74;6.89
P/SR;1,53;1,60;1,61;1,87;1,44;1,52;1,84;1,39;1,83
P/Cap. Giro;37,98;46,81;30,35;24,21;16,55;18,24;35,17;43,68;19,93
P/Ativo Circ. Liq.;-3,28;-3,37;-3,41;-3,88;-3,10;-3,17;-3,61;-2,59;-3,14
Dív. líquida/PL;3,03;2,81;2,34;1,40;0,74;1,50;3,56;9,56;-
Dív. líquida/EBITDA;7,59;2,02;1,53;1,49;0,85;0,89;1,23;1,74;1,61
Dív. líquida/EBIT;23,91;2,45;1,78;1,78;0,99;1,02;1,41;2,05;1,93
PL/Ativos;0,10;0,11;0,13;0,18;0,22;0,12;0,07;0,03;-0,02
Passivos/Ativos;0,90;0,89;0,87;0,82;0,78;0,88;0,93;0,97;1,02
Liq. corrente;1,13;1,13;1,21;1,32;1,42;1,39;1,22;1,12;1,36
M. Bruta;8,16%;9,75%;12,55%;12,56%;13,52%;13,23%;13,99%;13,53%;12,75%
M. EBITDA;3,36%;12,41%;15,46%;13,20%;14,14%;15,47%;15,19%;14,26%;14,20%
M. EBIT;1,07%;10,21%;13,34%;11,07%;12,11%;13,50%;13,20%;12,10%;11,80%
M. Líquida;5,73%;7,51%;10,24%;8,69%;9,42%;10,45%;10,42%;9,39%;3,93%
ROE;67,95%;84,26%;101,24%;61,86%;57,62%;113,60%;199,23%;361,98%;-230,94%
ROA;6,97%;9,59%;13,19%;10,84%;12,41%;13,47%;13,11%;11,24%;4,21%
ROIC;0,26%;23,95%;32,25%;25,61%;30,41%;41,13%;43,62%;36,87%;18,94%
Giro ativos;1,22;1,28;1,29;1,25;1,32;1,29;1,26;1,20;1,07
CAGR Receitas 5 anos;3,50%;4,68%;5,72%;7,23%;10,04%;8,41%;3,46%;1,15%;0,34%
CAGR Lucros 5 anos;-3,05%;6,52%;23,90%;4,07%;13,64%;11,51%;11,10%;-6,49%;14,27%
