;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,33%;3,25%;3,53%;3,10%;3,93%;2,95%;2,60%;3,17%;2,96%
Div;1.52;1.92;1.81;1.71;2.41;1.52;1.42;1.34;1.26
P/L;20.52;22.0;18.69;20.21;23.36;20.96;23.6;19.48;21.54
PEG Ratio;-0,63;-;-;-;-;-;-;-;-
P/VP;2,30;2,17;1,94;2,21;2,57;2,19;2,43;2,08;2,25
EV/EBITDA;25,60;14,19;12,71;13,24;15,15;-;13,32;12,01;12,48
EV/EBIT;107,51;24,88;20,51;21,84;26,50;23,73;21,63;19,46;20,18
P/EBITDA;15,37;8,45;7,39;8,14;10,04;-;8,91;7,53;8,14
P/EBIT;64,56;14,81;11,93;13,42;17,56;15,29;14,47;12,21;13,16
VPA;28,43;27,29;26,46;24,99;23,91;23,57;22,49;20,27;18,95
P/Ativo;0,68;0,67;0,62;0,69;0,83;0,73;0,79;0,65;0,69
LPA;3.18;2.69;2.75;2.73;2.63;2.46;2.32;2.17;1.98
P/SR;3,93;3,81;3,26;3,30;4,20;3,77;3,61;2,82;2,91
P/Cap. Giro;-43,04;-9,92;-12,73;-12,46;-15,63;-31,39;-11,16;-11,61;-7,92
P/Ativo Circ. Liq.;-0,74;-0,71;-0,66;-0,73;-0,88;-0,77;-0,83;-0,68;-0,74
Dív. líquida/PL;1,53;1,47;1,39;1,39;1,31;1,21;1,20;1,24;1,20
Dív. líquida/EBITDA;10,23;5,75;5,32;5,10;5,11;-;4,41;4,47;4,34
Dív. líquida/EBIT;42,95;10,07;8,58;8,42;8,94;8,45;7,16;7,25;7,02
PL/Ativos;0,30;0,31;0,32;0,31;0,32;0,33;0,32;0,31;0,31
Passivos/Ativos;0,70;0,69;0,68;0,69;0,68;0,67;0,68;0,69;0,69
Liq. corrente;0,83;0,44;0,55;0,53;0,52;0,68;0,43;0,48;0,42
M. Bruta;14,50%;63,20%;59,82%;40,64%;42,41%;42,83%;39,91%;36,94%;36,62%
M. EBITDA;25,54%;45,14%;44,13%;40,52%;41,81%;-%;40,47%;37,46%;35,78%
M. EBIT;6,08%;25,75%;27,34%;24,57%;23,90%;24,65%;24,92%;23,12%;22,13%
M. Líquida;19,13%;17,33%;17,46%;16,31%;17,96%;17,97%;15,28%;14,49%;13,52%
ROE;11,19%;9,85%;10,37%;10,93%;11,00%;10,43%;10,31%;10,70%;10,44%
ROA;3,32%;3,04%;3,31%;3,40%;3,55%;3,47%;3,34%;3,32%;3,22%
ROIC;0,74%;5,23%;6,74%;6,74%;5,79%;6,01%;7,04%;7,17%;7,05%
Giro ativos;0,17;0,18;0,19;0,21;0,20;0,19;0,22;0,23;0,24
CAGR Receitas 5 anos;1,76%;2,64%;4,45%;2,02%;0,98%;1,72%;1,53%;1,79%;0,60%
CAGR Lucros 5 anos;5,77%;7,90%;9,53%;12,04%;10,53%;8,17%;7,83%;7,89%;4,68%
