;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,38%;1,56%;0,81%;-%;-%;1,33%;4,46%;5,76%;4,20%
Div;0.25;0.8;0.4;;;0.79;3.08;3.0;2.92
P/L;28.29;25.44;30.35;20.05;-29.92;-27.02;19.65;16.9;19.56
PEG Ratio;8,18;-;-;-;-;-;-;-;-
P/VP;28,02;12,76;9,00;9,46;14,41;15,31;10,22;7,17;8,47
EV/EBITDA;25,54;11,47;11,77;100,61;141,58;-147,28;11,06;9,76;13,46
EV/EBIT;88,35;17,55;17,79;-68,00;-49,13;-35,10;14,24;12,80;18,42
P/EBITDA;19,86;8,95;9,45;79,32;97,15;-116,13;9,52;8,24;11,87
P/EBIT;68,68;13,69;14,29;-53,61;-33,71;-27,67;12,25;10,81;16,25
VPA;2,32;4,03;5,47;5,08;2,61;3,89;6,75;7,26;8,21
P/Ativo;2,05;1,78;1,70;1,67;1,43;2,19;2,29;1,81;2,66
LPA;2.3;2.02;1.62;2.4;-1.26;-2.21;3.51;3.08;3.55
P/SR;3,59;3,26;3,57;8,94;6,79;12,60;3,86;2,97;4,32
P/Cap. Giro;-84,82;-24,35;27,35;12,92;9,76;135,89;25,48;16,93;227,93
P/Ativo Circ. Liq.;-2,54;-2,25;-2,32;-2,40;-1,98;-2,51;-2,96;-2,40;-3,14
Dív. líquida/PL;8,03;3,59;2,20;2,54;6,59;4,11;1,65;1,32;1,14
Dív. líquida/EBITDA;5,69;2,52;2,31;21,29;44,43;-31,15;1,54;1,52;1,59
Dív. líquida/EBIT;19,67;3,86;3,50;-14,39;-15,42;-7,42;1,98;1,99;2,18
PL/Ativos;0,07;0,14;0,19;0,18;0,10;0,14;0,22;0,25;0,31
Passivos/Ativos;0,93;0,86;0,81;0,82;0,90;0,86;0,78;0,75;0,69
Liq. corrente;0,89;0,74;1,31;1,73;2,15;1,15;1,65;1,76;1,08
M. Bruta;11,51%;48,87%;49,82%;40,15%;37,98%;27,80%;50,27%;49,20%;50,27%
M. EBITDA;18,08%;36,40%;37,79%;11,27%;6,99%;-10,85%;40,55%;36,04%;36,35%
M. EBIT;5,23%;23,78%;25,00%;-16,67%;-20,15%;-45,54%;31,49%;27,47%;26,56%
M. Líquida;12,69%;12,80%;11,77%;44,57%;-22,70%;-46,65%;19,64%;17,58%;22,06%
ROE;99,05%;50,14%;29,65%;47,20%;-48,15%;-56,68%;52,01%;42,45%;43,29%
ROA;7,24%;7,00%;5,61%;8,31%;-4,79%;-8,10%;11,63%;10,70%;13,57%
ROIC;1,87%;14,67%;12,29%;-4,18%;-5,04%;-9,72%;21,42%;19,02%;19,49%
Giro ativos;0,57;0,55;0,48;0,19;0,21;0,17;0,59;0,61;0,62
CAGR Receitas 5 anos;-3,84%;-5,45%;-20,23%;-17,78%;-20,93%;-1,19%;-0,06%;2,72%;3,67%
CAGR Lucros 5 anos;-11,73%;-12,74%;-8,19%;-%;-%;-1,03%;0,91%;13,00%;5,75%
