;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,15%;1,04%;1,10%;1,48%;1,17%;0,93%;1,04%;1,33%
Div;;1.44;1.12;0.99;0.94;0.92;0.8;0.77;0.75
P/L;16.44;13.14;15.47;63.99;28.96;31.49;26.26;25.85;25.25
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,38;5,33;11,06;35,66;19,15;48,01;-2.731,69;-32,18;-12,75
EV/EBITDA;9,26;9,68;16,98;23,66;16,81;18,49;17,91;18,11;16,93
EV/EBIT;14,93;12,47;21,27;33,89;23,50;24,60;22,26;22,59;20,49
P/EBITDA;5,47;6,95;14,12;20,20;13,87;15,55;15,12;14,89;13,15
P/EBIT;8,83;8,95;17,69;28,93;19,38;20,69;18,80;18,57;15,92
VPA;12,51;12,53;9,78;2,51;3,31;1,64;-0,03;-2,29;-4,43
P/Ativo;0,79;1,29;2,39;3,11;2,19;2,47;4,12;3,91;3,32
LPA;2.57;5.09;6.99;1.4;2.19;2.5;3.28;2.85;2.24
P/SR;0,91;1,47;2,92;3,14;2,51;3,04;3,35;3,15;2,61
P/Cap. Giro;10,55;20,46;20,35;13,39;7,91;9,02;30,75;26,17;27,26
P/Ativo Circ. Liq.;-1,10;-1,81;-3,55;-5,18;-3,79;-4,88;-6,02;-5,91;-5,07
Dív. líquida/PL;2,34;2,10;2,24;6,11;4,07;9,07;-;-;-
Dív. líquida/EBITDA;3,79;2,73;2,86;3,46;2,94;2,94;2,79;3,22;3,77
Dív. líquida/EBIT;6,11;3,52;3,58;4,96;4,12;3,91;3,46;4,02;4,57
PL/Ativos;0,24;0,24;0,22;0,09;0,11;0,05;0,00;-0,12;-0,26
Passivos/Ativos;0,76;0,76;0,78;0,91;0,89;0,95;1,00;1,10;1,24
Liq. corrente;1,38;1,29;1,56;2,37;2,88;2,25;1,74;1,79;1,55
M. Bruta;21,68%;27,32%;26,77%;20,30%;22,66%;23,61%;26,71%;25,69%;24,58%
M. EBITDA;16,63%;21,21%;20,65%;15,53%;18,08%;19,54%;22,12%;21,13%;19,80%
M. EBIT;10,31%;16,47%;16,49%;10,84%;12,93%;14,68%;17,79%;16,94%;16,36%
M. Líquida;5,54%;11,22%;18,86%;4,90%;8,66%;9,65%;12,74%;12,17%;10,32%
ROE;20,56%;40,58%;71,49%;55,73%;66,13%;152,46%;-10.404,35%;-124,49%;-50,51%
ROA;4,83%;9,85%;15,47%;4,85%;7,55%;7,85%;15,70%;15,14%;13,15%
ROIC;8,89%;14,89%;13,49%;12,06%;11,94%;11,76%;23,03%;22,38%;19,58%
Giro ativos;0,87;0,88;0,82;0,99;0,87;0,81;1,23;1,24;1,27
CAGR Receitas 5 anos;11,48%;9,34%;5,29%;4,16%;5,33%;5,94%;-%;-%;-%
CAGR Lucros 5 anos;8,68%;19,34%;-9,28%;2,53%;6,54%;12,90%;-%;-%;-%
