;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;9,38%;7,10%;5,20%;5,66%;4,81%;4,58%;20,27%;4,81%;3,22%
Div;4.07;5.28;4.94;4.7;4.44;4.19;19.15;4.0;3.55
P/L;-23.21;17.69;14.59;6.97;5.42;21.55;9.29;6.81;8.92
PEG Ratio;0,05;-;-;-;-;-;-;-;-
P/VP;1,32;1,93;2,39;2,15;2,56;3,84;3,92;3,11;4,86
EV/EBITDA;39,82;8,80;8,32;5,71;4,64;13,29;7,42;5,78;6,87
EV/EBIT;-30,06;15,27;12,46;7,16;5,55;23,06;9,66;7,05;8,24
P/EBITDA;23,17;6,65;6,64;4,27;3,48;9,22;5,51;4,61;6,07
P/EBIT;-17,49;11,54;9,94;5,35;4,16;16,01;7,16;5,63;7,27
VPA;32,93;38,48;39,85;38,70;35,98;23,87;24,13;26,73;22,69
P/Ativo;0,41;0,67;0,83;0,74;0,83;0,86;1,04;1,13;1,66
LPA;-1.87;4.2;6.51;11.91;17.02;4.25;10.17;12.22;12.37
P/SR;0,37;0,60;0,75;0,54;0,66;1,10;0,91;0,82;1,26
P/Cap. Giro;3,58;4,33;5,14;5,32;6,09;4,99;7,31;6,31;6,25
P/Ativo Circ. Liq.;-0,61;-1,02;-1,29;-1,10;-1,24;-1,29;-1,51;-1,80;-3,01
Dív. líquida/PL;0,95;0,62;0,61;0,73;0,85;1,69;1,36;0,79;0,65
Dív. líquida/EBITDA;16,65;2,15;1,68;1,44;1,16;4,07;1,92;1,17;0,81
Dív. líquida/EBIT;-12,57;3,72;2,52;1,81;1,39;7,06;2,50;1,43;0,97
PL/Ativos;0,31;0,35;0,35;0,35;0,32;0,23;0,26;0,36;0,34
Passivos/Ativos;0,68;0,65;0,65;0,65;0,67;0,77;0,73;0,63;0,66
Liq. corrente;1,57;1,83;1,84;1,75;1,69;2,11;1,83;1,92;2,46
M. Bruta;1,92%;11,32%;12,79%;13,09%;19,01%;12,23%;15,62%;16,60%;18,63%
M. EBITDA;1,60%;8,97%;11,30%;12,57%;18,91%;11,96%;16,48%;17,76%;20,80%
M. EBIT;-2,12%;5,17%;7,55%;10,04%;15,82%;6,89%;12,67%;14,54%;17,35%
M. Líquida;-1,60%;3,37%;5,14%;7,69%;12,15%;5,12%;9,76%;12,02%;14,15%
ROE;-5,69%;10,91%;16,35%;30,77%;47,31%;17,81%;42,14%;45,71%;54,52%
ROA;-1,78%;3,80%;5,71%;10,68%;15,27%;4,01%;11,14%;16,58%;18,62%
ROIC;-4,44%;7,81%;10,77%;17,47%;26,17%;7,81%;18,66%;25,75%;30,66%
Giro ativos;1,12;1,13;1,11;1,39;1,26;0,78;1,14;1,38;1,32
CAGR Receitas 5 anos;3,02%;1,06%;7,91%;9,61%;-3,25%;-5,31%;-2,41%;-5,33%;-9,54%
CAGR Lucros 5 anos;-16,64%;-14,68%;-4,43%;7,93%;-20,44%;-4,04%;3,99%;11,39%;12,43%
