;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;67.84;33.86;39.21;54.49;-41.47;-9.06;215.49;171.29;
PEG Ratio;0,69;-;-;-;-;-;-;-;-
P/VP;63,95;175,17;-417,50;-43,88;-46,15;-33,24;13,14;9,39;7,45
EV/EBITDA;67,96;17,82;11,80;12,35;139,29;-16,96;17,84;14,17;16,35
EV/EBIT;-151,59;28,80;17,56;20,95;-84,34;-11,07;46,39;39,54;94,26
P/EBITDA;66,77;17,63;11,61;12,13;135,05;-14,74;16,90;13,60;15,52
P/EBIT;-148,94;28,49;17,28;20,57;-81,78;-9,62;43,96;37,93;89,48
VPA;2,25;0,74;-0,22;-1,59;-2,59;-2,21;5,44;5,24;5,71
P/Ativo;1,46;1,55;1,15;0,98;1,87;1,48;1,37;1,21;1,17
LPA;2.12;3.82;2.39;1.28;-2.89;-8.11;0.33;0.29;-0.02
P/SR;1,36;1,31;0,96;0,97;4,29;8,43;1,30;0,96;0,91
P/Cap. Giro;-34,45;-445,39;-48,41;-112,16;-156,68;-106,82;176,56;105,08;-20,75
P/Ativo Circ. Liq.;-2,88;-2,93;-2,30;-1,94;-3,48;-2,26;-2,22;-2,22;-2,02
Dív. líquida/PL;1,14;1,92;-;-;-;-;0,73;0,40;0,40
Dív. líquida/EBITDA;1,19;0,19;0,19;0,22;4,23;-2,22;0,94;0,58;0,83
Dív. líquida/EBIT;-2,66;0,31;0,28;0,37;-2,56;-1,45;2,44;1,61;4,79
PL/Ativos;0,02;0,01;0,00;-0,02;-0,04;-0,04;0,10;0,13;0,16
Passivos/Ativos;0,94;0,93;0,96;0,98;1,00;1,02;0,85;0,83;0,81
Liq. corrente;0,92;0,99;0,95;0,98;0,97;0,96;1,02;1,03;0,88
M. Bruta;4,86%;25,17%;24,09%;26,04%;30,51%;24,65%;26,68%;26,14%;25,86%
M. EBITDA;2,03%;7,44%;8,28%;7,97%;3,18%;-57,17%;7,72%;7,03%;5,85%
M. EBIT;-0,91%;4,60%;5,56%;4,70%;-5,25%;-87,57%;2,97%;2,52%;1,02%
M. Líquida;2,00%;3,87%;2,45%;1,77%;-10,34%;-92,95%;0,61%;0,56%;-0,05%
ROE;94,26%;517,30%;-1.064,70%;-80,53%;-111,28%;-366,70%;6,10%;5,48%;-0,41%
ROA;2,15%;4,56%;2,93%;1,80%;-4,50%;-16,34%;0,64%;0,71%;-0,06%
ROIC;-5,30%;10,19%;16,11%;12,42%;-6,44%;-37,39%;6,19%;5,91%;2,33%
Giro ativos;1,07;1,18;1,19;1,01;0,44;0,18;1,05;1,27;1,29
CAGR Receitas 5 anos;14,93%;16,07%;11,48%;-4,34%;-23,80%;10,96%;10,74%;10,73%;7,77%
CAGR Lucros 5 anos;63,47%;54,33%;-%;-%;-%;-%;-%;-%;-%
