;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,40%;0,50%;0,53%;0,56%;1,13%;0,57%;0,44%;0,53%;0,58%
Div;2.3;2.63;2.26;1.95;4.06;2.03;1.31;1.0;0.88
P/L;154.36;37.36;35.58;33.48;40.54;55.51;37.11;33.25;40.93
PEG Ratio;7,82;-;-;-;-;-;-;-;-
P/VP;65,27;74,17;57,49;52,78;48,16;55,68;51,12;36,11;29,30
EV/EBITDA;72,66;26,20;24,23;23,17;27,71;-;25,83;21,04;19,26
EV/EBIT;128,02;30,70;28,35;27,61;33,12;43,69;30,15;25,87;23,40
P/EBITDA;71,85;25,82;23,95;22,86;27,44;-;25,93;21,45;19,75
P/EBIT;126,60;30,25;28,03;27,24;32,79;43,72;30,26;26,36;24,00
VPA;8,80;7,10;7,42;6,59;7,46;6,41;5,84;5,22;5,17
P/Ativo;9,68;10,00;9,38;8,58;9,35;10,60;10,30;7,84;7,51
LPA;3.72;14.09;11.99;10.39;8.86;6.43;8.05;5.67;3.7
P/SR;16,39;17,08;15,87;14,95;18,65;23,26;17,84;13,03;12,82
P/Cap. Giro;203,91;954,30;147,71;136,52;92,98;48,97;60,27;42,56;32,02
P/Ativo Circ. Liq.;-17,16;-16,96;-16,96;-15,03;-16,99;-24,59;-24,42;-22,42;-21,27
Dív. líquida/PL;0,73;1,09;0,67;0,71;0,49;-0,03;-0,19;-0,68;-0,73
Dív. líquida/EBITDA;0,81;0,38;0,28;0,31;0,28;-;-0,09;-0,40;-0,49
Dív. líquida/EBIT;1,42;0,45;0,33;0,37;0,33;-0,03;-0,11;-0,50;-0,60
PL/Ativos;0,15;0,13;0,16;0,16;0,19;0,19;0,20;0,22;0,26
Passivos/Ativos;0,85;0,87;0,84;0,84;0,81;0,81;0,80;0,78;0,74
Liq. corrente;1,12;1,03;1,17;1,17;1,29;1,61;1,42;1,39;1,57
M. Bruta;23,79%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;22,81%;66,13%;66,28%;65,38%;67,97%;-%;68,81%;60,76%;64,93%
M. EBIT;12,95%;56,45%;56,63%;54,88%;56,86%;53,20%;58,96%;49,43%;53,42%
M. Líquida;10,62%;45,71%;44,61%;44,66%;46,00%;41,90%;48,08%;39,19%;31,33%
ROE;42,28%;198,52%;161,57%;157,67%;118,80%;100,31%;137,76%;108,60%;71,60%
ROA;6,27%;26,78%;26,37%;25,64%;23,06%;19,09%;27,77%;23,57%;18,36%
ROIC;2,72%;54,71%;52,06%;51,18%;42,98%;35,62%;57,85%;51,54%;37,36%
Giro ativos;0,59;0,59;0,59;0,57;0,50;0,46;0,58;0,60;0,59
CAGR Receitas 5 anos;10,78%;10,92%;12,22%;11,87%;9,62%;12,33%;12,46%;11,08%;9,92%
CAGR Lucros 5 anos;9,66%;13,83%;20,46%;16,44%;10,98%;17,55%;13,46%;7,25%;16,32%
