;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,34%;3,80%;4,16%;2,98%;1,79%;3,16%;2,91%;3,86%;3,46%
Div;6.06;5.87;5.6;4.68;4.11;4.01;3.84;3.7;3.48
P/L;29.6;34.49;28.57;28.61;49.92;57.66;42.96;49.7;35.19
PEG Ratio;4,46;-;-;-;-;-;-;-;-
P/VP;2,81;3,04;2,57;3,02;4,44;2,47;2,48;1,77;1,80
EV/EBITDA;25,69;17,61;15,62;16,63;24,48;-;18,46;17,24;16,14
EV/EBIT;99,31;32,23;28,02;28,04;42,85;43,88;35,41;37,92;31,90
P/EBITDA;19,53;13,84;12,15;13,41;21,00;-;14,30;12,22;11,64
P/EBIT;75,51;25,32;21,79;22,61;36,75;33,43;27,42;26,87;23,01
VPA;49,69;50,84;52,22;52,00;51,72;51,34;53,20;54,02;55,80
P/Ativo;1,37;1,53;1,37;1,61;2,34;1,29;1,34;0,96;0,99
LPA;4.72;4.48;4.71;5.49;4.6;2.2;3.07;1.93;2.86
P/SR;7,42;8,25;7,30;8,98;14,88;8,64;9,17;6,93;7,47
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,37;-1,53;-1,37;-1,61;-2,34;-1,29;-1,34;-0,96;-0,99
Dív. líquida/PL;0,89;0,83;0,74;0,73;0,74;0,77;0,72;0,73;0,70
Dív. líquida/EBITDA;6,16;3,77;3,47;3,22;3,48;-;4,17;5,02;4,50
Dív. líquida/EBIT;23,80;6,90;6,23;5,43;6,09;10,45;7,99;11,04;8,89
PL/Ativos;0,49;0,50;0,53;0,53;0,53;0,52;0,54;0,54;0,55
Passivos/Ativos;0,51;0,50;0,47;0,46;0,47;0,47;0,46;0,46;0,45
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;20,48%;82,23%;82,57%;82,47%;81,86%;81,84%;82,30%;82,75%;83,25%
M. EBITDA;37,98%;59,60%;60,13%;66,93%;70,87%;-%;64,11%;56,73%;64,18%
M. EBIT;9,82%;32,56%;33,52%;39,69%;40,49%;25,83%;33,42%;25,80%;32,47%
M. Líquida;25,07%;23,91%;25,56%;31,38%;29,81%;14,97%;21,34%;13,95%;21,24%
ROE;9,49%;8,82%;9,01%;10,55%;8,89%;4,28%;5,77%;3,56%;5,12%
ROA;4,63%;4,43%;4,78%;5,64%;4,70%;2,24%;3,12%;1,94%;2,83%
ROIC;1,92%;6,48%;6,73%;7,63%;6,74%;4,12%;5,18%;3,77%;4,56%
Giro ativos;0,18;0,19;0,19;0,18;0,16;0,15;0,15;0,14;0,13
CAGR Receitas 5 anos;5,95%;6,46%;5,73%;9,58%;9,98%;10,58%;19,85%;26,29%;22,39%
CAGR Lucros 5 anos;8,32%;19,92%;14,19%;20,26%;-5,16%;19,05%;14,10%;25,56%;34,16%
