;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,18%;0,72%;0,79%;1,26%;0,64%;0,77%;0,84%;1,26%;1,03%
Div;0.93;3.41;3.09;3.51;2.5;2.24;1.99;1.77;1.52
P/L;40.96;41.47;44.35;37.15;32.75;30.66;31.51;20.48;28.18
PEG Ratio;3,40;-;-;-;-;-;-;-;-
P/VP;23,23;23,94;21,48;20,26;26,59;34,75;73,22;58,46;-86,08
EV/EBITDA;92,39;26,67;29,73;24,36;24,51;21,95;21,85;14,76;15,12
EV/EBIT;167,49;30,59;34,80;28,41;26,66;23,93;24,02;16,26;16,32
P/EBITDA;87,87;25,35;27,85;21,98;22,78;20,54;20,20;12,91;13,10
P/EBIT;159,30;29,07;32,60;25,64;24,78;22,40;22,21;14,22;14,13
VPA;22,18;19,77;18,18;13,75;14,69;8,35;3,24;2,40;-1,71
P/Ativo;5,96;5,50;4,87;3,56;4,94;4,39;4,37;2,82;3,28
LPA;12.58;11.41;8.81;7.5;11.93;9.47;7.53;6.84;5.24
P/SR;12,25;12,04;12,05;9,33;11,66;10,15;9,28;6,04;6,71
P/Cap. Giro;43,77;50,42;38,71;29,69;47,86;23,84;25,36;20,83;54,53
P/Ativo Circ. Liq.;-8,50;-8,36;-6,93;-4,98;-6,80;-6,90;-6,80;-4,37;-4,69
Dív. líquida/PL;1,19;1,25;1,45;2,20;2,02;2,37;5,97;8,41;-
Dív. líquida/EBITDA;4,52;1,32;1,88;2,38;1,73;1,40;1,65;1,86;2,02
Dív. líquida/EBIT;8,19;1,52;2,20;2,78;1,88;1,53;1,81;2,04;2,18
PL/Ativos;0,26;0,23;0,23;0,18;0,19;0,13;0,06;0,05;-0,04
Passivos/Ativos;0,74;0,77;0,77;0,82;0,81;0,87;0,94;0,95;1,04
Liq. corrente;1,84;1,47;1,74;1,72;1,61;2,03;1,92;1,61;1,25
M. Bruta;15,66%;72,56%;71,48%;70,50%;73,67%;72,54%;71,28%;71,96%;71,08%
M. EBITDA;13,94%;47,50%;43,26%;42,47%;51,19%;49,41%;45,93%;46,79%;51,24%
M. EBIT;7,69%;41,42%;36,95%;36,41%;47,06%;45,32%;41,79%;42,47%;47,48%
M. Líquida;29,92%;29,03%;27,16%;25,13%;35,61%;33,10%;29,45%;29,48%;23,81%
ROE;56,71%;57,73%;48,43%;54,55%;81,19%;113,32%;232,35%;285,40%;-305,46%
ROA;14,56%;13,27%;10,99%;9,58%;15,08%;14,33%;13,85%;13,75%;11,65%
ROIC;-1,33%;20,89%;18,02%;16,20%;23,52%;24,80%;26,43%;25,02%;23,35%
Giro ativos;0,49;0,46;0,40;0,38;0,42;0,43;0,47;0,47;0,49
CAGR Receitas 5 anos;7,98%;5,89%;5,40%;11,52%;9,04%;7,69%;8,37%;9,02%;9,58%
CAGR Lucros 5 anos;7,67%;4,17%;6,54%;52,71%;13,56%;7,54%;10,24%;7,73%;-14,14%
