;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,72%;3,49%;3,34%;3,44%;2,39%;1,95%;1,87%;2,15%;2,24%
Div;0.7;2.79;2.76;2.68;2.47;2.29;2.12;1.95;1.81
P/L;26.57;27.86;29.15;20.52;38.57;32.92;32.84;39.36;27.13
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,58;2,04;2,13;1,97;2,70;3,11;3,03;2,40;2,17
EV/EBITDA;15,56;14,56;14,48;13,32;20,56;21,96;18,67;14,50;14,64
EV/EBIT;22,56;21,50;20,99;19,26;32,09;33,32;26,60;20,28;22,57
P/EBITDA;13,44;12,49;12,59;11,78;18,49;20,19;17,03;13,16;13,17
P/EBIT;19,48;18,44;18,26;17,03;28,86;30,63;24,26;18,40;20,30
VPA;37,46;39,16;38,72;39,51;38,25;37,69;37,46;37,84;37,19
P/Ativo;1,35;1,14;1,20;1,14;1,49;1,74;1,70;1,34;1,09
LPA;3.64;2.87;2.83;3.79;2.68;3.56;3.45;2.31;2.98
P/SR;3,69;3,16;3,51;3,26;4,62;5,45;4,98;4,08;3,68
P/Cap. Giro;11,33;9,19;8,68;9,69;9,91;13,52;11,27;9,47;10,30
P/Ativo Circ. Liq.;-1,83;-1,51;-1,58;-1,52;-1,97;-2,30;-2,25;-1,79;-1,46
Dív. líquida/PL;0,41;0,34;0,32;0,26;0,30;0,27;0,29;0,25;0,24
Dív. líquida/EBITDA;2,12;2,07;1,89;1,54;2,07;1,77;1,64;1,34;1,47
Dív. líquida/EBIT;3,08;3,06;2,73;2,23;3,23;2,69;2,34;1,88;2,27
PL/Ativos;0,52;0,56;0,57;0,58;0,55;0,56;0,56;0,56;0,50
Passivos/Ativos;0,48;0,44;0,43;0,42;0,45;0,44;0,44;0,44;0,50
Liq. corrente;1,85;2,03;2,39;1,86;2,65;2,13;2,59;2,28;1,74
M. Bruta;65,32%;65,34%;65,67%;67,98%;65,19%;67,41%;70,04%;69,73%;68,72%
M. EBITDA;27,49%;25,35%;27,85%;27,70%;24,98%;27,01%;29,21%;31,00%;27,94%
M. EBIT;18,96%;17,17%;19,21%;19,16%;16,00%;17,80%;20,51%;22,17%;18,12%
M. Líquida;13,90%;11,36%;12,03%;15,90%;11,97%;16,56%;15,16%;10,36%;13,56%
ROE;9,71%;7,32%;7,30%;9,59%;7,01%;9,44%;9,22%;6,11%;8,00%
ROA;5,09%;4,09%;4,13%;5,54%;3,87%;5,28%;5,16%;3,40%;4,03%
ROIC;7,08%;5,88%;5,83%;7,32%;5,85%;5,82%;7,66%;5,45%;6,30%
Giro ativos;0,37;0,36;0,34;0,35;0,32;0,32;0,34;0,33;0,30
CAGR Receitas 5 anos;1,16%;0,84%;1,30%;0,88%;7,37%;12,44%;12,54%;12,92%;13,21%
CAGR Lucros 5 anos;-4,51%;3,90%;4,58%;0,38%;12,35%;8,60%;-2,19%;2,18%;2,70%
