;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,63%;3,12%;2,74%;3,04%;3,88%;3,41%;4,04%;3,16%
Div;;2.15;2.07;1.98;1.9;1.82;1.74;1.66;1.6
P/L;14.41;13.35;35.02;11.06;8.12;8.14;8.19;8.13;13.62
PEG Ratio;6,86;-;-;-;-;-;-;-;-
P/VP;1,81;2,06;1,61;1,89;0,76;0,57;0,71;0,77;0,91
EV/EBITDA;42,98;13,34;35,50;11,11;8,90;9,42;10,44;9,95;23,73
EV/EBIT;42,98;11,45;25,42;10,56;8,73;9,16;9,88;9,34;22,06
P/EBITDA;37,91;11,70;31,22;9,33;6,48;6,28;7,29;6,84;16,19
P/EBIT;37,91;10,04;22,35;8,86;6,35;6,10;6,90;6,42;15,05
VPA;43,93;39,82;41,07;38,35;81,74;82,85;71,92;53,44;55,76
P/Ativo;0,07;0,08;0,07;0,09;0,07;0,05;0,06;0,06;0,07
LPA;5.52;6.13;1.89;6.54;7.7;5.77;6.22;5.05;3.71
P/SR;0,73;0,80;0,72;0,82;0,73;0,62;0,67;0,60;0,85
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,07;-0,08;-0,07;-0,09;-0,07;-0,05;-0,06;-0,06;-0,07
Dív. líquida/PL;0,24;0,29;0,22;0,36;0,29;0,28;0,31;0,35;0,42
Dív. líquida/EBITDA;5,07;1,64;4,28;1,79;2,42;3,14;3,15;3,11;7,54
Dív. líquida/EBIT;5,07;1,41;3,06;1,70;2,38;3,06;2,98;2,92;7,01
PL/Ativos;0,04;0,04;0,04;0,05;0,09;0,09;0,09;0,08;0,08
Passivos/Ativos;0,96;0,96;0,96;0,95;0,91;0,91;0,91;0,92;0,92
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;8,53%;37,28%;33,42%;27,84%;38,16%;38,89%;40,45%;37,22%;38,51%
M. EBITDA;1,92%;6,80%;2,31%;8,79%;11,21%;9,92%;9,23%;8,72%;5,28%
M. EBIT;1,92%;7,92%;3,23%;9,25%;11,43%;10,21%;9,76%;9,28%;5,68%
M. Líquida;5,05%;5,95%;2,06%;7,41%;8,94%;7,65%;8,22%;7,33%;6,27%
ROE;12,56%;15,40%;4,60%;17,06%;9,41%;6,96%;8,65%;9,45%;6,66%
ROA;0,50%;0,62%;0,20%;0,77%;0,84%;0,65%;0,77%;0,72%;0,54%
ROIC;0,51%;7,33%;2,53%;8,06%;5,77%;4,54%;5,53%;5,64%;2,04%
Giro ativos;0,10;0,10;0,10;0,10;0,09;0,09;0,09;0,10;0,09
CAGR Receitas 5 anos;0,39%;-0,31%;1,99%;3,18%;2,03%;-1,03%;-0,08%;-1,78%;-2,85%
CAGR Lucros 5 anos;-5,58%;-20,98%;5,67%;50,46%;0,73%;-0,95%;9,56%;27,25%;-32,70%
