;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,32%;0,34%;-%;-%;-%;-%;-%;-%;-%
Div;2.12;1.99;;;;;;;
P/L;28.59;23.8;23.19;13.56;23.42;26.69;31.66;17.04;32.21
PEG Ratio;5,31;-;-;-;-;-;-;-;-
P/VP;8,62;8,13;5,92;2,50;7,38;6,06;5,79;4,48;6,90
EV/EBITDA;40,21;16,65;14,67;7,60;15,84;-;17,39;11,33;19,96
EV/EBIT;70,37;20,31;18,12;9,88;18,50;21,61;21,42;13,25;22,89
P/EBITDA;40,59;17,22;15,47;8,39;16,69;-;19,16;12,69;21,71
P/EBIT;71,04;21,00;19,11;10,92;19,50;23,45;23,59;14,85;24,90
VPA;76,99;72,06;59,81;48,09;45,56;45,04;35,44;29,27;25,59
P/Ativo;5,51;5,38;3,95;1,69;5,55;4,88;4,39;3,87;6,07
LPA;23.22;24.6;15.27;8.88;14.36;10.23;6.48;7.69;5.48
P/SR;8,83;9,02;6,72;2,70;7,82;9,05;8,28;6,75;12,61
P/Cap. Giro;46,27;22,33;16,97;9,67;20,25;12,82;11,44;8,67;11,44
P/Ativo Circ. Liq.;-7,25;-8,43;-6,28;-2,49;-9,28;-9,30;-8,72;-8,04;-14,26
Dív. líquida/PL;-0,08;-0,27;-0,31;-0,24;-0,38;-0,47;-0,53;-0,48;-0,56
Dív. líquida/EBITDA;-0,38;-0,57;-0,80;-0,79;-0,85;-;-1,77;-1,37;-1,75
Dív. líquida/EBIT;-0,66;-0,69;-0,99;-1,03;-0,99;-1,83;-2,18;-1,60;-2,01
PL/Ativos;0,64;0,66;0,67;0,68;0,75;0,81;0,76;0,86;0,88
Passivos/Ativos;0,36;0,34;0,33;0,32;0,25;0,19;0,24;0,14;0,12
Liq. corrente;1,98;2,98;2,67;2,20;3,15;5,05;4,40;7,19;12,92
M. Bruta;20,87%;81,67%;80,76%;78,35%;80,79%;80,58%;81,94%;83,25%;86,58%
M. EBITDA;21,76%;52,38%;43,44%;32,16%;46,85%;-%;43,22%;53,15%;58,10%
M. EBIT;12,43%;42,96%;35,16%;24,71%;40,10%;38,60%;35,10%;45,42%;50,66%
M. Líquida;30,89%;37,91%;28,98%;19,90%;33,38%;33,90%;26,15%;39,60%;39,16%
ROE;30,16%;34,14%;25,53%;18,45%;31,53%;22,72%;18,29%;26,28%;21,41%
ROA;19,26%;22,59%;17,03%;12,49%;23,72%;18,29%;13,86%;22,72%;18,83%
ROIC;-0,92%;29,49%;22,79%;16,96%;31,26%;22,53%;18,13%;26,12%;21,32%
Giro ativos;0,62;0,60;0,59;0,63;0,71;0,54;0,53;0,57;0,48
CAGR Receitas 5 anos;18,40%;19,29%;23,46%;33,67%;36,82%;41,49%;47,97%;51,53%;49,42%
CAGR Lucros 5 anos;27,53%;12,07%;7,80%;30,97%;51,36%;44,59%;71,49%;246,29%;72,55%
