;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;0,03%;0,02%;0,50%;1,56%;1,98%;1,32%
Div;;;;0.01;0.01;0.16;0.52;0.48;0.44
P/L;143.6;13.66;12.77;8.63;8.27;-15.07;8.36;27.4;9.68
PEG Ratio;-1,56;-;-;-;-;-;-;-;-
P/VP;3,74;3,37;3,83;2,63;3,36;2,39;2,22;1,96;2,49
EV/EBITDA;10,88;5,85;6,49;3,10;8,10;55,80;5,17;10,18;11,59
EV/EBIT;44,66;9,07;9,31;10,35;12,36;-27,39;7,05;19,03;18,89
P/EBITDA;7,76;4,22;5,26;2,54;5,90;37,98;3,40;4,88;7,12
P/EBIT;31,84;6,54;7,55;8,48;9,01;-18,64;4,64;9,11;11,60
VPA;9,78;10,27;11,67;12,75;13,38;13,17;15,00;12,35;13,38
P/Ativo;0,24;0,24;0,34;0,28;0,50;0,43;0,51;0,42;0,65
LPA;0.25;2.54;3.5;3.89;5.43;-2.09;3.98;0.89;3.45
P/SR;0,58;0,59;0,90;0,97;2,10;3,02;1,33;1,09;1,75
P/Cap. Giro;13,39;10,08;8,18;3,49;6,85;3,80;20,99;-30,30;-24,81
P/Ativo Circ. Liq.;-0,27;-0,27;-0,39;-0,34;-0,59;-0,51;-0,57;-0,46;-0,71
Dív. líquida/PL;1,51;1,31;0,90;0,58;1,25;1,12;1,15;2,14;1,57
Dív. líquida/EBITDA;3,12;1,63;1,23;0,56;2,20;17,83;1,77;5,31;4,47
Dív. líquida/EBIT;12,82;2,53;1,77;1,87;3,36;-8,75;2,41;9,92;7,29
PL/Ativos;0,06;0,07;0,09;0,11;0,15;0,18;0,23;0,22;0,26
Passivos/Ativos;0,93;0,93;0,91;0,89;0,85;0,82;0,77;0,78;0,74
Liq. corrente;1,23;1,30;1,57;1,81;1,86;3,21;1,26;0,86;0,76
M. Bruta;11,30%;45,51%;47,08%;49,32%;48,03%;33,11%;41,06%;41,18%;42,64%
M. EBITDA;7,46%;14,03%;17,17%;38,19%;35,66%;7,94%;39,06%;22,30%;24,60%
M. EBIT;1,82%;9,05%;11,96%;11,42%;23,36%;-16,18%;28,64%;11,93%;15,09%
M. Líquida;0,40%;4,33%;7,07%;11,22%;25,44%;-20,01%;15,89%;3,97%;18,08%
ROE;2,60%;24,69%;29,97%;30,49%;40,57%;-15,88%;26,52%;7,17%;25,76%
ROA;0,17%;1,77%;2,70%;3,22%;6,02%;-2,83%;6,05%;1,55%;6,69%
ROIC;3,44%;16,07%;17,48%;5,92%;10,64%;-5,43%;16,14%;6,16%;2,40%
Giro ativos;0,42;0,41;0,38;0,29;0,24;0,14;0,38;0,39;0,37
CAGR Receitas 5 anos;5,97%;6,56%;3,99%;0,42%;-10,90%;5,05%;3,70%;3,34%;3,84%
CAGR Lucros 5 anos;-18,29%;19,60%;-5,47%;17,48%;-%;-%;-%;-%;-18,79%
