;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,24%;2,32%;1,81%;1,44%;2,30%;2,75%;3,06%;3,79%
Div;;1.71;1.59;1.5;1.39;2.2;2.33;2.13;1.93
P/L;23.56;25.93;26.97;32.59;34.22;34.13;32.1;19.64;27.96
PEG Ratio;-0,26;-;-;-;-;-;-;-;-
P/VP;3,19;3,86;3,63;4,75;5,86;6,50;6,55;5,78;5,22
EV/EBITDA;41,81;18,69;18,73;23,26;25,12;25,37;23,38;21,50;21,74
EV/EBIT;71,29;22,21;22,44;28,11;29,81;29,48;27,15;25,04;26,34
P/EBITDA;33,92;15,53;15,22;19,12;21,10;21,58;19,73;17,19;15,96
P/EBIT;57,83;18,46;18,23;23,10;25,04;25,08;22,92;20,02;19,33
VPA;21,44;19,73;18,87;17,46;16,49;14,71;12,96;12,04;9,77
P/Ativo;1,38;1,56;1,43;1,69;2,00;2,11;2,18;1,79;1,29
LPA;2.9;2.94;2.54;2.54;2.82;2.8;2.64;3.54;1.82
P/SR;2,70;3,04;2,75;3,50;4,09;4,55;4,22;3,46;2,82
P/Cap. Giro;-20,45;-27,49;-16,73;-21,25;-25,14;-26,49;-37,34;-35,13;-40,42
P/Ativo Circ. Liq.;-1,66;-1,87;-1,69;-2,07;-2,41;-2,55;-2,56;-2,09;-1,52
Dív. líquida/PL;0,74;0,79;0,84;1,03;1,12;1,14;1,21;1,45;1,89
Dív. líquida/EBITDA;7,89;3,16;3,52;4,14;4,03;3,79;3,65;4,31;5,79
Dív. líquida/EBIT;13,45;3,75;4,22;5,01;4,78;4,41;4,23;5,02;7,01
PL/Ativos;0,43;0,40;0,39;0,36;0,34;0,32;0,33;0,31;0,25
Passivos/Ativos;0,57;0,60;0,61;0,64;0,66;0,68;0,67;0,69;0,75
Liq. corrente;0,71;0,74;0,65;0,70;0,68;0,68;0,72;0,74;0,83
M. Bruta;38,22%;38,54%;37,56%;35,82%;39,48%;41,07%;40,12%;39,48%;37,93%
M. EBITDA;7,96%;19,58%;18,11%;18,31%;19,39%;21,10%;21,38%;20,11%;17,69%
M. EBIT;4,67%;16,47%;15,11%;15,15%;16,34%;18,16%;18,41%;17,27%;14,60%
M. Líquida;11,46%;11,73%;10,22%;10,74%;11,95%;13,34%;13,14%;17,60%;10,09%
ROE;13,52%;14,90%;13,45%;14,57%;17,12%;19,04%;20,40%;29,44%;18,65%
ROA;5,87%;6,03%;5,29%;5,20%;5,85%;6,18%;6,78%;9,10%;4,60%
ROIC;1,18%;9,59%;8,79%;8,07%;8,66%;9,54%;10,65%;9,64%;7,11%
Giro ativos;0,51;0,51;0,52;0,48;0,49;0,46;0,52;0,52;0,46
CAGR Receitas 5 anos;4,69%;4,67%;6,07%;7,45%;5,45%;4,73%;5,16%;3,34%;3,59%
CAGR Lucros 5 anos;2,33%;-6,12%;7,39%;9,85%;13,23%;9,92%;19,13%;3,20%;4,77%
