;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,13%;0,59%;0,56%;0,75%;0,54%;0,79%;0,74%;1,07%;0,78%
Div;0.82;3.05;2.79;2.53;2.38;2.24;2.07;1.84;1.72
P/L;32.84;15.83;26.38;24.21;39.13;24.53;28.56;22.93;19.48
PEG Ratio;-1,01;-;-;-;-;-;-;-;-
P/VP;3,89;3,34;3,84;2,93;4,21;3,00;3,26;2,18;2,97
EV/EBITDA;35,98;10,88;15,62;14,14;22,30;14,28;15,83;13,01;15,21
EV/EBIT;75,42;13,13;20,45;19,81;32,39;19,86;22,48;19,49;21,67
P/EBITDA;31,45;9,46;14,21;11,88;18,96;12,62;13,91;10,42;13,93
P/EBIT;65,92;11,42;18,60;16,66;27,54;17,55;19,75;15,60;19,84
VPA;161,42;154,65;129,95;115,47;104,73;94,59;85,65;78,92;74,49
P/Ativo;2,03;1,74;2,04;1,40;1,91;1,67;1,73;1,13;1,55
LPA;19.1;32.64;18.91;13.96;11.26;11.58;9.79;7.49;11.35
P/SR;5,19;4,83;4,55;3,41;5,08;3,74;3,69;2,54;3,50
P/Cap. Giro;16,68;20,69;11,22;14,66;21,59;15,13;29,71;18,61;7,17
P/Ativo Circ. Liq.;-2,48;-2,02;-2,75;-1,73;-2,22;-1,98;-2,01;-1,32;-2,18
Dív. líquida/PL;0,56;0,50;0,38;0,55;0,74;0,39;0,45;0,54;0,27
Dív. líquida/EBITDA;4,53;1,42;1,41;2,25;3,34;1,66;1,92;2,60;1,28
Dív. líquida/EBIT;9,50;1,72;1,85;3,16;4,85;2,30;2,73;3,89;1,83
PL/Ativos;0,52;0,52;0,53;0,48;0,45;0,56;0,53;0,52;0,52
Passivos/Ativos;0,48;0,48;0,47;0,52;0,55;0,44;0,47;0,48;0,48
Liq. corrente;2,97;2,50;3,35;1,99;2,69;3,34;1,70;1,74;3,79
M. Bruta;29,56%;28,73%;29,85%;23,10%;24,91%;26,49%;24,88%;22,77%;24,51%
M. EBITDA;16,49%;51,07%;32,03%;28,67%;26,78%;29,62%;26,51%;24,38%;25,16%
M. EBIT;7,87%;42,30%;24,47%;20,45%;18,44%;21,30%;18,67%;16,27%;17,66%
M. Líquida;15,79%;30,52%;17,25%;14,07%;12,98%;15,24%;12,91%;11,07%;17,99%
ROE;11,83%;21,10%;14,55%;12,09%;10,75%;12,24%;11,43%;9,50%;15,23%
ROA;6,18%;10,98%;7,73%;5,78%;4,88%;6,81%;6,04%;4,92%;7,93%
ROIC;1,80%;14,56%;11,03%;8,40%;7,26%;9,85%;9,61%;7,62%;8,18%
Giro ativos;0,39;0,36;0,45;0,41;0,38;0,45;0,47;0,44;0,44
CAGR Receitas 5 anos;6,64%;9,81%;9,21%;7,23%;5,97%;9,89%;14,51%;14,31%;17,38%
CAGR Lucros 5 anos;26,66%;19,99%;3,98%;10,55%;20,08%;31,50%;31,11%;53,22%;38,87%
