;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,82%;2,80%;6,39%;4,97%;3,33%;3,36%;3,26%;2,86%;2,00%
Div;2.93;3.62;5.99;5.96;5.91;5.87;5.75;5.45;4.71
P/L;25.13;16.69;-7.41;11.4;17.16;18.73;22.2;20.74;28.86
PEG Ratio;-1,12;-;-;-;-;-;-;-;-
P/VP;18,47;18,13;10,79;4,47;6,75;7,84;10,08;11,33;12,12
EV/EBITDA;47,41;12,12;-6,69;9,47;12,52;13,29;16,33;14,41;16,50
EV/EBIT;122,36;15,55;-5,51;12,19;15,85;17,07;20,89;17,48;19,87
P/EBITDA;43,62;11,27;-5,59;8,01;11,14;11,69;13,89;13,07;15,42
P/EBIT;112,59;14,45;-4,60;10,30;14,10;15,02;17,76;15,85;18,57
VPA;8,71;7,12;8,70;26,80;26,31;22,31;17,50;16,82;19,41
P/Ativo;2,27;1,75;1,03;1,42;2,16;2,13;2,27;3,04;3,69
LPA;6.4;7.74;-12.66;10.52;10.35;9.33;7.95;9.19;8.16
P/SR;3,44;2,83;2,11;1,92;2,87;3,13;3,16;3,39;4,43
P/Cap. Giro;11,62;15,05;47,92;12,75;15,95;14,33;27,06;17,16;21,27
P/Ativo Circ. Liq.;-3,97;-2,90;-1,52;-2,07;-3,21;-3,12;-3,20;-4,87;-5,91
Dív. líquida/PL;1,60;1,38;2,13;0,82;0,84;1,07;1,78;1,16;0,85
Dív. líquida/EBITDA;3,79;0,86;-1,10;1,46;1,38;1,60;2,45;1,34;1,08
Dív. líquida/EBIT;9,77;1,10;-0,91;1,88;1,75;2,05;3,13;1,63;1,30
PL/Ativos;0,12;0,10;0,10;0,32;0,32;0,27;0,23;0,27;0,30
Passivos/Ativos;0,88;0,90;0,90;0,68;0,68;0,73;0,77;0,73;0,70
Liq. corrente;1,84;1,41;1,07;1,54;1,70;1,89;1,41;1,89;1,86
M. Bruta;9,13%;41,21%;39,12%;43,81%;46,84%;48,41%;46,68%;49,09%;49,28%
M. EBITDA;7,89%;25,16%;-37,72%;24,02%;25,79%;26,79%;22,73%;25,91%;28,72%
M. EBIT;3,06%;19,61%;-45,80%;18,67%;20,38%;20,85%;17,77%;21,36%;23,84%
M. Líquida;13,70%;16,98%;-28,42%;16,88%;16,75%;16,73%;14,22%;16,33%;15,35%
ROE;73,49%;108,62%;-145,52%;39,24%;39,35%;41,84%;45,41%;54,60%;42,01%
ROA;9,04%;10,47%;-13,83%;12,44%;12,58%;11,37%;10,23%;14,65%;12,79%
ROIC;-0,53%;23,78%;-67,83%;18,85%;18,26%;17,03%;15,08%;21,96%;19,09%
Giro ativos;0,66;0,62;0,49;0,74;0,75;0,68;0,72;0,90;0,83
CAGR Receitas 5 anos;-5,22%;-5,56%;-3,74%;3,26%;1,23%;0,20%;1,20%;1,15%;0,33%
CAGR Lucros 5 anos;-1,80%;-%;3,53%;3,23%;2,18%;-1,61%;2,80%;1,80%;3,35%
