;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;10.14;13.82;19.31;24.18;27.99;18.74;11.54;10.26;-8.55
PEG Ratio;-0,44;-;-;-;-;-;-;-;-
P/VP;2,14;3,63;5,00;6,46;7,01;6,02;4,34;4,40;3,27
EV/EBITDA;7,20;5,41;8,11;10,25;11,53;7,57;4,65;3,17;-1,65
EV/EBIT;10,96;6,00;8,99;11,78;13,05;8,19;5,07;3,60;-0,95
P/EBITDA;15,46;8,61;12,08;14,20;16,38;10,96;7,38;5,74;-15,42
P/EBIT;23,55;9,55;13,39;16,33;18,54;11,86;8,03;6,51;-8,86
VPA;81,54;80,29;72,30;51,10;45,34;35,35;31,26;26,40;23,42
P/Ativo;0,57;1,04;1,41;1,56;1,51;1,32;1,25;1,01;0,52
LPA;17.18;21.05;18.71;13.66;11.36;11.35;11.75;11.33;-8.97
P/SR;0,20;0,40;0,62;0,60;0,66;0,65;0,51;0,38;0,22
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,57;-1,04;-1,41;-1,56;-1,51;-1,32;-1,25;-1,01;-0,52
Dív. líquida/PL;-1,14;-1,35;-1,64;-1,80;-2,08;-1,86;-1,60;-1,97;-2,92
Dív. líquida/EBITDA;-8,26;-3,20;-3,97;-3,95;-4,86;-3,39;-2,73;-2,57;13,76
Dív. líquida/EBIT;-12,59;-3,55;-4,40;-4,54;-5,49;-3,67;-2,97;-2,91;7,91
PL/Ativos;0,27;0,29;0,28;0,24;0,22;0,22;0,29;0,23;0,16
Passivos/Ativos;0,73;0,71;0,72;0,76;0,78;0,78;0,71;0,77;0,84
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;3,36%;15,31%;15,86%;15,01%;14,64%;17,12%;17,37%;18,03%;14,13%
M. EBITDA;1,30%;4,66%;5,12%;4,22%;4,05%;5,93%;6,85%;6,69%;-1,43%
M. EBIT;0,85%;4,20%;4,62%;3,67%;3,58%;5,47%;6,29%;5,90%;-2,48%
M. Líquida;1,98%;2,90%;3,20%;2,48%;2,37%;3,46%;4,38%;3,74%;-2,58%
ROE;21,07%;26,22%;25,88%;26,72%;25,06%;32,11%;37,60%;42,93%;-38,29%
ROA;5,62%;7,54%;7,33%;6,43%;5,40%;7,06%;10,86%;9,88%;-6,04%
ROIC;1,45%;17,48%;18,76%;17,55%;16,22%;18,35%;25,63%;28,27%;-17,96%
Giro ativos;2,84;2,60;2,29;2,60;2,27;2,04;2,48;2,64;2,35
CAGR Receitas 5 anos;19,29%;12,52%;9,97%;9,33%;6,50%;11,73%;23,45%;27,44%;31,40%
CAGR Lucros 5 anos;9,85%;9,06%;-%;66,18%;36,31%;64,06%;67,89%;-%;20,09%
