;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;3,42%;2,94%;1,28%;0,70%;0,87%;0,81%;0,34%;2,34%
Div;;0.84;1.05;0.56;0.27;0.2;0.18;0.1;0.61
P/L;6.27;44.54;9.94;4.15;8.88;13.1;-7.68;23.96;-84.03
PEG Ratio;0,00;-;-;-;-;-;-;-;-
P/VP;0,60;0,68;0,94;1,23;1,37;0,91;0,89;1,08;0,94
EV/EBITDA;8,22;7,03;5,92;3,06;5,47;9,78;-106,88;9,34;10,04
EV/EBIT;51,11;23,57;10,30;3,72;7,52;35,21;-11,45;20,82;23,59
P/EBITDA;5,23;4,66;4,57;2,56;4,40;6,70;-71,27;7,04;7,49
P/EBIT;32,49;15,64;7,96;3,11;6,05;24,13;-7,64;15,69;17,59
VPA;40,27;36,23;37,92;35,55;28,76;25,27;24,25;26,97;27,40
P/Ativo;0,31;0,34;0,50;0,64;0,66;0,44;0,42;0,56;0,48
LPA;3.87;0.55;3.59;10.57;4.42;1.76;-2.82;1.22;-0.31
P/SR;0,65;0,70;0,85;0,78;1,17;1,00;0,92;1,17;1,22
P/Cap. Giro;12,30;23,82;13,29;14,54;26,93;23,28;7,28;6,42;3,48
P/Ativo Circ. Liq.;-0,39;-0,42;-0,63;-0,88;-0,87;-0,54;-0,53;-0,71;-0,64
Dív. líquida/PL;0,35;0,34;0,28;0,24;0,33;0,42;0,45;0,35;0,32
Dív. líquida/EBITDA;3,00;2,36;1,35;0,50;1,07;3,08;-35,61;2,30;2,55
Dív. líquida/EBIT;18,62;7,93;2,34;0,60;1,47;11,08;-3,82;5,13;6,00
PL/Ativos;0,52;0,50;0,53;0,52;0,48;0,48;0,48;0,52;0,52
Passivos/Ativos;0,48;0,50;0,47;0,48;0,52;0,52;0,52;0,48;0,48
Liq. corrente;1,14;1,08;1,22;1,18;1,11;1,12;1,43;1,71;2,27
M. Bruta;15,65%;13,59%;16,14%;30,10%;25,90%;12,27%;10,07%;15,63%;11,37%
M. EBITDA;12,39%;15,03%;18,50%;30,39%;26,64%;14,99%;-1,29%;16,69%;16,24%
M. EBIT;1,99%;4,48%;10,63%;24,99%;19,37%;4,16%;-12,05%;7,48%;6,91%
M. Líquida;10,33%;1,57%;8,51%;18,73%;13,20%;7,67%;-11,98%;4,90%;-1,45%
ROE;9,62%;1,52%;9,48%;29,72%;15,38%;6,95%;-11,62%;4,52%;-1,11%
ROA;4,98%;0,76%;5,06%;15,32%;7,40%;3,37%;-5,53%;2,34%;-0,58%
ROIC;-1,05%;1,98%;7,96%;22,68%;12,07%;-1,53%;-9,41%;4,29%;0,12%
Giro ativos;0,48;0,49;0,59;0,82;0,56;0,44;0,46;0,48;0,40
CAGR Receitas 5 anos;4,55%;7,39%;20,88%;11,52%;-0,48%;-0,33%;-0,79%;-7,78%;-6,34%
CAGR Lucros 5 anos;-%;19,91%;-%;40,50%;-7,81%;-%;-24,28%;-%;-34,73%
