;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,81%;0,85%;0,63%;0,85%;0,49%;0,55%;0,90%;1,03%;0,71%
Div;7.45;5.03;3.97;3.01;2.42;2.01;1.61;1.2;0.8
P/L;23.25;15.84;70.89;38.06;94.29;100.48;71.05;46.84;71.54
PEG Ratio;0,07;-;-;-;-;-;-;-;-
P/VP;12,35;9,00;14,78;9,98;18,34;17,09;10,00;7,70;8,94
EV/EBITDA;203,33;46,56;53,98;28,11;72,30;83,13;56,54;34,46;43,22
EV/EBIT;252,46;47,89;57,70;30,33;81,16;94,02;64,34;38,43;52,63
P/EBITDA;209,36;48,03;56,03;29,41;74,67;86,24;60,08;37,31;46,18
P/EBIT;259,94;49,39;59,89;31,73;83,83;97,53;68,36;41,61;56,24
VPA;74,48;65,78;42,68;35,42;26,89;21,43;17,81;15,09;12,57
P/Ativo;10,48;7,82;12,44;8,09;14,39;13,67;8,09;6,21;7,15
LPA;39.56;37.36;8.9;9.29;5.23;3.64;2.51;2.48;1.57
P/SR;16,56;12,82;16,64;9,28;18,89;19,56;12,32;8,47;9,91
P/Cap. Giro;26,39;22,27;19,12;14,52;25,41;23,76;13,88;9,85;12,17
P/Ativo Circ. Liq.;-21,05;-13,79;-49,27;-25,70;-49,50;-45,06;-25,68;-23,19;-22,93
Dív. líquida/PL;-0,36;-0,27;-0,54;-0,44;-0,58;-0,62;-0,59;-0,59;-0,57
Dív. líquida/EBITDA;-6,03;-1,46;-2,05;-1,30;-2,37;-3,11;-3,54;-2,86;-2,96
Dív. líquida/EBIT;-7,49;-1,51;-2,19;-1,41;-2,66;-3,51;-4,03;-3,18;-3,61
PL/Ativos;0,85;0,87;0,84;0,81;0,78;0,80;0,81;0,81;0,80
Passivos/Ativos;0,15;0,13;0,16;0,19;0,22;0,20;0,19;0,19;0,20
Liq. corrente;4,77;5,31;7,74;5,36;4,96;5,73;6,67;7,22;6,81
M. Bruta;55,24%;55,32%;56,07%;58,44%;56,75%;55,18%;55,15%;55,40%;54,85%
M. EBITDA;7,91%;26,70%;29,69%;31,57%;25,30%;22,68%;20,50%;22,69%;21,45%
M. EBIT;6,37%;25,96%;27,78%;29,26%;22,54%;20,05%;18,02%;20,34%;17,61%
M. Líquida;71,22%;80,95%;23,47%;24,39%;20,04%;19,47%;17,33%;18,08%;13,85%
ROE;53,12%;56,80%;20,85%;26,23%;19,46%;17,01%;14,07%;16,45%;12,49%
ROA;45,05%;49,40%;17,56%;21,26%;15,26%;13,60%;11,38%;13,27%;9,99%
ROIC;-28,02%;-20,37%;20,85%;26,23%;19,46%;17,01%;14,07%;16,45%;12,49%
Giro ativos;0,63;0,61;0,75;0,87;0,76;0,70;0,66;0,73;0,72
CAGR Receitas 5 anos;28,58%;25,61%;30,67%;25,45%;20,45%;17,32%;19,59%;17,11%;14,61%
CAGR Lucros 5 anos;75,01%;32,34%;46,34%;35,64%;36,12%;25,12%;35,67%;32,85%;31,71%
