;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,30%;3,14%;2,72%;2,52%;3,44%;3,14%;2,57%;2,70%;3,48%
Div;2.43;3.12;2.88;2.79;2.64;2.48;2.26;1.99;1.89
P/L;13.78;14.69;756.16;19.39;14.85;28.26;22.7;30.83;61.8
PEG Ratio;0,24;-;-;-;-;-;-;-;-
P/VP;5,06;5,43;7,34;6,12;5,07;7,89;8,59;7,13;4,28
EV/EBITDA;32,67;11,25;52,76;14,69;12,80;18,00;14,83;15,07;14,02
EV/EBIT;68,47;13,79;160,91;18,19;15,76;25,42;19,26;22,70;23,66
P/EBITDA;30,02;10,29;47,91;13,83;11,33;16,09;14,06;14,26;12,90
P/EBIT;62,91;12,61;146,11;17,12;13,96;22,72;18,26;21,47;21,77
VPA;20,89;18,32;14,84;18,12;15,11;10,01;10,21;10,34;12,69
P/Ativo;2,03;2,15;2,59;2,58;1,83;2,18;2,65;2,32;1,68
LPA;7.67;6.77;0.14;5.72;5.16;2.79;3.87;2.39;0.88
P/SR;4,08;3,92;4,59;4,75;3,98;4,16;4,77;4,53;3,69
P/Cap. Giro;13,86;24,27;42,63;24,52;30,30;457,04;42,46;52,26;24,05
P/Ativo Circ. Liq.;-3,20;-3,21;-3,70;-3,83;-2,57;-3,13;-3,93;-3,38;-2,34
Dív. líquida/PL;0,45;0,51;0,74;0,38;0,65;0,94;0,47;0,41;0,37
Dív. líquida/EBITDA;2,65;0,96;4,85;0,86;1,46;1,91;0,77;0,81;1,12
Dív. líquida/EBIT;5,55;1,17;14,80;1,06;1,80;2,70;1,00;1,23;1,89
PL/Ativos;0,40;0,40;0,35;0,42;0,36;0,28;0,31;0,33;0,39
Passivos/Ativos;0,60;0,60;0,65;0,58;0,64;0,72;0,69;0,67;0,61
Liq. corrente;1,66;1,36;1,25;1,47;1,27;1,02;1,24;1,17;1,33
M. Bruta;18,36%;76,32%;73,17%;70,63%;72,02%;67,74%;69,87%;68,06%;67,82%
M. EBITDA;13,60%;38,08%;9,58%;34,33%;35,10%;25,87%;33,93%;31,80%;28,60%
M. EBIT;6,49%;31,07%;3,14%;27,74%;28,50%;18,32%;26,13%;21,12%;16,94%
M. Líquida;29,63%;26,68%;0,61%;24,49%;26,79%;14,72%;21,01%;14,71%;5,97%
ROE;36,71%;36,96%;0,97%;31,57%;34,17%;27,91%;37,86%;23,14%;6,93%
ROA;14,69%;14,62%;0,34%;13,30%;12,35%;7,72%;11,66%;7,53%;2,72%
ROIC;1,50%;20,54%;0,52%;18,94%;17,34%;12,40%;21,66%;13,76%;4,82%
Giro ativos;0,50;0,55;0,56;0,54;0,46;0,52;0,55;0,51;0,46
CAGR Receitas 5 anos;6,50%;7,29%;8,12%;4,12%;3,97%;2,09%;-0,80%;-3,22%;-3,69%
CAGR Lucros 5 anos;11,70%;-43,28%;43,40%;27,19%;9,73%;-3,76%;7,15%;-17,24%;-8,93%
