;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;-3.74;-4.51;-8.06;8.27;8.39;-55.34;-12.68;-13.06;
PEG Ratio;-0,09;-;-;-;-;-;-;-;-
P/VP;1,25;1,47;2,74;3,62;7,24;16,14;5,55;3,28;-
EV/EBITDA;-6,83;-2,58;-8,86;6,04;6,80;-52,40;-11,19;-9,78;3,16
EV/EBIT;-6,05;-2,51;-7,60;6,28;6,94;-49,48;-10,59;-9,19;2,90
P/EBITDA;-11,10;-4,57;-11,23;6,95;7,54;-58,80;-13,37;-13,90;-
P/EBIT;-9,83;-4,45;-9,64;7,22;7,70;-55,53;-12,66;-13,07;-
VPA;23,88;28,24;36,27;49,67;35,10;6,47;3,53;4,65;-
P/Ativo;0,96;1,13;2,06;2,67;4,15;5,63;4,10;2,56;-
LPA;-7.97;-9.23;-12.34;21.72;30.28;-1.89;-1.54;-1.17;
P/SR;5,22;4,96;5,55;3,59;5,54;51,46;108,26;37,19;-
P/Cap. Giro;2,37;2,72;5,20;8,13;14,74;21,65;6,61;3,75;-
P/Ativo Circ. Liq.;-2,10;-2,66;-4,69;-5,56;-11,90;-39,79;-14,15;-12,58;-
Dív. líquida/PL;-0,48;-0,64;-0,58;-0,47;-0,72;-1,76;-0,91;-0,97;-
Dív. líquida/EBITDA;4,27;1,99;2,37;-0,90;-0,75;6,40;2,19;4,12;3,16
Dív. líquida/EBIT;3,78;1,94;2,04;-0,94;-0,76;6,04;2,07;3,87;2,90
PL/Ativos;0,77;0,77;0,75;0,74;0,57;0,35;0,74;0,78;-0,51
Passivos/Ativos;0,23;0,23;0,25;0,26;0,43;0,65;0,26;0,22;0,42
Liq. corrente;3,93;3,67;3,42;2,73;1,76;1,43;7,89;7,02;4,09
M. Bruta;10,17%;54,76%;31,47%;71,88%;85,83%;99,01%;100,00%;100,00%;100,00%
M. EBITDA;-47,00%;-108,56%;-49,39%;51,67%;73,47%;-87,51%;-809,57%;-267,58%;-113,87%
M. EBIT;-53,05%;-111,46%;-57,56%;49,71%;71,92%;-92,67%;-854,88%;-284,60%;-124,38%
M. Líquida;-139,61%;-110,04%;-68,84%;43,41%;66,06%;-92,99%;-853,73%;-284,84%;-124,34%
ROE;-33,40%;-32,67%;-34,03%;43,73%;86,26%;-29,17%;-43,75%;-25,14%;-46,41%
ROA;-25,68%;-25,18%;-25,58%;32,34%;49,46%;-10,18%;-32,34%;-19,61%;-23,60%
ROIC;-13,05%;-33,39%;-32,67%;41,74%;82,76%;-27,97%;-42,47%;-24,60%;47,80%
Giro ativos;0,18;0,23;0,37;0,74;0,75;0,11;0,04;0,07;0,19
CAGR Receitas 5 anos;121,86%;119,28%;147,88%;179,44%;-%;-%;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
