;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,82%;3,49%;3,47%;2,14%;2,04%;2,54%;2,77%;1,72%
Div;;3.55;3.25;2.95;2.1;1.4;1.3;1.1;0.9
P/L;18.24;15.78;17.78;13.51;11.94;11.81;9.72;8.31;16.98
PEG Ratio;0,41;-;-;-;-;-;-;-;-
P/VP;2,58;1,93;1,53;1,42;1,65;1,22;1,01;0,85;1,23
EV/EBITDA;35,02;8,63;10,06;15,46;19,80;20,13;14,45;14,99;22,11
EV/EBIT;46,44;9,34;10,93;17,81;23,77;24,29;16,06;16,29;24,52
P/EBITDA;13,51;2,96;2,83;4,69;6,89;5,63;3,14;2,95;5,31
P/EBIT;17,92;3,20;3,07;5,40;8,27;6,79;3,49;3,21;5,89
VPA;69,19;65,05;60,88;59,79;59,50;56,26;50,38;46,55;42,81
P/Ativo;0,21;0,17;0,13;0,12;0,15;0,11;0,09;0,08;0,11
LPA;9.79;7.97;5.24;6.29;8.22;5.8;5.26;4.77;3.09
P/SR;17,63;3,28;2,83;2,67;2,91;2,57;2,00;1,70;2,50
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,21;-0,17;-0,13;-0,12;-0,15;-0,11;-0,09;-0,08;-0,11
Dív. líquida/PL;4,11;3,71;3,92;3,26;3,09;3,14;3,65;3,48;3,88
Dív. líquida/EBITDA;21,51;5,67;7,24;10,77;12,91;14,51;11,31;12,04;16,80
Dív. líquida/EBIT;28,52;6,14;7,86;12,40;15,49;17,50;12,57;13,08;18,63
PL/Ativos;0,08;0,09;0,08;0,08;0,09;0,09;0,09;0,09;0,09
Passivos/Ativos;0,92;0,91;0,92;0,92;0,91;0,91;0,91;0,91;0,91
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;130,43%;111,03%;100,14%;56,86%;42,26%;45,72%;63,61%;57,76%;47,05%
M. EBIT;98,37%;102,64%;92,20%;49,37%;35,20%;37,90%;57,23%;53,17%;42,43%
M. Líquida;96,62%;20,81%;15,91%;19,74%;24,38%;21,79%;20,55%;20,50%;14,73%
ROE;14,15%;12,25%;8,61%;10,53%;13,81%;10,32%;10,44%;10,25%;7,22%
ROA;1,14%;1,05%;0,71%;0,89%;1,23%;0,94%;0,95%;0,96%;0,66%
ROIC;1,66%;9,89%;8,12%;4,22%;2,95%;2,85%;4,69%;4,25%;2,61%
Giro ativos;0,01;0,05;0,04;0,05;0,05;0,04;0,05;0,05;0,04
CAGR Receitas 5 anos;8,23%;5,98%;7,07%;11,53%;6,51%;3,86%;4,30%;7,71%;1,45%
CAGR Lucros 5 anos;8,17%;0,76%;12,53%;20,25%;14,16%;23,46%;26,93%;-%;23,67%
