;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,31%;1,07%;0,98%;0,98%;0,59%;0,65%;0,98%;1,30%;1,04%
Div;1.8;6.42;5.54;4.56;3.62;2.9;2.53;1.92;1.31
P/L;35.61;42.06;38.95;42.72;69.57;61.51;38.8;25.55;37.49
PEG Ratio;-0,37;-;-;-;-;-;-;-;-
P/VP;-22,73;-49,63;-60,48;-36,90;-308,99;-83,51;-285,08;-77,95;28,42
EV/EBITDA;77,25;28,95;28,36;29,87;46,03;-;28,07;17,19;18,89
EV/EBIT;119,03;32,92;31,36;33,50;52,32;46,38;31,19;19,20;21,59
P/EBITDA;69,14;26,61;26,01;27,29;43,66;-;26,20;15,23;17,10
P/EBIT;106,54;30,26;28,76;30,60;49,63;43,93;29,11;17,01;19,55
VPA;-25,50;-12,09;-9,35;-12,61;-1,98;-5,35;-0,91;-1,89;4,45
P/Ativo;8,08;8,57;8,11;7,44;9,17;8,82;5,20;3,83;3,48
LPA;16.28;14.27;14.52;10.89;8.81;7.26;6.65;5.77;3.37
P/SR;14,26;16,33;17,69;16,54;24,72;21,83;14,04;9,05;8,94
P/Cap. Giro;-248,18;-193,05;-452,48;74,77;56,60;40,95;18,52;20,73;17,28
P/Ativo Circ. Liq.;-10,68;-11,37;-10,91;-11,45;-15,02;-16,28;-10,30;-6,65;-5,67
Dív. líquida/PL;-;-;-;-;-;-;-;-;2,96
Dív. líquida/EBITDA;8,11;2,34;2,35;2,58;2,37;-;1,88;1,96;1,78
Dív. líquida/EBIT;12,49;2,66;2,60;2,89;2,69;2,45;2,08;2,19;2,04
PL/Ativos;-0,36;-0,17;-0,13;-0,20;-0,03;-0,11;-0,02;-0,05;0,12
Passivos/Ativos;1,36;1,17;1,13;1,20;1,03;1,11;1,02;1,05;0,88
Liq. corrente;0,88;0,85;0,93;1,40;1,71;1,88;2,31;1,77;2,09
M. Bruta;20,03%;81,99%;82,34%;82,02%;82,45%;82,79%;81,07%;79,96%;78,52%
M. EBITDA;20,62%;61,38%;68,01%;60,62%;56,61%;-%;53,59%;59,43%;52,30%
M. EBIT;13,38%;53,98%;61,52%;54,05%;49,80%;49,70%;48,23%;53,21%;45,75%
M. Líquida;40,03%;38,83%;45,42%;38,72%;35,53%;35,50%;36,18%;35,42%;23,86%
ROE;-63,84%;-117,99%;-155,26%;-86,37%;-444,12%;-135,78%;-734,74%;-305,05%;75,80%
ROA;22,70%;20,37%;20,81%;17,42%;13,18%;14,33%;13,41%;14,99%;9,28%
ROIC;4,54%;36,26%;35,44%;29,74%;22,15%;25,93%;23,76%;26,61%;16,94%
Giro ativos;0,57;0,52;0,46;0,45;0,37;0,40;0,37;0,42;0,39
CAGR Receitas 5 anos;12,89%;12,02%;12,03%;12,17%;9,54%;9,34%;9,44%;9,03%;5,01%
CAGR Lucros 5 anos;14,50%;17,73%;23,42%;22,72%;21,89%;14,68%;17,94%;10,53%;8,50%
