;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,70%;0,73%;0,74%;1,06%;0,68%;0,94%;1,20%;1,69%;1,86%
Div;3.41;3.08;2.78;2.54;2.29;2.09;1.89;1.71;1.59
P/L;35.51;35.56;38.62;24.55;41.17;37.98;30.66;47.37;25.89
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;10,53;11,67;13,55;10,72;17,76;14,21;11,76;9,49;7,52
EV/EBITDA;22,59;23,91;26,47;17,63;29,60;24,43;20,61;15,57;15,85
EV/EBIT;28,83;28,85;30,57;20,68;34,46;30,33;26,13;19,95;20,50
P/EBITDA;22,92;24,09;27,09;18,19;30,47;25,54;21,73;16,80;17,06
P/EBIT;29,25;29,08;31,29;21,33;35,48;31,71;27,54;21,52;22,07
VPA;46,21;36,11;27,75;22,36;18,93;15,65;13,41;10,70;11,37
P/Ativo;5,84;6,12;6,78;4,90;7,56;5,58;4,20;3,03;2,64
LPA;13.7;11.85;9.74;9.77;8.17;5.86;5.14;2.14;3.3
P/SR;12,84;12,79;13,19;9,01;15,01;11,76;9,56;7,11;6,83
P/Cap. Giro;72,45;90,98;34,89;23,94;26,34;15,34;11,34;7,06;6,17
P/Ativo Circ. Liq.;-8,45;-8,89;-12,27;-9,15;-16,89;-14,08;-10,84;-8,80;-7,53
Dív. líquida/PL;-0,15;-0,09;-0,31;-0,33;-0,51;-0,62;-0,60;-0,70;-0,53
Dív. líquida/EBITDA;-0,33;-0,18;-0,62;-0,56;-0,87;-1,11;-1,11;-1,23;-1,21
Dív. líquida/EBIT;-0,42;-0,22;-0,72;-0,66;-1,02;-1,38;-1,41;-1,58;-1,56
PL/Ativos;0,55;0,52;0,50;0,46;0,43;0,39;0,36;0,32;0,35
Passivos/Ativos;0,45;0,48;0,50;0,54;0,57;0,61;0,64;0,68;0,65
Liq. corrente;1,35;1,27;1,77;1,78;2,08;2,52;2,53;2,90;2,92
M. Bruta;68,82%;69,76%;68,92%;68,40%;68,93%;67,78%;65,90%;65,25%;64,52%
M. EBITDA;56,01%;53,07%;48,69%;49,52%;49,25%;46,03%;44,00%;42,35%;40,05%
M. EBIT;43,88%;43,97%;42,14%;42,22%;42,30%;37,08%;34,72%;33,05%;30,96%
M. Líquida;36,15%;35,96%;34,15%;36,69%;36,45%;30,96%;31,18%;15,02%;26,39%
ROE;29,65%;32,83%;35,09%;43,68%;43,15%;37,43%;38,35%;20,03%;29,06%
ROA;16,45%;17,21%;17,56%;19,94%;18,36%;14,70%;13,69%;6,40%;10,18%
ROIC;26,34%;27,53%;28,55%;33,62%;30,61%;24,38%;22,49%;10,42%;14,66%
Giro ativos;0,46;0,48;0,51;0,54;0,50;0,47;0,44;0,43;0,39
CAGR Receitas 5 anos;14,26%;13,94%;15,47%;13,02%;8,85%;7,70%;7,23%;5,55%;5,44%
CAGR Lucros 5 anos;17,57%;34,29%;23,33%;24,43%;29,43%;12,19%;-5,39%;8,47%;-2,36%
