;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,28%;0,87%;1,16%;1,26%;1,07%;1,55%;1,46%;1,85%;2,14%
Div;1.08;4.02;3.63;;2.91;2.64;2.35;2.13;1.94
P/L;30.24;48.98;30.45;31.67;36.82;30.38;31.81;19.47;-94.55
PEG Ratio;0,85;-;-;-;-;-;-;-;-
P/VP;27,50;45,35;71,87;372,12;-1.145,89;-51,67;-39,44;-14,55;-8,41
EV/EBITDA;59,77;32,01;20,73;-;22,59;18,16;19,65;13,58;11,02
EV/EBIT;85,83;36,90;23,86;-;28,21;23,49;25,99;17,28;13,98
P/EBITDA;52,80;30,47;19,14;19,79;20,85;15,99;17,10;11,17;9,05
P/EBIT;75,82;35,12;22,03;24,79;26,04;20,68;22,61;14,21;11,48
VPA;13,97;10,19;4,36;-;-0,24;-3,29;-4,09;-7,91;-10,74
P/Ativo;3,40;5,29;3,90;3,37;3,76;2,65;2,59;2,00;1,79
LPA;12.7;9.44;10.28;;7.38;5.6;5.07;5.91;-0.96
P/SR;5,66;7,14;5,22;4,74;5,61;3,89;3,50;2,56;2,30
P/Cap. Giro;421,02;54,24;-4.730,51;62,11;33,98;34,40;37,36;16,00;14,38
P/Ativo Circ. Liq.;-4,93;-9,52;-6,84;-5,71;-6,76;-4,40;-4,27;-3,66;-3,44
Dív. líquida/PL;3,63;2,29;5,96;-;-;-;-;-;-
Dív. líquida/EBITDA;6,97;1,54;1,59;-;1,74;2,17;2,56;2,41;1,98
Dív. líquida/EBIT;10,01;1,77;1,83;-;2,17;2,81;3,38;3,07;2,51
PL/Ativos;0,12;0,12;0,05;-;0,00;-0,05;-0,07;-0,14;-0,21
Passivos/Ativos;0,88;0,88;0,95;-;1,00;1,05;1,07;1,14;1,21
Liq. corrente;1,03;1,28;1,00;-;1,33;1,24;1,21;1,38;1,35
M. Bruta;51,41%;50,96%;49,81%;-%;49,44%;48,66%;49,84%;47,39%;47,40%
M. EBITDA;10,71%;23,44%;27,24%;-%;26,90%;24,32%;20,48%;22,93%;25,39%
M. EBIT;7,46%;20,33%;23,67%;-%;21,54%;18,80%;15,48%;18,03%;20,02%
M. Líquida;18,70%;14,58%;17,13%;-%;15,24%;12,80%;11,01%;13,16%;-2,43%
ROE;90,93%;92,60%;236,05%;-%;-3.112,50%;-170,07%;-124,00%;-74,71%;-8,90%
ROA;11,26%;10,81%;12,81%;-%;10,21%;8,73%;8,16%;10,27%;-1,89%
ROIC;1,95%;23,49%;28,63%;-%;25,79%;25,41%;24,63%;29,58%;1,83%
Giro ativos;0,60;0,74;0,75;-;0,67;0,68;0,74;0,78;0,78
CAGR Receitas 5 anos;6,52%;6,32%;7,39%;-%;5,42%;6,05%;3,35%;0,35%;-5,94%
CAGR Lucros 5 anos;12,68%;12,09%;-%;-%;9,24%;-7,75%;-2,55%;-%;-13,52%
