;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,67%;2,85%;3,79%;3,31%;2,93%;3,46%;2,42%;2,48%;1,75%
Div;1.36;5.36;5.2;4.8;4.5;4.41;4.11;3.55;2.99
P/L;11.7;12.02;8.31;12.33;10.63;12.07;11.61;10.47;18.27
PEG Ratio;0,73;-;-;-;-;-;-;-;-
P/VP;1,08;1,07;0,84;0,97;1,10;1,01;1,43;1,30;1,58
EV/EBITDA;-14,21;-4,84;-5,97;-7,46;-10,92;-7,70;1,24;0,65;1,70
EV/EBIT;-20,87;-5,43;-6,66;-8,64;-12,32;-9,02;1,38;0,69;1,83
P/EBITDA;19,70;6,63;4,74;7,73;6,96;7,43;7,20;6,83;9,49
P/EBIT;28,94;7,43;5,28;8,96;7,85;8,69;7,97;7,27;10,23
VPA;186,92;175,37;162,26;149,56;139,12;126,17;119,09;110,15;107,97
P/Ativo;0,15;0,15;0,11;0,12;0,13;0,11;0,19;0,17;0,22
LPA;17.31;15.64;16.5;11.77;14.44;10.55;14.62;13.67;9.36
P/SR;6,77;2,31;1,79;2,85;3,24;2,60;3,23;3,11;4,28
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,15;-0,15;-0,11;-0,12;-0,13;-0,11;-0,19;-0,17;-0,22
Dív. líquida/PL;-1,87;-1,86;-1,91;-1,91;-2,84;-2,06;-1,18;-1,18;-1,30
Dív. líquida/EBITDA;-33,90;-11,47;-10,71;-15,19;-17,87;-15,13;-5,95;-6,18;-7,79
Dív. líquida/EBIT;-49,82;-12,86;-11,94;-17,60;-20,17;-17,71;-6,59;-6,59;-8,40
PL/Ativos;0,14;0,14;0,13;0,13;0,12;0,11;0,13;0,13;0,14
Passivos/Ativos;0,86;0,86;0,87;0,87;0,88;0,89;0,87;0,87;0,86
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;34,36%;34,91%;37,70%;36,92%;46,54%;35,01%;44,84%;45,57%;45,06%
M. EBIT;23,39%;31,14%;33,81%;31,87%;41,23%;29,91%;40,50%;42,79%;41,78%
M. Líquida;57,84%;19,24%;21,49%;23,15%;30,44%;21,54%;27,79%;29,72%;23,40%
ROE;9,26%;8,92%;10,17%;7,87%;10,38%;8,36%;12,27%;12,41%;8,67%
ROA;1,26%;1,24%;1,32%;0,99%;1,20%;0,95%;1,61%;1,60%;1,19%
ROIC;0,80%;11,52%;10,64%;7,35%;10,70%;9,00%;13,90%;10,94%;9,74%
Giro ativos;0,02;0,06;0,06;0,04;0,04;0,04;0,06;0,05;0,05
CAGR Receitas 5 anos;14,15%;14,59%;7,41%;1,31%;4,69%;7,95%;6,00%;5,48%;5,51%
CAGR Lucros 5 anos;6,05%;7,40%;7,18%;7,16%;6,50%;14,54%;12,54%;8,11%;10,96%
