;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,76%;-%;-%;-%;-%;-%;-%;-%;-%
Div;0.57;;;;;;;;
P/L;13.59;14.92;15.06;32.05;134.99;312.8;;;
PEG Ratio;-1,40;-;-;-;-;-;-;-;-
P/VP;-34,10;-129,21;-502,07;-32,24;-183,98;-34,15;-;-;-
EV/EBITDA;34,02;11,67;12,81;26,22;88,90;50,30;1,65;2,23;2,69
EV/EBIT;44,81;12,85;13,65;28,40;104,98;56,47;1,76;2,37;2,97
P/EBITDA;24,45;8,64;9,83;20,47;82,10;47,03;-;-;-
P/EBIT;32,21;9,52;10,48;22,18;96,96;52,80;-;-;-
VPA;-0,95;-0,25;-0,07;-1,29;-0,72;-4,43;1,82;0,72;3,07
P/Ativo;1,68;1,84;2,18;2,77;7,40;13,51;-;-;-
LPA;2.38;2.19;2.42;1.29;0.98;0.48;3.04;2.75;2.14
P/SR;2,20;2,36;2,92;3,64;12,57;16,82;-;-;-
P/Cap. Giro;17,21;9,70;13,27;35,58;750,42;77,31;-;-;-
P/Ativo Circ. Liq.;-2,53;-2,68;-3,03;-3,52;-9,75;-20,55;-;-;-
Dív. líquida/PL;-;-;-;-;-;-;3,56;10,56;1,96
Dív. líquida/EBITDA;9,57;3,02;2,98;5,74;6,79;3,27;1,65;2,23;2,69
Dív. líquida/EBIT;12,60;3,33;3,17;6,22;8,02;3,67;1,76;2,37;2,97
PL/Ativos;-0,05;-0,01;0,00;-0,09;-0,04;-0,40;0,13;0,06;0,24
Passivos/Ativos;1,05;1,01;1,00;1,09;1,04;1,40;0,87;0,94;0,76
Liq. corrente;1,41;2,54;2,39;1,59;1,04;2,04;1,62;0,97;1,40
M. Bruta;17,98%;71,51%;71,64%;69,90%;71,87%;73,41%;74,30%;76,30%;79,00%
M. EBITDA;9,00%;27,35%;29,68%;17,77%;15,31%;35,76%;33,52%;34,42%;27,34%
M. EBIT;6,83%;24,84%;27,84%;16,40%;12,96%;31,85%;31,52%;32,43%;24,78%
M. Líquida;16,20%;15,84%;19,37%;11,35%;9,31%;5,38%;26,07%;27,63%;26,31%
ROE;-251,01%;-865,98%;-3.333,02%;-100,58%;-136,29%;-10,92%;167,22%;379,73%;69,86%
ROA;12,37%;12,34%;14,45%;8,65%;5,49%;4,32%;22,06%;23,28%;16,44%
ROIC;2,89%;18,79%;21,22%;14,61%;9,84%;30,92%;32,56%;33,28%;12,88%
Giro ativos;0,76;0,78;0,75;0,76;0,59;0,80;0,85;0,84;0,62
CAGR Receitas 5 anos;11,15%;14,23%;19,10%;21,69%;-5,84%;-7,98%;-10,56%;-13,83%;-11,50%
CAGR Lucros 5 anos;0,61%;6,39%;0,66%;10,13%;1,48%;5,21%;10,83%;17,06%;-0,32%
