;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;34.34;29.7;33.1;36.68;50.42;44.99;34.43;27.63;42.15
PEG Ratio;-0,34;-;-;-;-;-;-;-;-
P/VP;-115,16;-202,03;-174,14;1.290,72;226,17;95,93;45,91;24,01;28,96
EV/EBITDA;67,61;22,34;23,99;-;36,66;32,07;24,90;19,50;24,28
EV/EBIT;92,78;24,81;26,75;-;40,65;36,11;27,93;21,92;27,31
P/EBITDA;62,92;20,76;22,27;25,83;35,22;30,72;23,65;18,45;23,10
P/EBIT;86,34;23,06;24,84;28,42;39,06;34,59;26,52;20,74;25,98
VPA;-12,20;-6,06;-6,97;-;7,50;11,88;17,28;23,56;21,40
P/Ativo;8,15;7,91;7,78;9,16;11,65;9,64;6,93;5,41;6,21
LPA;40.91;41.2;36.64;;33.66;25.33;23.04;20.47;14.7
P/SR;7,28;6,62;6,89;8,16;10,43;8,79;6,42;4,83;5,82
P/Cap. Giro;322,19;996,99;531,55;140,75;315,66;125,21;54,40;45,48;49,98
P/Ativo Circ. Liq.;-12,81;-12,53;-12,29;-15,11;-18,84;-15,43;-11,50;-9,01;-10,27
Dív. líquida/PL;-;-;-;-;9,24;4,21;2,44;1,37;1,48
Dív. líquida/EBITDA;4,69;1,58;1,72;-;1,44;1,35;1,26;1,05;1,18
Dív. líquida/EBIT;6,44;1,76;1,91;-;1,60;1,52;1,41;1,18;1,33
PL/Ativos;-0,07;-0,04;-0,04;-;0,05;0,10;0,15;0,23;0,21
Passivos/Ativos;1,07;1,04;1,04;-;0,95;0,90;0,85;0,77;0,79
Liq. corrente;1,07;1,02;1,04;-;1,11;1,26;1,47;1,42;1,46
M. Bruta;59,73%;60,06%;59,16%;-%;58,41%;58,38%;57,87%;57,38%;57,82%
M. EBITDA;11,57%;31,89%;30,94%;-%;29,60%;28,61%;27,16%;26,15%;25,18%
M. EBIT;8,43%;28,71%;27,75%;-%;26,70%;25,41%;24,21%;23,27%;22,38%
M. Líquida;21,20%;22,29%;20,82%;-%;20,68%;19,54%;18,65%;17,46%;13,80%
ROE;-335,37%;-680,23%;-526,07%;-%;448,59%;213,23%;133,35%;86,87%;68,70%
ROA;23,73%;26,64%;23,51%;-%;23,11%;21,42%;20,12%;19,57%;14,75%
ROIC;6,82%;49,70%;44,86%;-%;43,82%;40,72%;36,72%;34,52%;27,31%
Giro ativos;1,12;1,20;1,13;-;1,12;1,10;1,08;1,12;1,07
CAGR Receitas 5 anos;5,18%;5,23%;7,54%;-%;5,19%;3,89%;4,29%;3,08%;1,67%
CAGR Lucros 5 anos;9,00%;9,00%;18,34%;-%;11,31%;10,65%;10,86%;5,27%;7,36%
