;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,32%;1,02%;1,01%;0,98%;0,71%;0,77%;0,90%;1,09%;0,78%
Div;3.19;2.14;2.67;2.33;1.81;1.55;1.47;1.3;1.14
P/L;27.88;25.53;30.9;26.49;32.68;46.78;27.88;18.32;28.58
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;4,44;4,07;5,80;5,92;6,88;6,64;5,94;4,77;7,32
EV/EBITDA;18,08;17,32;21,23;18,38;21,87;28,16;17,85;13,43;18,19
EV/EBIT;21,95;20,81;24,75;21,12;25,66;37,73;21,97;16,35;21,80
P/EBITDA;15,85;14,72;19,14;17,62;21,11;26,12;15,97;11,40;15,43
P/EBIT;19,24;17,69;22,32;20,24;24,77;34,99;19,65;13,88;18,50
VPA;54,52;51,43;45,57;40,13;37,11;30,28;27,40;25,04;20,01
P/Ativo;2,28;1,99;2,87;3,56;3,92;3,18;2,67;2,02;2,48
LPA;8.68;8.2;8.55;8.97;7.81;4.3;5.84;6.51;5.12
P/SR;4,84;4,44;5,73;5,25;6,29;5,50;4,28;3,07;4,09
P/Cap. Giro;27,87;15,98;23,27;45,50;20,64;17,75;17,61;12,95;35,13
P/Ativo Circ. Liq.;-2,89;-2,52;-3,74;-5,06;-5,66;-4,40;-3,75;-2,73;-3,35
Dív. líquida/PL;0,62;0,72;0,63;0,26;0,25;0,52;0,70;0,85;1,30
Dív. líquida/EBITDA;2,23;2,60;2,08;0,77;0,76;2,05;1,88;2,03;2,75
Dív. líquida/EBIT;2,71;3,12;2,43;0,88;0,89;2,74;2,32;2,47;3,30
PL/Ativos;0,51;0,49;0,49;0,60;0,57;0,48;0,45;0,42;0,34
Passivos/Ativos;0,49;0,51;0,51;0,40;0,43;0,52;0,55;0,58;0,66
Liq. corrente;1,64;2,41;2,11;1,36;2,62;2,81;2,12;2,52;1,37
M. Bruta;55,16%;55,25%;54,23%;55,07%;56,05%;53,30%;54,33%;54,83%;55,12%
M. EBITDA;30,53%;30,13%;29,93%;29,79%;29,78%;21,07%;26,82%;26,90%;26,50%
M. EBIT;25,14%;25,07%;25,67%;25,93%;25,39%;15,73%;21,80%;22,09%;22,10%
M. Líquida;17,35%;17,37%;18,55%;19,81%;19,23%;11,76%;15,36%;16,74%;14,31%
ROE;15,92%;15,94%;18,76%;22,36%;21,04%;14,19%;21,32%;26,01%;25,60%
ROA;8,19%;7,79%;9,28%;13,43%;11,99%;6,79%;9,59%;11,03%;8,66%
ROIC;11,65%;10,79%;12,57%;17,57%;16,02%;9,78%;13,53%;15,37%;12,07%
Giro ativos;0,47;0,45;0,50;0,68;0,62;0,58;0,62;0,66;0,61
CAGR Receitas 5 anos;4,16%;3,12%;4,62%;5,48%;4,67%;5,19%;7,88%;7,96%;7,97%
CAGR Lucros 5 anos;6,75%;5,25%;11,65%;10,82%;3,40%;6,44%;11,21%;5,64%;4,10%
