;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;2,69%;3,87%;4,66%;3,55%;1,74%;3,31%;2,02%;0,67%
Div;0.25;1.0;1.6;2.2;2.2;1.04;1.44;0.7;0.25
P/L;15.29;12.53;-19.13;-87.25;42.13;17.07;12.7;54.13;-175.53
PEG Ratio;-0,02;-;-;-;-;-;-;-;-
P/VP;3,31;1,40;1,64;1,93;2,23;2,10;1,66;1,76;1,90
EV/EBITDA;22,09;5,47;167,86;16,85;11,77;8,55;6,71;8,92;8,06
EV/EBIT;45,38;7,79;-30,04;226,03;25,78;14,25;10,01;20,39;15,81
P/EBITDA;22,16;4,85;149,07;15,85;11,49;8,40;5,98;8,54;7,77
P/EBIT;45,51;6,92;-26,68;212,67;25,15;14,00;8,92;19,53;15,24
VPA;30,45;26,56;25,19;24,41;27,81;28,53;26,13;19,72;19,75
P/Ativo;2,01;0,74;0,86;0,97;1,21;1,17;0,89;0,89;0,97
LPA;6.59;2.97;-2.16;-0.54;1.47;3.51;3.42;0.64;-0.21
P/SR;5,11;2,25;4,04;3,14;4,02;4,20;3,66;2,54;2,71
P/Cap. Giro;20,79;8,86;31,51;10,43;9,74;9,40;9,16;5,29;5,46
P/Ativo Circ. Liq.;-2,48;-0,95;-0,99;-1,17;-1,49;-1,47;-1,06;-1,20;-1,28
Dív. líquida/PL;-0,01;0,18;0,21;0,12;0,06;0,04;0,20;0,08;0,07
Dív. líquida/EBITDA;-0,06;0,62;18,80;1,00;0,29;0,15;0,73;0,38;0,29
Dív. líquida/EBIT;-0,13;0,88;-3,36;13,36;0,63;0,25;1,09;0,86;0,57
PL/Ativos;0,61;0,53;0,52;0,50;0,54;0,56;0,54;0,51;0,51
Passivos/Ativos;0,39;0,47;0,48;0,50;0,46;0,44;0,46;0,49;0,49
Liq. corrente;2,04;1,63;1,25;2,23;2,90;2,52;2,63;2,95;3,62
M. Bruta;15,17%;52,02%;43,29%;45,72%;55,53%;56,39%;46,66%;43,57%;44,95%
M. EBITDA;23,07%;46,26%;2,71%;19,82%;34,99%;50,02%;61,13%;29,78%;34,88%
M. EBIT;11,23%;32,47%;-15,14%;1,48%;15,98%;30,02%;41,01%;13,03%;17,79%
M. Líquida;33,42%;17,92%;-21,11%;-3,60%;9,54%;24,61%;28,80%;4,70%;-1,54%
ROE;21,63%;11,19%;-8,59%;-2,22%;5,29%;12,30%;13,10%;3,25%;-1,08%
ROA;13,14%;5,94%;-4,49%;-1,11%;2,87%;6,84%;7,02%;1,65%;-0,55%
ROIC;-2,09%;12,00%;-6,02%;-1,09%;3,02%;9,25%;11,19%;3,79%;1,27%
Giro ativos;0,39;0,33;0,21;0,31;0,30;0,28;0,24;0,35;0,36
CAGR Receitas 5 anos;13,91%;10,25%;10,06%;12,84%;13,57%;7,39%;-2,93%;-5,83%;-8,40%
CAGR Lucros 5 anos;3,60%;-%;-%;-%;66,66%;40,74%;-%;-%;-%
