;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;38.28;43.77;38.96;29.24;52.28;86.51;75.96;96.37;148.62
PEG Ratio;1,12;-;-;-;-;-;-;-;-
P/VP;15,38;15,41;10,23;6,32;16,88;21,59;18,70;22,28;23,19
EV/EBITDA;21,89;14,72;10,16;6,87;14,54;16,59;12,62;13,31;12,40
EV/EBIT;173,80;36,25;31,59;23,39;41,91;62,26;56,37;74,86;119,89
P/EBITDA;21,61;14,49;9,82;6,46;14,04;16,04;11,81;12,60;11,88
P/EBIT;171,60;35,68;30,51;22,00;40,49;60,22;52,75;70,87;114,81
VPA;6,13;5,78;4,76;46,65;35,70;25,05;17,30;12,01;8,28
P/Ativo;7,27;7,11;4,32;2,70;6,00;6,08;4,17;4,49;4,37
LPA;2.46;2.04;1.25;10.09;11.52;6.25;4.26;2.78;1.29
P/SR;9,20;9,78;6,25;4,15;9,01;9,56;7,04;7,39;7,10
P/Cap. Giro;123,58;162,59;199,25;98,33;-638,12;122,15;-209,40;36,40;37,70
P/Ativo Circ. Liq.;-9,51;-9,41;-5,43;-3,34;-7,32;-8,09;-5,10;-7,17;-7,32
Dív. líquida/PL;0,20;0,24;0,36;0,40;0,59;0,73;1,28;1,25;1,03
Dív. líquida/EBITDA;0,28;0,23;0,35;0,41;0,49;0,54;0,81;0,71;0,53
Dív. líquida/EBIT;2,21;0,56;1,07;1,39;1,42;2,04;3,62;3,99;5,08
PL/Ativos;0,47;0,46;0,42;0,43;0,36;0,28;0,22;0,20;0,19
Passivos/Ativos;0,53;0,54;0,58;0,57;0,64;0,72;0,78;0,80;0,81
Liq. corrente;1,33;1,22;1,12;1,17;0,95;1,25;0,90;1,49;1,40
M. Bruta;10,33%;46,06%;41,54%;39,37%;41,64%;38,89%;38,28%;36,89%;31,30%
M. EBITDA;42,59%;67,47%;63,63%;64,31%;64,13%;59,57%;59,57%;58,64%;59,81%
M. EBIT;5,36%;27,40%;20,48%;18,88%;22,24%;15,87%;13,34%;10,43%;6,19%
M. Líquida;24,05%;22,34%;16,04%;14,21%;17,23%;11,05%;9,26%;7,67%;4,78%
ROE;40,19%;35,21%;26,27%;21,62%;32,28%;24,96%;24,62%;23,12%;15,60%
ROA;18,99%;16,24%;11,10%;9,24%;11,48%;7,03%;5,49%;4,66%;2,94%
ROIC;1,66%;23,39%;17,39%;14,80%;18,83%;12,89%;11,16%;10,46%;6,45%
Giro ativos;0,79;0,73;0,69;0,65;0,67;0,64;0,59;0,61;0,61
CAGR Receitas 5 anos;14,11%;16,38%;22,01%;27,45%;29,82%;29,64%;29,27%;26,50%;22,47%
CAGR Lucros 5 anos;36,08%;34,88%;51,71%;93,90%;86,42%;47,57%;60,88%;100,73%;-3,76%
