;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,88%;3,77%;3,43%;3,19%;3,66%;2,87%;3,08%;2,73%
Div;;1.06;1.0;0.94;0.88;0.91;0.8;0.79;0.7
P/L;22.11;23.15;17.95;15.09;21.12;-499.48;31.71;-142.85;67.28
PEG Ratio;1,41;-;-;-;-;-;-;-;-
P/VP;2,17;1,97;1,44;1,49;1,61;1,53;1,74;1,63;2,00
EV/EBITDA;22,72;12,05;10,73;10,54;11,63;17,20;11,20;22,35;10,75
EV/EBIT;82,45;20,32;18,20;17,10;19,95;54,48;20,33;131,16;17,50
P/EBITDA;12,69;6,68;5,37;5,28;6,23;8,18;6,43;12,81;5,77
P/EBIT;46,06;11,27;9,11;8,57;10,68;25,90;11,68;75,15;9,39
VPA;19,27;18,64;18,48;18,38;17,14;15,01;16,03;15,56;12,83
P/Ativo;0,58;0,54;0,38;0,42;0,46;0,40;0,46;0,43;0,43
LPA;1.89;1.59;1.48;1.82;1.31;-0.05;0.88;-0.18;0.38
P/SR;3,18;3,14;2,16;1,93;2,28;1,88;2,00;1,83;1,77
P/Cap. Giro;-11,75;-8,42;-15,51;-5,44;-13,56;-14,18;-5,50;-4,73;-6,11
P/Ativo Circ. Liq.;-0,61;-0,58;-0,45;-0,47;-0,50;-0,43;-0,50;-0,47;-0,48
Dív. líquida/PL;1,72;1,58;1,43;1,48;1,40;1,69;1,29;1,21;1,73
Dív. líquida/EBITDA;10,03;5,37;5,36;5,26;5,40;9,02;4,77;9,54;4,99
Dív. líquida/EBIT;36,39;9,05;9,09;8,53;9,26;28,58;8,65;56,01;8,11
PL/Ativos;0,27;0,27;0,27;0,28;0,29;0,26;0,26;0,26;0,22
Passivos/Ativos;0,73;0,73;0,73;0,72;0,71;0,74;0,74;0,74;0,78
Liq. corrente;0,52;0,51;0,85;0,55;0,70;0,73;0,49;0,51;0,55
M. Bruta;19,46%;79,25%;72,15%;63,93%;71,58%;76,31%;70,54%;65,56%;68,84%
M. EBITDA;25,07%;46,99%;40,17%;36,56%;36,66%;22,96%;31,03%;14,31%;30,75%
M. EBIT;6,91%;27,86%;23,68%;22,53%;21,38%;7,25%;17,10%;2,44%;18,90%
M. Líquida;14,39%;13,56%;12,02%;12,80%;10,81%;-0,38%;6,30%;-1,28%;2,64%
ROE;9,82%;8,52%;8,00%;9,89%;7,63%;-0,31%;5,48%;-1,14%;2,97%
ROA;2,60%;2,33%;2,13%;2,80%;2,19%;-0,08%;1,45%;-0,30%;0,64%
ROIC;0,93%;6,01%;5,20%;6,11%;5,55%;2,07%;5,54%;-0,43%;5,13%
Giro ativos;0,18;0,17;0,18;0,22;0,20;0,21;0,23;0,23;0,24
CAGR Receitas 5 anos;0,93%;1,48%;3,72%;1,75%;0,13%;-0,24%;2,03%;-0,63%;-4,82%
CAGR Lucros 5 anos;18,31%;-%;44,31%;12,03%;-%;-9,15%;-%;-20,94%;2,08%
