;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,36%;1,72%;1,57%;1,24%;1,59%;1,86%;1,50%;1,92%;1,27%
Div;2.07;8.07;7.35;6.77;6.16;5.67;5.16;4.7;3.9
P/L;20.37;16.3;34.18;17.07;8.64;15.93;25.79;13.17;18.62
PEG Ratio;0,29;-;-;-;-;-;-;-;-
P/VP;5,12;4,45;4,75;5,46;4,68;4,80;6,57;5,19;7,49
EV/EBITDA;29,80;11,18;19,14;12,08;6,50;10,77;13,09;11,97;15,33
EV/EBIT;55,57;13,90;28,00;14,63;7,35;13,92;17,26;14,50;17,59
P/EBITDA;25,66;9,71;16,62;10,88;5,64;9,09;11,08;9,28;14,47
P/EBIT;47,85;12,07;24,31;13,18;6,37;11,76;14,61;11,25;16,60
VPA;112,02;105,48;98,56;99,98;82,71;63,46;52,33;47,15;40,97
P/Ativo;1,66;1,38;1,51;1,91;1,42;1,14;1,41;1,13;1,52
LPA;28.16;28.8;13.7;31.97;44.82;19.13;13.34;18.6;16.48
P/SR;2,00;1,66;1,79;2,28;1,70;1,38;1,71;1,41;2,05
P/Cap. Giro;59,03;465,92;39,84;92,75;20,89;8,81;46,34;30,24;5,63
P/Ativo Circ. Liq.;-2,33;-1,94;-2,14;-2,67;-2,01;-1,74;-1,91;-1,52;-2,88
Dív. líquida/PL;0,83;0,68;0,72;0,60;0,72;0,88;1,19;1,50;0,45
Dív. líquida/EBITDA;4,14;1,48;2,52;1,20;0,86;1,67;2,01;2,69;0,86
Dív. líquida/EBIT;7,72;1,83;3,69;1,46;0,97;2,16;2,65;3,26;0,99
PL/Ativos;0,32;0,31;0,32;0,35;0,30;0,24;0,21;0,22;0,20
Passivos/Ativos;0,68;0,69;0,68;0,65;0,70;0,76;0,79;0,78;0,80
Liq. corrente;1,11;1,01;1,15;1,08;1,30;1,60;1,13;1,17;2,34
M. Bruta;4,72%;20,38%;16,67%;20,42%;20,38%;20,32%;21,45%;22,57%;22,80%
M. EBITDA;7,80%;17,08%;10,76%;20,99%;30,09%;15,19%;15,47%;15,22%;14,20%
M. EBIT;4,18%;13,74%;7,36%;17,33%;26,62%;11,74%;11,73%;12,56%;12,38%
M. Líquida;9,82%;10,17%;5,23%;13,38%;19,64%;8,67%;6,64%;10,73%;11,03%
ROE;25,14%;27,30%;13,90%;31,97%;54,19%;30,14%;25,49%;39,44%;40,23%
ROA;8,15%;8,46%;4,42%;11,19%;16,45%;7,17%;5,47%;8,58%;8,17%
ROIC;2,73%;15,99%;9,10%;19,92%;29,42%;15,23%;16,99%;14,80%;8,63%
Giro ativos;0,83;0,83;0,84;0,84;0,84;0,83;0,82;0,80;0,74
CAGR Receitas 5 anos;3,93%;5,48%;7,08%;7,62%;9,36%;7,13%;4,06%;0,62%;-1,33%
CAGR Lucros 5 anos;13,18%;-8,63%;11,28%;27,95%;9,89%;1,67%;10,59%;7,72%;-0,72%
