;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;92.39;153.61;83.56;242.38;563.34;905.98;84.94;;-192.73
PEG Ratio;3,12;-;-;-;-;-;-;-;-
P/VP;14,15;22,78;18,96;15,65;35,07;37,88;25,02;28,73;28,92
EV/EBITDA;89,45;75,26;69,61;63,85;121,75;139,28;94,31;86,50;106,19
EV/EBIT;336,94;123,49;140,13;190,42;461,51;582,14;519,95;2.267,79;-365,15
P/EBITDA;91,70;76,75;71,28;66,20;123,40;141,19;96,11;88,83;109,13
P/EBIT;345,41;125,95;143,49;197,43;467,75;590,12;529,86;2.328,79;-375,25
VPA;10,88;9,31;7,45;24,80;18,51;14,53;11,29;6,20;4,51
P/Ativo;7,34;10,74;8,32;5,92;12,00;12,32;8,84;8,23;6,34
LPA;1.67;1.38;1.69;1.6;1.15;0.61;3.32;-0.15;-0.68
P/SR;12,63;19,93;16,12;10,87;21,98;23,76;15,38;12,24;11,74
P/Cap. Giro;321,78;264,05;351,06;121,38;478,11;136,82;718,25;96,13;58,88
P/Ativo Circ. Liq.;-11,91;-19,55;-15,05;-11,85;-23,23;-25,60;-16,66;-20,81;-19,96
Dív. líquida/PL;-0,35;-0,44;-0,44;-0,56;-0,47;-0,51;-0,47;-0,75;-0,78
Dív. líquida/EBITDA;-2,25;-1,50;-1,67;-2,35;-1,65;-1,91;-1,80;-2,33;-2,94
Dív. líquida/EBIT;-8,47;-2,46;-3,36;-7,00;-6,24;-7,98;-9,91;-61,00;10,10
PL/Ativos;0,52;0,47;0,44;0,38;0,34;0,33;0,35;0,29;0,22
Passivos/Ativos;0,48;0,53;0,56;0,62;0,66;0,67;0,65;0,71;0,78
Liq. corrente;1,06;1,10;1,06;1,11;1,05;1,21;1,03;1,17;1,19
M. Bruta;78,05%;79,18%;78,59%;78,29%;77,05%;78,16%;76,98%;76,13%;73,95%
M. EBITDA;13,77%;25,97%;22,62%;16,43%;17,81%;16,83%;16,01%;13,78%;10,76%
M. EBIT;3,66%;15,82%;11,24%;5,51%;4,70%;4,03%;2,90%;0,53%;-3,13%
M. Líquida;13,67%;12,97%;19,30%;4,49%;3,90%;2,62%;18,11%;-1,02%;-6,09%
ROE;15,32%;14,83%;22,69%;6,46%;6,22%;4,18%;29,45%;-2,40%;-15,00%
ROA;7,94%;6,99%;9,96%;2,44%;2,13%;1,36%;10,41%;-0,69%;-3,29%
ROIC;0,09%;12,84%;3,13%;4,99%;4,89%;3,38%;-16,26%;0,08%;-3,25%
Giro ativos;0,58;0,54;0,52;0,54;0,55;0,52;0,57;0,67;0,54
CAGR Receitas 5 anos;25,99%;28,02%;30,44%;33,49%;35,07%;38,36%;43,77%;51,08%;71,91%
CAGR Lucros 5 anos;17,86%;-%;-%;-%;-%;-%;-%;-%;-%
