;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,81%;2,92%;4,40%;3,02%;3,20%;0,30%;0,30%;0,42%
Div;;1.63;1.51;1.4;1.3;1.2;0.12;0.12;0.12
P/L;22.08;16.94;-53.27;5.98;4.8;17.98;2.25;42.84;-4.19
PEG Ratio;0,45;-;-;-;-;-;-;-;-
P/VP;15,59;7,23;3,70;1,91;2,92;5,46;6,03;-9,30;-26,06
EV/EBITDA;17,75;8,00;11,86;7,51;5,13;7,88;9,30;11,65;-779,43
EV/EBIT;52,61;14,41;55,18;10,95;6,71;12,45;13,64;19,08;-21,55
P/EBITDA;12,36;4,74;5,09;2,41;2,40;4,99;5,69;7,38;-392,09
P/EBIT;36,65;8,54;23,70;3,51;3,14;7,89;8,34;12,09;-10,84
VPA;10,28;12,48;13,96;16,68;14,77;6,88;6,59;-4,26;-1,09
P/Ativo;1,28;0,75;0,41;0,25;0,45;0,62;0,80;1,08;0,39
LPA;7.26;5.33;-0.97;5.32;8.97;2.09;17.64;0.92;-6.8
P/SR;1,03;0,64;0,37;0,23;0,39;1,01;1,02;1,21;0,99
P/Cap. Giro;74,73;118,66;47,40;2,25;3,59;2,23;13,72;9,55;8,33
P/Ativo Circ. Liq.;-1,94;-1,19;-0,66;-0,57;-0,85;-1,03;-1,06;-1,63;-0,48
Dív. líquida/PL;6,79;4,98;4,92;4,04;3,32;3,15;3,83;-;-
Dív. líquida/EBITDA;5,38;3,26;6,76;5,10;2,73;2,89;3,61;4,27;-387,35
Dív. líquida/EBIT;15,96;5,87;31,48;7,44;3,57;4,56;5,30;7,00;-10,71
PL/Ativos;0,08;0,10;0,11;0,13;0,16;0,11;0,13;-0,12;-0,01
Passivos/Ativos;0,92;0,90;0,89;0,87;0,84;0,89;0,87;1,11;1,01
Liq. corrente;1,05;1,02;1,02;1,25;1,37;3,15;1,31;1,50;1,32
M. Bruta;6,54%;21,44%;8,12%;12,99%;24,11%;28,08%;25,64%;25,01%;24,11%
M. EBITDA;8,34%;13,44%;7,33%;9,61%;16,21%;20,19%;17,91%;16,42%;-0,25%
M. EBIT;2,81%;7,46%;1,58%;6,59%;12,39%;12,78%;12,21%;10,02%;-9,17%
M. Líquida;4,67%;3,76%;-0,70%;3,87%;8,10%;5,61%;45,19%;2,83%;-23,73%
ROE;70,61%;42,70%;-6,95%;31,90%;60,75%;30,36%;267,67%;-21,72%;-622,25%
ROA;5,80%;4,40%;-0,78%;4,19%;9,43%;3,42%;35,42%;2,52%;-9,22%
ROIC;3,07%;11,25%;2,49%;8,29%;16,91%;8,37%;-25,53%;15,74%;-9,11%
Giro ativos;1,24;1,17;1,11;1,08;1,16;0,61;0,78;0,89;0,39
CAGR Receitas 5 anos;23,42%;24,91%;28,30%;24,80%;-5,91%;-9,15%;-3,45%;1,50%;-0,36%
CAGR Lucros 5 anos;-24,00%;-%;-%;-%;-%;124,40%;-%;-%;-%
