;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,47%;2,30%;2,28%;2,01%;1,40%;1,58%;1,85%;2,03%;1,68%
Div;1.36;5.4;5.39;4.95;4.17;3.76;3.59;3.04;2.43
P/L;21.98;20.26;29.2;17.19;23.79;29.98;18.6;15.28;7.67
PEG Ratio;0,97;-;-;-;-;-;-;-;-
P/VP;4,30;3,71;4,17;4,41;5,24;4,08;3,33;2,65;2,53
EV/EBITDA;32,18;12,51;15,89;11,74;14,81;16,69;11,89;10,04;10,68
EV/EBIT;71,64;16,61;22,67;14,71;18,68;22,79;15,20;12,80;13,76
P/EBITDA;25,93;9,68;12,29;9,30;12,53;14,01;9,67;7,94;8,75
P/EBIT;57,74;12,84;17,54;11,66;15,80;19,13;12,36;10,12;11,27
VPA;67,48;63,21;56,63;55,83;56,80;58,24;58,23;56,41;57,17
P/Ativo;1,46;1,22;1,28;1,45;1,86;1,59;1,33;1,12;1,16
LPA;13.19;11.59;8.1;14.34;12.51;7.93;10.44;9.79;18.89
P/SR;5,32;4,38;4,39;4,41;6,42;6,17;4,48;3,55;3,93
P/Cap. Giro;-133,34;-148,79;83,48;-87,54;-201,97;381,96;-231,14;-55,87;-104,70
P/Ativo Circ. Liq.;-1,57;-1,31;-1,39;-1,52;-1,97;-1,69;-1,41;-1,18;-1,24
Dív. líquida/PL;1,03;1,09;1,22;1,16;0,95;0,78;0,77;0,70;0,56
Dív. líquida/EBITDA;6,24;2,84;3,60;2,44;2,28;2,68;2,22;2,10;1,93
Dív. líquida/EBIT;13,90;3,76;5,13;3,05;2,87;3,67;2,84;2,68;2,49
PL/Ativos;0,34;0,33;0,31;0,33;0,35;0,39;0,40;0,42;0,46
Passivos/Ativos;0,66;0,67;0,69;0,67;0,65;0,61;0,60;0,58;0,54
Liq. corrente;0,86;0,90;1,24;0,76;0,86;1,07;0,90;0,72;0,84
M. Bruta;17,61%;72,22%;66,50%;67,88%;72,43%;70,63%;69,74%;69,70%;71,61%
M. EBITDA;20,52%;45,28%;35,70%;47,41%;51,20%;44,02%;46,33%;44,77%;44,90%
M. EBIT;9,22%;34,12%;25,02%;37,83%;40,60%;32,23%;36,25%;35,14%;34,86%
M. Líquida;24,20%;21,63%;15,03%;25,66%;26,97%;20,56%;24,10%;23,27%;51,22%
ROE;19,55%;18,33%;14,29%;25,68%;22,03%;13,61%;17,93%;17,35%;33,03%
ROA;6,64%;6,00%;4,39%;8,41%;7,81%;5,30%;7,18%;7,36%;15,13%
ROIC;0,81%;10,88%;8,51%;14,19%;13,29%;9,60%;12,15%;12,16%;5,35%
Giro ativos;0,27;0,28;0,29;0,33;0,29;0,26;0,30;0,32;0,30
CAGR Receitas 5 anos;1,42%;1,19%;3,85%;2,42%;-1,41%;-0,57%;0,38%;-0,90%;-2,41%
CAGR Lucros 5 anos;-0,75%;-7,28%;-9,56%;12,49%;5,37%;6,42%;6,98%;25,44%;-2,64%
