;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,24%;2,93%;3,56%;3,28%;2,34%;3,01%;2,45%;2,32%;1,60%
Div;3.1;3.0;3.0;2.9;2.8;2.8;2.6;1.94;1.6
P/L;15.52;10.1;16.24;14.25;16.53;16.81;15.57;12.26;19.77
PEG Ratio;6,99;-;-;-;-;-;-;-;-
P/VP;2,02;1,57;1,45;1,64;2,07;1,66;2,03;1,76;2,22
EV/EBITDA;-26,41;-6,22;-8,52;-21,09;-38,84;-42,19;-19,70;-19,35;-26,73
EV/EBIT;-34,45;-6,63;-9,32;-25,78;-50,58;-55,79;-23,43;-23,40;-33,86
P/EBITDA;8,67;1,84;2,32;5,47;9,38;8,02;6,84;5,76;9,08
P/EBIT;11,31;1,96;2,54;6,69;12,22;10,60;8,14;6,97;11,51
VPA;68,51;65,26;58,00;54,02;57,84;56,16;52,35;47,46;44,92
P/Ativo;0,15;0,13;0,11;0,12;0,14;0,11;0,16;0,14;0,16
LPA;8.91;10.15;5.19;6.21;7.24;5.54;6.82;6.82;5.05
P/SR;3,54;1,27;1,43;2,38;3,83;3,08;3,26;2,78;3,97
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,15;-0,13;-0,11;-0,12;-0,14;-0,11;-0,16;-0,14;-0,16
Dív. líquida/PL;-8,16;-6,88;-6,79;-7,95;-10,63;-10,38;-7,87;-7,68;-8,77
Dív. líquida/EBITDA;-35,08;-8,05;-10,85;-26,56;-48,22;-50,21;-26,54;-25,11;-35,81
Dív. líquida/EBIT;-45,76;-8,59;-11,86;-32,47;-62,80;-66,40;-31,56;-30,37;-45,36
PL/Ativos;0,08;0,08;0,08;0,07;0,07;0,07;0,08;0,08;0,07
Passivos/Ativos;0,92;0,92;0,92;0,93;0,93;0,93;0,92;0,92;0,93
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;40,80%;68,83%;61,45%;43,47%;40,83%;38,36%;47,71%;48,26%;43,75%
M. EBIT;31,28%;64,53%;56,19%;35,56%;31,35%;29,01%;40,12%;39,89%;34,54%
M. Líquida;22,81%;12,53%;8,79%;16,70%;23,17%;18,30%;20,97%;22,68%;20,11%
ROE;13,00%;15,56%;8,96%;11,49%;12,51%;9,87%;13,04%;14,37%;11,25%
ROA;0,99%;1,28%;0,71%;0,83%;0,82%;0,68%;1,06%;1,14%;0,83%
ROIC;8,02%;43,85%;28,93%;10,91%;9,73%;8,81%;12,26%;10,65%;7,94%
Giro ativos;0,04;0,10;0,08;0,05;0,04;0,04;0,05;0,05;0,04
CAGR Receitas 5 anos;18,15%;12,72%;6,28%;4,75%;5,35%;8,85%;9,08%;6,39%;4,29%
CAGR Lucros 5 anos;6,36%;-6,58%;2,19%;8,40%;5,28%;13,59%;16,69%;12,10%;11,60%
