;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,67%;1,86%;1,19%;1,52%;1,50%;3,03%;2,85%;2,97%;2,38%
Div;1.09;2.17;2.07;2.0;1.71;1.61;1.6;1.54;1.51
P/L;22.64;13.4;9.42;4.39;4.55;22.26;13.5;6.73;15.38
PEG Ratio;-0,23;-;-;-;-;-;-;-;-
P/VP;1,84;1,34;2,04;1,81;2,22;1,49;1,58;1,55;2,22
EV/EBITDA;-;7,09;5,70;3,12;3,38;10,28;7,41;4,62;8,61
EV/EBIT;104,48;10,44;6,76;3,44;3,69;18,37;10,27;5,61;11,93
P/EBITDA;-;6,43;5,74;2,96;3,07;9,00;6,47;3,91;7,75
P/EBIT;97,16;9,46;6,81;3,26;3,36;16,07;8,98;4,76;10,74
VPA;88,67;87,17;85,50;72,64;51,45;35,73;35,59;33,39;28,58
P/Ativo;1,10;0,80;1,21;1,03;1,20;0,80;0,93;0,88;1,28
LPA;7.2;8.71;18.48;30.01;25.06;2.39;4.17;7.69;4.13
P/SR;1,17;0,88;1,23;0,80;0,85;0,80;0,76;0,63;1,00
P/Cap. Giro;4,98;3,62;3,61;3,22;4,07;2,34;2,96;2,72;5,05
P/Ativo Circ. Liq.;-1,74;-1,27;-2,25;-1,88;-2,39;-1,51;-1,69;-1,71;-2,24
Dív. líquida/PL;0,14;0,14;-0,01;0,10;0,22;0,21;0,23;0,28;0,25
Dív. líquida/EBITDA;-;0,66;-0,04;0,16;0,30;1,28;0,93;0,70;0,86
Dív. líquida/EBIT;7,32;0,98;-0,05;0,18;0,33;2,29;1,29;0,85;1,19
PL/Ativos;0,60;0,60;0,59;0,57;0,54;0,54;0,59;0,57;0,57
Passivos/Ativos;0,40;0,40;0,41;0,43;0,46;0,46;0,41;0,43;0,43
Liq. corrente;2,51;2,51;3,57;3,39;2,48;3,61;3,34;3,08;2,42
M. Bruta;1,97%;13,35%;22,51%;30,12%;30,22%;11,06%;11,86%;17,14%;12,69%
M. EBITDA;-%;13,76%;21,40%;27,21%;27,74%;8,86%;11,67%;16,13%;12,88%
M. EBIT;1,20%;9,34%;18,03%;24,65%;25,37%;4,96%;8,42%;13,26%;9,29%
M. Líquida;5,17%;6,60%;13,04%;18,33%;18,71%;3,58%;5,60%;9,38%;6,49%
ROE;8,12%;9,99%;21,61%;41,31%;48,71%;6,69%;11,71%;23,05%;14,47%
ROA;4,86%;5,97%;12,80%;23,42%;26,44%;3,58%;6,89%;13,12%;8,30%
ROIC;-0,41%;8,40%;17,64%;32,14%;36,44%;6,19%;9,87%;17,85%;12,27%
Giro ativos;0,94;0,91;0,98;1,28;1,41;1,00;1,23;1,40;1,28
CAGR Receitas 5 anos;6,35%;6,73%;15,44%;17,62%;4,14%;1,37%;5,64%;0,83%;-4,14%
CAGR Lucros 5 anos;9,90%;13,99%;42,07%;53,79%;55,56%;13,30%;37,06%;21,18%;0,46%
