;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;13.95;14.13;13.58;8.6;16.47;16.84;16.02;11.05;24.41
PEG Ratio;-1,13;-;-;-;-;-;-;-;-
P/VP;5,04;5,64;4,95;4,23;6,78;4,89;6,01;4,87;8,17
EV/EBITDA;31,37;10,18;9,79;5,71;11,58;12,17;12,60;8,63;14,58
EV/EBIT;32,58;10,27;9,87;5,75;11,71;12,41;12,85;8,81;14,96
P/EBITDA;33,22;10,99;10,96;6,43;12,25;13,30;13,13;8,77;14,68
P/EBIT;34,51;11,09;11,05;6,48;12,39;13,57;13,39;8,95;15,06
VPA;1.451,59;1.449,30;1.413,36;1.089,46;870,91;834,06;633,64;500,30;429,29
P/Ativo;3,31;3,72;3,27;2,62;3,49;2,63;3,69;2,78;4,39
LPA;524.55;579.0;515.38;536.08;358.74;242.24;237.77;220.53;143.73
P/SR;1,91;2,26;2,27;1,41;2,28;2,01;1,90;1,23;2,08
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-3,31;-3,72;-3,27;-2,62;-3,49;-2,63;-3,69;-2,78;-4,39
Dív. líquida/PL;-0,28;-0,42;-0,53;-0,47;-0,37;-0,42;-0,24;-0,07;-0,06
Dív. líquida/EBITDA;-1,85;-0,81;-1,17;-0,72;-0,67;-1,13;-0,52;-0,13;-0,10
Dív. líquida/EBIT;-1,92;-0,82;-1,18;-0,72;-0,68;-1,15;-0,53;-0,14;-0,10
PL/Ativos;0,66;0,66;0,66;0,62;0,51;0,54;0,61;0,57;0,54
Passivos/Ativos;0,34;0,34;0,34;0,38;0,49;0,46;0,39;0,43;0,46
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;6,89%;25,41%;25,92%;27,21%;24,44%;21,40%;21,09%;20,67%;20,94%
M. EBITDA;5,76%;20,54%;20,73%;21,95%;18,58%;15,10%;14,46%;14,01%;14,16%
M. EBIT;5,54%;20,36%;20,55%;21,78%;18,36%;14,81%;14,18%;13,72%;13,80%
M. Líquida;13,71%;15,98%;16,72%;16,39%;13,82%;11,93%;11,85%;11,11%;8,52%
ROE;36,14%;39,95%;36,47%;49,21%;41,19%;29,04%;37,52%;44,08%;33,48%
ROA;23,75%;26,36%;24,11%;30,48%;21,20%;15,60%;23,06%;25,18%;17,98%
ROIC;3,02%;33,39%;30,68%;39,92%;28,54%;20,39%;30,75%;34,17%;25,50%
Giro ativos;1,73;1,65;1,44;1,86;1,53;1,31;1,95;2,27;2,11
CAGR Receitas 5 anos;7,26%;5,81%;10,77%;8,97%;7,92%;10,77%;11,25%;14,66%;16,98%
CAGR Lucros 5 anos;13,87%;14,83%;26,27%;23,80%;18,67%;25,55%;24,50%;24,38%;26,86%
