;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,76%;0,73%;0,81%;1,10%;0,90%;1,11%;1,41%;1,76%;1,23%
Div;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
P/L;12.44;58.8;94.14;16.82;39.95;-8.37;53.68;-4.39;-12.8
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;1,67;1,93;1,74;1,27;1,61;1,40;0,91;0,71;0,88
EV/EBITDA;11,74;17,08;19,91;7,42;11,30;-11,98;7,79;-10,94;-48,43
EV/EBIT;17,59;29,93;41,66;13,02;26,58;-6,83;20,21;-6,17;-13,07
P/EBITDA;10,62;15,26;17,64;6,55;11,14;-12,42;7,76;-10,89;-56,92
P/EBIT;15,90;26,73;36,91;11,50;26,21;-7,08;20,15;-6,14;-15,36
VPA;15,69;14,30;14,11;14,28;13,90;12,83;15,54;15,88;18,51
P/Ativo;0,95;0,94;0,83;0,61;0,79;0,74;0,53;0,41;0,65
LPA;2.11;0.47;0.26;1.08;0.56;-2.15;0.26;-2.59;-1.27
P/SR;1,74;1,90;1,75;1,01;1,41;1,18;0,83;0,74;1,16
P/Cap. Giro;6,66;11,88;15,80;18,25;10,79;13,63;11,72;6,04;6,93
P/Ativo Circ. Liq.;-1,37;-1,27;-1,09;-0,80;-1,07;-0,98;-0,71;-0,56;-0,88
Dív. líquida/PL;-0,05;0,03;0,14;0,15;0,01;-0,03;-0,02;-0,01;-0,15
Dív. líquida/EBITDA;-0,32;0,22;1,43;0,78;0,07;0,30;-0,18;0,13;9,86
Dív. líquida/EBIT;-0,48;0,39;2,98;1,37;0,15;0,17;-0,46;0,08;2,66
PL/Ativos;0,57;0,49;0,48;0,48;0,49;0,53;0,58;0,57;0,74
Passivos/Ativos;0,43;0,51;0,52;0,52;0,51;0,47;0,42;0,43;0,26
Liq. corrente;1,84;1,43;1,28;1,16;1,38;1,29;1,21;1,33;1,56
M. Bruta;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%;100,00%
M. EBITDA;16,35%;12,42%;9,92%;15,40%;12,64%;-9,49%;10,64%;-6,76%;-2,04%
M. EBIT;10,92%;7,09%;4,74%;8,77%;5,38%;-16,64%;4,10%;-11,99%;-7,56%
M. Líquida;13,96%;3,22%;1,86%;6,00%;3,53%;-14,09%;1,54%;-16,78%;-9,07%
ROE;13,45%;3,28%;1,85%;7,58%;4,02%;-16,74%;1,70%;-16,30%;-6,84%
ROA;7,61%;1,59%;0,88%;3,62%;1,97%;-8,90%;0,99%;-9,26%;-5,07%
ROIC;6,04%;3,71%;2,07%;7,61%;4,20%;-17,19%;2,71%;-12,78%;-5,76%
Giro ativos;0,55;0,49;0,47;0,60;0,56;0,63;0,64;0,55;0,56
CAGR Receitas 5 anos;-3,91%;-2,35%;4,99%;2,45%;1,11%;3,49%;0,30%;-1,22%;-1,83%
CAGR Lucros 5 anos;11,41%;-%;-%;13,27%;-%;-8,14%;-%;-%;-23,56%
