;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,85%;1,95%;1,77%;2,14%;0,99%;0,94%;0,98%;0,68%;-%
Div;4.05;4.05;4.07;3.38;2.25;1.53;;;
P/L;26.75;21.06;21.12;14.71;32.26;855.44;;;
PEG Ratio;-1,11;-;-;-;-;-;-;-;-
P/VP;5,49;5,76;6,83;5,50;9,24;4,97;232,36;152,64;270,14
EV/EBITDA;43,48;14,98;14,86;10,45;19,74;24,95;66.862,94;-40.612,81;102.721,39
EV/EBIT;109,44;19,50;19,80;14,37;31,24;49.816,98;-12.910,63;-5.648,63;-12.811,13
P/EBITDA;37,50;13,10;13,22;8,87;17,49;22,27;66.991,74;-40.703,70;102.841,98
P/EBIT;94,40;17,06;17,62;12,19;27,68;44.482,98;-12.935,50;-5.661,27;-12.826,17
VPA;39,91;36,11;33,61;28,71;24,64;31,97;0,55;0,48;0,43
P/Ativo;2,09;2,17;2,43;1,76;2,89;2,24;172,75;120,38;214,35
LPA;8.19;9.87;10.88;10.74;7.06;0.19;0.0;-0.01;-0.01
P/SR;4,58;4,19;4,45;3,11;5,46;5,17;302,45;184,39;318,20
P/Cap. Giro;11,19;12,57;15,74;11,19;21,74;19,28;511,44;411,55;777,29
P/Ativo Circ. Liq.;-3,09;-3,09;-3,58;-2,52;-3,86;-2,87;-320,09;-207,07;-352,40
Dív. líquida/PL;0,87;0,82;0,85;0,98;1,19;0,60;-0,45;-0,34;-0,32
Dív. líquida/EBITDA;5,97;1,87;1,64;1,58;2,24;2,67;-128,81;90,89;-120,58
Dív. líquida/EBIT;15,04;2,44;2,18;2,18;3,55;5.334,00;24,87;12,64;15,04
PL/Ativos;0,38;0,38;0,35;0,32;0,31;0,45;0,74;0,79;0,79
Passivos/Ativos;0,62;0,61;0,63;0,67;0,68;0,54;0,26;0,21;0,21
Liq. corrente;2,37;2,36;1,91;2,12;2,13;2,14;3,76;3,32;3,38
M. Bruta;54,69%;56,44%;56,89%;56,93%;54,84%;49,18%;50,63%;48,92%;46,25%
M. EBITDA;12,20%;31,98%;33,65%;35,00%;31,19%;23,19%;0,45%;-0,45%;0,31%
M. EBIT;4,85%;24,57%;25,25%;25,47%;19,71%;0,01%;-2,34%;-3,26%;-2,48%
M. Líquida;17,11%;19,90%;21,07%;21,11%;16,91%;0,60%;-1,01%;-1,67%;-2,41%
ROE;20,52%;27,33%;32,36%;37,41%;28,66%;0,58%;-0,78%;-1,38%;-2,04%
ROA;7,82%;10,29%;11,49%;11,99%;8,97%;0,26%;-0,58%;-1,09%;-1,62%
ROIC;0,51%;12,75%;14,27%;15,23%;11,16%;-0,50%;-2,82%;-4,01%;-2,17%
Giro ativos;0,46;0,52;0,55;0,57;0,53;0,43;0,57;0,65;0,67
CAGR Receitas 5 anos;154,73%;157,43%;154,06%;140,37%;7,14%;-53,90%;-52,42%;-50,87%;-49,49%
CAGR Lucros 5 anos;-%;-%;-%;229,56%;-49,13%;-%;-%;-%;-58,48%
